filename	index	well	batch	tank	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST01_plate01_ADRA2A_230428_A02	SH108	A02	1	2	1	Size	2	A	insH2Bfabp	Size	ADRA2A	230428	1	3	28apr2023 13:44:23	5.733333	3446.357	888364.3	1188932	333.143	285.1809	257.1815	63941.65	.0249424	.0000322	171.6098	19200.44				87358.28	76901.88	0	1.291353	1.885799	1.460809	1.67865	1.160703	1.297543	1.397068	-.996586	-.065437	.9068503				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_ADRA2A_230428_A03	SH116	A03	1	1	1	Size	3	A	insH2Bfabp	Size	ADRA2A	230428	1	3	28apr2023 13:45:22	5.75	3541.955	803816.5	1126067	318.4586	267.1428	248.8281	56195.68	.0283784	7.86e-06	148.0403		373915.1	76173.7	-13278.46	-12976.81	-11091.16	1	1.882051	.4502331	-.3580058	.5712996	-.426846	-1.553221	.3957253	-.3644564	-1.387736		.8552639	.0470166	-.5065081	adra2a_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_ADRA2A_230428_A04	SH124	A04	1	2	1	Size	4	A	insH2Bfabp	Size	ADRA2A	230428	1	3	28apr2023 13:46:48	5.766667	3134.158	944201.1	1072503	367.895	291.9518	277.4131	66992.19	.041423	.0000243	168.4162	3828.125				194752.6	42534.86	0	-.9011259	2.632553	2.632553	-.1385187	.426846	.7803495	1.674578	1.032743	-.4995509	-.7117243				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_ADRA2A_230428_A05	SH132	A05	1	1	1	Size	5	A	insH2Bfabp	Size	ADRA2A	230428	1	3	28apr2023 13:47:57	5.783333	3050.9	833275.1	973510.1	272.7757	223.7951	202.3438	39357.91	.0298325	.0000136	170.9445	6041.26	414334.7	59126.59	-38937.05	97576.2	-34573.46	1	-1.342336	1.04373	1.772744	-1.007782	-.6220663	1.150349	-1.243523	-.1847205	-1.104064	-.5679139	1.702789	-.4711971	-1.862732	adra2a_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_ADRA2A_230428_A06	SH140	A06	1	2	1	Size	6	A	insH2Bfabp	Size	ADRA2A	230428	1	3	28apr2023 13:48:56	5.8	3178.341	707276	1045886	292.001	213	201.0078	36397.09	.0324837	.0000613	154.8106	2691.65				-49469	4303.89	0	-.6151411	-.9730902	-.7854268	-.40369	-.2249298	-.5485223	-1.456338	.1409227	.9908903	-.9068503				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_ADRA2A_230428_A07	SH148	A07	1	1	1	Size	7	A	insH2Bfabp	Size	ADRA2A	230428	1	3	28apr2023 13:50:38	5.833333	3169.421	749654.6	1103846	297.5153	265.4147	237.8906	55328.37	.0325014	.0000337	152.5338	20815.43	302631.2	89332.88	15067.87	-5617.295	64608.88	1	-.6677808	-.3354467	-.2467719	.3130571	.907	-.8449332	.304583	.1847205	.0872978	1.100698	-.3564294	.4711971	.6942906	adra2a_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_ADRA2A_230428_A08	SH156	A08	1	2	1	Size	8	A	insH2Bfabp	Size	ADRA2A	230428	1	3	28apr2023 13:51:48	5.85	3265.906	797207	1078245	298.1341	260.8585	229.6875	53444.21	.029383	.0000387	165.4132	20007.93				26001.32	13647.08	0	-.0643168	.2908233	.3580058	-.0318693	-.1385187	.4953255	-.1073266	-.2288757	.379458	.9990778				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_ADRA2A_230428_A09	SH164	A09	1	1	1	Size	9	A	insH2Bfabp	Size	ADRA2A	230428	1	3	28apr2023 13:53:02	5.883333	3107.65	758477.2	1059464	299.1992	260.8552	244.5634	53504.03	.0312356	.0000457	160.8877	16807.86	333914.2	80271	-658.9015	13406.43	36463.16	1	-1.075723	-.2031945	.0744178	-.2908233	.2687324	-.0580564	-.0858019	-.0973936	.7374157	.5956607	.2566249	.2050923	.1731927	adra2a_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_ADRA2A_230428_A11	SH180	A11	1	1	1	Size	11	A	insH2Bfabp	Size	ADRA2A	230428	1	3	28apr2023 13:55:23	5.916667	3566.169	831899.4	1060122	306.4026	262.9093	237.8906	54311.52	.0317808	3.83e-06	174.0804	0				11107.29	-83401.31	1	2.231606	.9395321	.0318693	-.2467719	-1.120004	1.846533	.118107	.0108046	-2.224915	-1.842373				adra2a_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_ADRA2A_230428_A12	SH188	A12	1	2	1	Size	12	A	insH2Bfabp	Size	ADRA2A	230428	1	3	28apr2023 13:56:33	5.933333	3356.636	799210.8	1115450	302.6537	278.2928	269.2738	60861.21	.0328461	7.11e-06	154.8991	21951.9	261419.1	51799.32	-13685.37	13021.69	27003.21	0	.5392076	.3580058	.0531315	.3807486	.0744178	-.4953255	.9674216	.2288757	-1.51239	1.319758	-1.001768	-.9106117	-.5424624	Controls
