filename	index	well	batch	tank	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST01_plate01_BCL11A_231024_A01	SI100	A01	1	1	1	Size	1	A	insH2Bfabp	Size	BCL11A	231024	1	3	24oct2023 11:26:51	3.433333	3049.716	621980.6	985861.8	242.3157	214.0899	200.3812	36068.12	.0313758	.0000767	128.7223	22879.03	532408.4	145379	16428.08	-79492.05	-18675.78	1	.0809473	-1.400745	-1.400745	-.2450062	-.6916925	-1.370745	-.8299034	-.7377372	.3036906	1.19838	1.19838	1.19838	.7791397	bcl11a_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_BCL11A_231024_A02	SI108	A02	1	2	1	Size	2	A	insH2Bfabp	Size	BCL11A	231024	1	3	24oct2023 11:28:30	3.466667	2861.516	659035.6	913217.2		173.0793	173.5611	23791.2	.0315563	.0000772	133.761	22669.68				-26864.18	-23098.21	0	-.5682099	-.7349572	-.6660544	-.807541	-.7626835	-.9750298	-1.465234	-.7012515	.3639316	1.092245				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_BCL11A_231024_A04	SI124	A04	1	4	1	Size	4	A	insH2Bfabp	Size	BCL11A	231024	1	3	24oct2023 11:32:37	3.533333	3286.126	735777.6	1099091	277.1148	238.6752	210.4017	44741.21	.0379848	.000084	149.3127	22699.59				14742.99	8854.885	0	1.057414	.7349572	.3009654	.9252446	-.1229156	.3336597	-.0827304	.1128968	.521135	1.143702				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_BCL11A_231024_A07	SI148	A07	1	7	1	Size	7	A	insH2Bfabp	Size	BCL11A	231024	1	3	24oct2023 11:36:53	3.6	3083.57	644560.6	1018132	231.2736	188.0284	170.6695	27783.81	.0384739	.0000406	142.9247	15910.64	243594.4	52173.16	-16754.62	-59713.31	1322.159	1	.3009654	-1.10579	-1.211232	.0539321	-.2901008	-.2739918	-1.256896	.1697986	-.7291514	.1381652	-.6151411	-.6151411	-.3957253	bcl11a_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_BCL11A_231024_A08	SI156	A08	1	1	1	Size	8	A	insH2Bfabp	Size	BCL11A	231024	1	3	24oct2023 11:38:06	3.633333	2859.462	871735.8	1054888	296.5184	252.0985	223.7458	49915.16			146.846	15462.04				186006	119316.9	1	-.6001788	2.550635	2.550635	.4159872	2.136868	.0712713	.6487755			.0275488				bcl11a_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_BCL11A_231024_A09	SI164	A09	1	2	1	Size	9	A	insH2Bfabp	Size	BCL11A	231024	1	3	24oct2023 11:39:32	3.65	2574.108	799988.4	743553.4	212.9481	159.6461		20157.47	.0455846		131.2916	22639.77				137870.5	-88576.73	0	-1.332196	1.928738	1.928738	-1.660698	-1.655485	-1.301224	-2.132484	.7012515		1.043529				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_BCL11A_231024_A10	SI172	A10	1	7	1	Size	10	A	insH2Bfabp	Size	BCL11A	231024	1	3	24oct2023 11:40:41	3.666667	2628.937	669084.5	880259.4	287.3178	241.8939	221.8982	45967.41	.0565751	.0003631	133.2925	20635.99				2429.756	28253.82	1	-1.156903	-.6327733	-.0809473	-.9252446	.3186394	-1.021921	.0551186	1.185158	1.904707	.6831604				bcl11a_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_BCL11A_231024_B01	SI101	B01	1	1	1	Size	1	B	insH2Bfabp	Size	BCL11A	231024	1	3	24oct2023 11:52:10	3.866667	3292.776	652844.9	1088025	279.7016	231.6703	208.494	42199.1	.0341639	.0000524	141.2123	15282.59	326287.8	151510	65396.36	-68739.95	-4621.445	1	1.10579	-.8846525	-1.269393	.8454682	-.4658759	-.4887764	-.2505037	-.2854742	-.2152846	-.0551186	.4662653	1.521218	1.521218	bcl11a_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_BCL11A_231024_B02	SI109	B02	1	2	1	Size	2	B	insH2Bfabp	Size	BCL11A	231024	1	3	24oct2023 11:51:06	3.85	3033.633	661846.9	950780.6	233.2023	206.5452	200.0631	33526	.0358696	.0000208	120.3823	30983.89	219668.6	46266.48	-17688.88	-38294.87	-47926.9	0	-.0539321	-.7000902	-.8846525	-.4755309	-1.204851	-1.904707	-.9971714	.0281681	-1.23748	2.132484	-.9674216	-.8694237	-.4662653	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_BCL11A_231024_B03	SI117	B03	1	3	1	Size	3	B	insH2Bfabp	Size	BCL11A	231024	1	3	24oct2023 11:49:58	3.816667	2960.857	835428.4	1076780	283.9663	241.6028	225.0043	45847.78	.0372767	.0000423	148.9519	10587.16	282174.7	93250.73	16304.95	141308.5	104453.4	1	-.2450062	2.141198	2.141198	.7707414	1.773856	.2739918	.0275488	.0845939	-.6217734	-.6151411	.0643168	.5392076	.6948019	bcl11a_crispants
