filename	index	well	batch	tank	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_A01	SG001	A01	1	1	1	Size	1	A	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 09:50:42	1.833333	3388.279	763681	1103158	300.0136	263.8647	243.6512	54700.32	.0226352	.0000273	165.871	9570.313				-45208.24	-25398.22	1	.5062969	-.7219004	-1.231184	-.0297272	-.7984607	.2112793	-.439804	-1.135663	-.2962119	-.2033737				dusp6_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_A02	SG009	A02	1	1	1	Size	2	A	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 10:01:13	2.016667	3198.89	796100.4	1044061	289.739	232.6111	196.875	42498.17	.0348619	.0000218	160.6684	9600.22				18485.75	-19783.55	1	-.8150918	.0594808	.5717958	-1.212564	-.5953833	-.6527085	-1.77986	1.637021	-.6839988	-.1928104				dusp6_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_A04	SG025	A04	1	1	1	Size	4	A	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 10:19:17	2.316667	2920.12	728001.7	991783.4	264.1109	225.4382	199.3943	39926.15	.0233548	.0000406	163.2227	5921.631				-3578.596	23190.21	1	-1.886048	-1.482001	.0049735	-1.544242	.7318081	-.3463447	-1.948264	-.8228925	.5974593	-.7547263				dusp6_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_A05	SG033	A05	1	1	1	Size	5	A	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 10:27:03	2.45	3555.905	861956.2	1200566	323.1661	285.5929	263.3373	64091.19	.0194882	.0000131	162.8254	16957.4				25386.03	14733.87	1	1.948264	1.51239	.758064	1.77986	.4692529	-.421614	.9465395	-2.87307	-1.123927	.741026				dusp6_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_A07	SG049	A07	1	1	1	Size	7	A	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 11:32:50	3.533333	3389.85	784137.6	1119368	311.0811	273.4407	251.5625	58737.79	.0233838	.0000245	163.5574					-25011.15	-9725.479	1	.5175918	-.2707787	-.6193067	.3434961	-.2667229	-.3042254	.3173367	-.8086801	-.5267121					dusp6_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_A08	SG057	A08	1	1	1	Size	8	A	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 11:41:44	3.683333	3540.053	855077.5	1202211	312.5482	270.7694	247.7019	57601.32	.0247859	.0000138	164.7469	15551.76	369593.5	135808.7	40460.26	21125.02	21795.21	1	1.830376	1.27706	.6193067	1.830376	.6933416	-.0599553	.1191729	-.425144	-1.105192	.484404	.5244005	1.526579	1.473038	dusp6_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_A09	SG065	A09	1	1	1	Size	9	A	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 11:50:49	3.833333	3113.748	732368.2	1044480	249.653	223.3462	206.5232	39178.47	.0203011	.000022	171.2682		289591.7	140653.7	62758.8	-31186.62	9727.035	1	-1.233495	-1.323194	-.8402047	-1.192152	.2977775	1.508314	-2.019086	-2.190952	-.6587752		-1.371015	1.830574	1.944362	dusp6_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_A10	SG073	A10	1	1	1	Size	10	A	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 12:00:41	4	3314.078	782552.5	1085333	330.0189	295.3348	286.4838	68517.45	.0212501	.0000114	169.2447	17734.98	376083.4	86372.07	-10392.25	-14083.75	-17869.82	1	-.1092005	-.3173367	-.3186394	-.3434961	-.5717958	1.110155	1.372331	-1.873672	-1.224182	.9242198	.6803288	.1030662	-.243772	dusp6_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_A11	SG081	A11	1	1	1	Size	11	A	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 12:08:45	4.133333	3241.402	767479.3	1127413	307.3596	271.9686	251.5625	58109.74	.0243068	.0000293	170.3404	7865.601				-17155.7	49042.05	1	-.5986488	-.6590223	-.4144133	.4727891	1.345167	1.318755	.1994673	-.563388	-.1617713	-.3875526				dusp6_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_A12	SG089	A12	1	1	1	Size	12	A	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 12:18:26	4.3	3519.38	834680.8	1148497	307.9333	269.8262	248.2175	57182.62	.0231775	.0000239	167.0011	1824.341				4142.252	-24854.3	1	1.51239	.8289819	.1951978	.7877721	-.758064	.4656944	.0594808	-.8814972	-.5974593	-1.629034				dusp6_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_B01	SG002	B01	1	2	1	Size	1	B	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 09:52:21	1.866667	3314.784	768705.4	1094814	288.8647	266.265	258.6719	55717.16	.0230316	.0000201	154.41	23776.25				-28047.4	-8630.441	0	-.0992389	-.6285492	-.7448719	-.1692339	-.2359235	-1.318755	-.2451709	-.9593184	-.7896728	2.000424				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_B02	SG010	B02	1	2	1	Size	2	B	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 10:02:43	2.033333	3275.181	752705.1	1077169	297.2505	263.1091	247.7775	54371.34	.025307	.000033	164.6238	6370.239	308373.4	87628.17	5635.775	-37507.84	-12743.65	0	-.4072907	-1.010506	-1.112617	-.5986488	-.4252768	-.0900005	-.4950663	-.252295	.0604375	-.741026	-.7279133	.1218913	.4205632	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_B04	SG026	B04	1	2	1	Size	4	B	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 10:20:16	2.333333	3158.312	754469.6	1139884	322.4288	266.1132	237.1287	55627.44	.0409964	.0000753	151.0608	16837.77	304724.7	117834.5	36638.09	-16444.26	89904.08	0	-.9621617	-.9621617	-.3821084	.6713834	2.880674	-1.573782	-.2913927	2.190952	1.879026	.7274634	-.7898256	1.123573	1.324958	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_B05	SG034	B05	1	2	1	Size	5	B	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 10:28:13	2.466667	3143.882	751329.4	1064817	283.658	248.0241	224.2188	48330.08	.0288524	.0000467	158.3631	8822.632				-17201.55	19767.62	0	-1.096804	-1.044092	-.4252768	-.8150918	.6073016	-.9257389	-1.425024	.7265859	.9202738	-.2996255				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_DUSP6_221007_B06	SG042	B06	1	2	1	Size	6	B	insH2Bfabp	Size	DUSP6	221007	1	3	07oct2022 11:24:23	3.4	3363.836	818471.1	1133394	298.9328	268.5863	253.1972	56674.2	.0280038	.0000445	164.9675	11155.4	298623.7	104181.8	24316.47	13618.14	13189.61	0	.3645933	.4950663	.3928308	.5403832	.4144133	-.0199745	-.0099078	.5046266	.8034983	-.005179	-.9975069	.698164	.8819982	Controls
