filename	index	well	batch	tank	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCG_231109_A01	SL100	A01	1	1	1	Size	1	A	insH2Bfabp	Size	GCG	231109	1	3	09nov2023 13:56:46	5.933333	2586.032	746394.6	689959.7	200.8298	170.0644	155.1136	22759.4	.0367959	.0000702		4635.62	706049.8	99800.41	-52610.57	65194.11	-131109.8	1	-1.301224	.6567159	1.370745	-1.75333	-1.633934		-1.904707	.6193067	.6289042	-.6469766	2.231606	.9674216	-2.231606	gcg_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCG_231109_A02	SL108	A02	1	2	1	Size	2	A	insH2Bfabp	Size	GCG	231109	1	3	09nov2023 13:57:40	5.95	3188.717	754918.2	1060690	288.6532	248.2828	224.2188	48419.8	.0264948	8.35e-07	151.6022	22131.35				24706.67	25316.72	0	.93019	.8056329	.6924793	1.178402	.4569218	-.7478586	-.1862194	-1.041553	-2.519125	2.519125				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCG_231109_A03	SL116	A03	2	3	1	Size	3	A	insH2Bfabp	Size	GCG	231109	1	3	09nov2023 13:58:36	5.966667	2982.884	620066.5	1006408	292.39	242.8438	207.8125	46326.29	.0261204	.0000561	158.9012	3588.867				-93406.45	44225.43	1	-.1573107	-1.633934	-1.75333	.3336597	.9750298	.0651533	-.3639316	-1.274797	.3302958	-.9064346				gcg_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCG_231109_A05	SL132	A05	2	3	1	Size	5	A	insH2Bfabp	Size	GCG	231109	1	3	09nov2023 14:00:47	6	2889.891	618421.6	903198.3	258.1276	219.6493	207.0214	37892.46	.0247446	.0000155	159.5543	3858.032	283610.2	65287.48	-2235.641	-87489.07	-25918	1	-.4887764	-1.75333	-1.633934	-.7668313	-.8456872	.2634448	-.7668313	-1.510357	-1.157523	-.7801644	-.6151411	-.2599896	-.1289011	gcg_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCG_231109_A06	SL140	A06	2	4	1	Size	6	A	insH2Bfabp	Size	GCG	231109	1	3	09nov2023 14:01:53	6.016667	3123.405	729736.3	1048278	294.6431	258.6422	235.1563	52547	.0423495	.0000426	160.2148	6041.26	263243.4	86910.4	23479.93	4836.004	36128.73	0	.4255243	.4569218	.2152846	.8871465	.8056329	.3661064	.2739918	.9438661	-.3616052	-.4253408	-.8694237	.6151411	.9674216	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCG_231109_A07	SL148	A07	2	3	1	Size	7	A	insH2Bfabp	Size	GCG	231109	1	3	09nov2023 14:03:03	6.05	2592.525	727672.8	844639.9	358.2762	303.4962	284.4637	72345.58	.0715828	.0001126	147.8365	13338.62	676262.2	215451.7	69026.4	45944.23	21261.62	1	-1.23748	.3639316	1.123174	-1.071175	.3036906	-1.375969	2.118995	1.884304	1.351702	.7801644	1.768825	2.231606	2.231606	gcg_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCG_231109_A08	SL156	A08	2	4	1	Size	8	A	insH2Bfabp	Size	GCG	231109	1	3	09nov2023 14:04:18	6.066667	3235.343	755755.6	988314.2	379.5861	311.7813	278.3722	76353.15	.0326742	.0000546	160.6101	11723.63	351589.3	45877.69	-35305.61	21752.43	-63638.17	0	1.178402	.8871465	.6567159	.0998612	-1.370745	.4011473	2.531313	.1648683	.2381501	.3616052	.6151411	-1.342336	-1.521218	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCG_231109_A09	SL164	A09	3	5	1	Size	9	A	insH2Bfabp	Size	GCG	231109	1	3	09nov2023 14:05:27	6.083333	3187.073	715590.2	1023096	270.6481	230.1871	204.0797	41630.86	.0357057	.0000796	159.4122	11394.65	301853.6	96510.62	25321.55	-14487.69	-11692.38	1	.8456872	.1573107	-.2152846	.4887764	-.4887764	.1965805	-.5540488	.583549	.7801644	.3302958	.0643168	.7791397	1.075723	gcg_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCG_231109_A11	SL180	A11	2	3	1	Size	11	A	insH2Bfabp	Size	GCG	231109	1	3	09nov2023 14:07:45	6.116667	2230.858	649584.9	738140.3	245.7897	200.9393	169.5313	31761.47	.0633065	.0001826	151.5729	2691.65				-2732.458	43363.88	1	-1.904707	-1.123174	.0427396	-1.534121	.93019	-.7916386	-1.301224	1.510357	1.88951	-1.217197				gcg_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCG_231109_A12	SL188	A12	2	3	1	Size	12	A	insH2Bfabp	Size	GCG	231109	1	3	09nov2023 14:09:00	6.15	2280.79	666333	547840.6	263.9633			25032.35			129.934	1076.66				9955.107	-164690.6	1	-1.75333	-.8456872	.3336597	-2.531313	-1.904707	-1.845705	-1.75333			-1.429219				gcg_crispants
