filename	index	well	batch	tank	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCK_221014_A03	SG616	A03	1	1	1	Size	3	A	insH2Bfabp	Size	GCK	221014	1	3	14oct2022 10:12:50	2.2	2665.946	613157.9	852206.4	288.5149	225.619	202.5923	39985.96	.0467718	.0000363	128.7887	15103.15	251430	68457.64	-20824.35	-110957.3	-77649.91	1	-1.874869	-2.706351	-2.706351	-2.321307	-1.980752	-2.308362	-1.375686	1.273623	.0618224	-.2590192	-1.430609	-.9231439	-.5341752	gck_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCK_221014_A04	SG624	A04	1	1	1	Size	4	A	insH2Bfabp	Size	GCK	221014	1	3	14oct2022 11:05:51	3.083333	3121.055	760391.3	1093169	287.6406	247.4281	218.75	48090.82	.024681	5.72e-06	152.2494	12890.01				-14341.04	37574.03	1	-.5419719	-.5759842	-.3119191	.1444627	1.082768	-.2119221	-.6222404	-1.690622	-1.966025	-.4542693				gck_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCK_221014_A05	SG632	A05	1	1	1	Size	5	A	insH2Bfabp	Size	GCK	221014	1	3	14oct2022 11:16:31	3.266667	3357.373	815928.9	1115869	287.7961	264.0598	256.3487	54790.04	.0323825	.0000324	148.7554	25301.51	328770.2	115770.9	14146.69	14913.51	-5016.797	1	.8684736	.7458098	.4589661	.6429288	-.2410404	-.7022593	.5031414	0	-.1506121	1.038	.3467042	.7999689	.6350072	gck_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCK_221014_A07	SG648	A07	1	1	1	Size	7	A	insH2Bfabp	Size	GCK	221014	1	3	14oct2022 11:36:36	3.6	3348.063	816437.4	1096519	295.8314	259.4548	237.1527	52875.98	.0293616	.0000591	156.7443	35021.36				16457.38	-21794.66	1	.8440372	.8151858	.5559701	.1960199	-.5962318	.2660382	.1359107	-.4924834	.8644806	2.091354				gck_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCK_221014_A09	SG664	A09	1	1	1	Size	9	A	insH2Bfabp	Size	GCK	221014	1	3	14oct2022 11:55:40	3.916667	2634.698	693010.3	919856.6	221.061		159.4457	24404.3	.0902942	.0002284	152.6113		402999.9	271497.8	158027.8	-27629.61	-1366.577	1	-2.122643	-1.465234	-.5559701	-1.784612	-.051178	-.1406937	-2.708601	2.697177	1.856514		1.225627	2.387809	2.387809	gck_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCK_221014_A10	SG672	A10	1	1	1	Size	10	A	insH2Bfabp	Size	GCK	221014	1	3	14oct2022 12:04:57	4.066667	3340.172	764309.1	1122179	294.2368	258.6982	237.8906	52576.91	.0266572	.0000111	151.1813	15880.74	301644.3	74812.93	-22482.41	-34793.31	6045.943	1	.7966133	-.5165903	-.7685224	.7509168	.1196481	-.2842435	.0593131	-1.065359	-1.310163	-.0366013	-.3467042	-.6350072	-.5838488	gck_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCK_221014_A11	SG680	A11	1	1	1	Size	11	A	insH2Bfabp	Size	GCK	221014	1	3	14oct2022 12:30:32	4.5	3288.154	775374.8	1099808	285.3508	232.2671	196.875	42468.26	.0326812	.000022	156.7083	10886.23				-17942.15	-1952.888	1	.3365098	-.2763062	-.4213913	.2306747	-.085363	.2479206	-1.183815	.070173	-.652491	-.6460481				gck_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCK_221014_A12	SG688	A12	1	1	1	Size	12	A	insH2Bfabp	Size	GCK	221014	1	3	14oct2022 12:40:12	4.666667	3097.9	715799.6	1039306	288.2341	253.9429	226.9531	50662.84	.030982	.0000261	153.0466	16718.14	220715.3	55507.81	-28872.62	-56357.39	-9891.521	1	-.7067373	-1.214676	-1.289343	-.6429288	-.3298721	-.0526109	-.2133152	-.2660382	-.4862914	.0366013	-1.952765	-1.430609	-.7999689	gck_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCK_221014_B01	SG601	B01	1	2	1	Size	1	B	insH2Bfabp	Size	GCK	221014	1	3	14oct2022 09:52:40	1.866667	2871.449	650661.6	962414.6	267.6996	228.3186	207.8125	40942.99	.0396028	8.05e-06	140.5539	18004.15				-96309.59	-24218.69	0	-1.293188	-2.318758	-2.11991	-1.420695	-.7014965	-1.450737	-1.333303	.8952951	-1.687281	.1654204				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCK_221014_B03	SG617	B03	1	2	1	Size	3	B	insH2Bfabp	Size	GCK	221014	1	3	14oct2022 10:13:49	2.216667	3077.739	766671.8	1086709	297.4173	260.8788	238.4408	53474.12	.0482075	.0001196	150.4828	10228.27				-3242.969	43081.44	0	-.7966133	-.440101	-.0341104	.0423544	1.146228	-.3957253	.2306747	1.402255	1.398471	-.7633487				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_GCK_221014_B06	SG641	B06	1	2	1	Size	6	B	insH2Bfabp	Size	GCK	221014	1	3	14oct2022 11:27:57	3.45	3164.045	810246.6	1080040	308.3322	269.1895	262.9238	56913.45	.0327535	.0000181	154.786	15791.02	373331.9	69803.47	-38932.03	30733	12567.42	0	-.3725821	.477996	.9143286	-.161599	.3844023	.0350649	.7067373	.1053679	-.9441942	-.1192094	.9231439	-.8599248	-1.225627	Controls
