filename	index	well	batch	tank	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST01_plate01_IGF1_231103_A02	SJ108	A02	1	2	1	Size	2	A	insH2Bfabp	Size	IGF1	231103	1	3	03nov2023 09:56:07	1.933333	3360.485	727283.9	1122388	293.9722	256.8586	239.4566	51859.13	.0196344	.0000181	160.0237	18422.85				-7239.863	13106.58	0	1.601602	.5536302	-.126723	1.601602	.1815547	1.475095	1.300945	-2.617812	-1.666308	.8135039				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_IGF1_231103_A03	SJ116	A03	2	3	1	Size	3	A	insH2Bfabp	Size	IGF1	231103	1	3	03nov2023 09:57:20	1.95	2853.265	691455.1	928918.4	292.3497	247.2177	222.5586	48001.1	.0333256	.0000359	148.2641	13727.42				4256	-3337.222	1	-.8506605	-.2993069	.190727	-.8207921	-.1385187	.0703373	.6417918	-.2694146	-.7959055	.1784023				igf1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IGF1_231103_A04	SJ124	A04	2	4	1	Size	4	A	insH2Bfabp	Size	IGF1	231103	1	3	03nov2023 09:58:24	1.966667	3324.817	759494	1034581	270.5543	199.741		31791.38	.0294099	.0000506	165.2912	9360.962	356120.3	88988.95	-12344.12	28298.05	-62252.59	0	1.351702	1.1252	.7916386	.3887258	-1.67865	1.842373	-.9452372	-.9792963	-.379458	-.4593015	.4213913	0	-.4213913	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_IGF1_231103_A05	SJ132	A05	1	5	1	Size	5	A	insH2Bfabp	Size	IGF1	231103	1	3	03nov2023 09:59:24	1.983333	3194.021	738409.4	1104055	295.1354	256.2002	239.2904	51560.06	.0403807	.0000612	136.1543	10048.83				19417.01	52871.14	1	.6034363	.7631429	.6289042	1.253334	1.347044	-1.144693	1.165795	.6955261	0	-.339128				igf1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IGF1_231103_A06	SJ140	A06	1	6	1	Size	6	A	insH2Bfabp	Size	IGF1	231103	1	3	03nov2023 10:00:52	2	2940.128	686669.9	955206.9	282.894	234.7011	213.9627	43275.76	.0300024	.0000696	152.977	7656.25	256454.5	46057.13	-28886.02	-8633.705	-7365.247	0	-.6811156	-.3661064	-.190727	-.6289042	-.3130571	.652593	.0843564	-.8447865	.1974463	-.7532038	-.6585199	-1.465234	-1.023392	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_IGF1_231103_A07	SJ148	A07	2	7	1	Size	7	A	insH2Bfabp	Size	IGF1	231103	1	3	03nov2023 10:02:11	2.033333	3074.556	759703.4	1008292	247.5484	212.7784	200.301	35559.69	.0503943	.000154	147.1431	26976.32				51857.3	-1196.953	1	.0421407	1.165795	1.300945	-.0843564	-.1171015	-.04687	-.6289042	1.43797	1.447253	1.866676				igf1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IGF1_231103_A08	SJ156	A08	2	8	1	Size	8	A	insH2Bfabp	Size	IGF1	231103	1	3	03nov2023 10:03:09	2.05	2948.948	645756.8	986908.6	235.5787	200.5843	185.328	31701.66	.0342718	.0000388		7058.105	562225.9	151719.4	-4187.203	-50369.74	21258.15	0	-.6547868	-1.253334	-1.351702	-.3661064	.40369		-.9786942	-.1111411	-.6541061	-.8447865	1.465234	1.113937	-.051178	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_IGF1_231103_A09	SJ164	A09	1	9	1	Size	9	A	insH2Bfabp	Size	IGF1	231103	1	3	03nov2023 10:04:24	2.066667	3031.291	711014.4	980149.6	282.5781	247.2169	224.2188	48001.1	.030643	.0000723	156.1551	10258.18				7205.039	-14239.58	1	-.126723	.190727	.3661064	-.4115459	-.5964907	1.058737	.6417918	-.7240638	.3100516	-.2694146				igf1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IGF1_231103_B01	SJ101	B01	1	1	1	Size	1	B	insH2Bfabp	Size	IGF1	231103	1	3	03nov2023 10:14:11	2.233333	2480.284	628799.4	856931.8	247.0954	212.4595	204.5714	35499.88		.0007577	142.4151		177080.7	63283.69	9357.455	-23599.73	54850.86	1	-1.88951	-1.88951	-.5536302	-1.529864	1.525563	-.5679139	-.6547868		2.623793		-1.465234	-.6585199	.4213913	igf1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IGF1_231103_B02	SJ109	B02	1	2	1	Size	2	B	insH2Bfabp	Size	IGF1	231103	1	3	03nov2023 10:13:10	2.216667	3017.038	707634.9	1005930	248.8123	208.3601	191.0785	34183.96	.0351524	.0000514	146.5236	6938.477				5155.391	16514.96	0	-.2338183	.126723	.2338183	-.105516	.2467719	-.1174013	-.6811156	0	-.3100516	-.8933282				Controls
