filename	index	well	batch	tank	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_A01	SF700	A01	1	1	1	Size	1	A	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 09:55:22	1.916667	2389.259	584327.4	757908.9	258.7669	220.93	192.5909	38400.88	.1037027	.000205		328.9795				-94815.53	-64842.2	1	-2.069902	-2.488717	-1.851466	-2.488717	-1.224459		-.8931164	2.469942	2.048199	-1.809183				irx3_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_A02	SD108	A02	1	1	1	Size	2	A	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 10:05:38	2.083333	3098.843	762125.9	1047919	288.6967	252.0016	229.6875	49885.25	.0341921	.0000568	159.7972	20576.17				-11705.88	11722.86	1	-.5207167	-.2766469	-.1127151	-.0804273	.3315094	.8572543	-.1127151	.0169375	.2219866	.8773774				irx3_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_A03	SD116	A03	1	1	1	Size	3	A	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 10:15:19	2.25	3460.645	805222.2	1050372	310.9569	262.1815	237.8906	54042.36	.0302125	.0000424	156.6099	3319.702	315386.7	175914.3	102952.2	-16889.4	-94655.92	1	2.488717	.8931164	-.3441025	-.0482231	-1.465234	.3330051	.5207167	-.9061341	-.1530252	-.9863861	-.2822162	1.593219	2.085356	irx3_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_A04	SD124	A04	1	1	1	Size	4	A	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 10:25:18	2.416667	3274.321	770888.7	1083509	287.1436	248.6652	226.7686	48569.34	.033495	.0000734	155.3365	19140.63				-26359.41	-5472.124	1	.8931164	-.0160688	-.6346741	.5207167	-.1965805	.145827	-.2104284	-.1188359	.6744897	.6200706				irx3_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_A05	SD132	A05	1	1	1	Size	5	A	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 11:15:36	3.25	3071.644	766013.8	990916.1	339.2558	297.3721	270.1034	69534.3	.0329385	.0000416	165.2657	19320.07				-4188.405	-37098.71	1	-.5578848	-.2434042	.2766469	-.5958401	-.6242437	1.51239	2.488717	-.2920214	-.2219866	.7542415				irx3_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_A06	SD140	A06	1	3	1	Size	6	A	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 11:25:06	3.416667	3227.14	884835.2	1189410	282.8069	235.8288	216.0711	43694.46	.0379948	.0000807	145.7349	21144.41				93883.14	114621.8	1	.3101982	1.696752	1.471982	1.851466	2.064598	-.9674216	-.5958401	.4369299	.8561915	.9863861				irx3_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_A07	SD148	A07	1	1	1	Size	7	A	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 11:35:10	3.583333	2892.063	664149.8	830463.9	314.439	277.0799	257.0313	60352.78	.0247263	.0000154	166.6542	11873.17				-82088.77	-143532.6	1	-.7154047	-1.471982	-1.382994	-1.382994	-1.690622	1.637868	1.232001	-2.048199	-1.13409	-.070668				irx3_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_A08	SD156	A08	1	1	1	Size	8	A	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 11:45:16	3.75	2440.322	707246.1	821312.3	265.7327	201.6684	171.1922	32060.55				18512.57				21289.2	-16798.88	1	-1.696752	-.9420758	.8931164	-1.574445	-.4011473		-1.471982			.5163159				irx3_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_A09	SD164	A09	1	1	1	Size	9	A	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 11:54:25	3.9	2746.749	753751.8	995940.6	267.6701	211.7036	184.2846	35200.8	.045462	.0000842	143.0058	32030.64	233366.1	90230.1	23892.88	26904.39	65655.05	1	-.9934046	-.4662653	.9934046	-.5578848	1.465234	-1.51239	-1.232001	.9061341	.9584461	1.809183	-1.324958	.5894558	.7039218	irx3_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_A11	SD180	A11	1	3	1	Size	11	A	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 12:15:42	4.25	2637.045	705960.1	884954.8	272.9593	214.363	193.8893	36127.93	.0558828	.0000689	158.4409		650033.6	188684.7	88692.87	-6248.145	-12331.32	1	-1.232001	-.9934046	.2104284	-1.104836	-.2973049	.5751093	-1.104836	1.548003	.3999556		1.593219	2.085356	1.593219	irx3_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_A12	SD188	A12	1	3	1	Size	12	A	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 12:25:58	4.416667	2616.727	757191.2	903706.7	321.7048	268.9919	234.2516	56883.55	.0853164	.0000531	135.1361	21772.46				47694.32	12532.38	1	-1.382994	-.3784071	1.303783	-.8931164	.3661064	-2.019086	1.075723	2.048199	.0169375	1.045537				irx3_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_B01	SD101	B01	1	2	1	Size	1	B	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 09:56:21	1.933333	3414.268	798373.4	1084137	327.7946	281.6978	265.462	62326.66	.0419166	.0000558	160.2988		368217.8	117206.4	39977.11	-17549.57	-46940.55	0	2.069902	.7575541	-.413163	.5578848	-.8841349	.9109555	1.574445	.6744897	.1530252		1.324958	1.128144	1.128144	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_B02	SD109	B02	1	2	1	Size	2	B	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 10:06:40	2.1	3161.466	1078275	1000187				20097.66	.034003	.0000135		1914.063	1024412	81257.94	-48972.79	296086.7	-54846.45	0	-.1776799	2.069902	2.069902	-.5207167	-1.039222		-2.488717	-.0508319	-1.548003	-1.289619	2.085356	.3803256	-2.085356	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_B03	SD117	B03	1	2	1	Size	3	B	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 10:16:42	2.266667	3250.022	774268.2	1094963	278.0616	253.3396	240.625	50423.59	.0343479	.0000354	146.2914	17615.36				-19737.37	13291.62	0	.5958401	.2104284	-.4842547	.7154047	.4366879	-.8059185	.0160688	.0508319	-.4745116	.4371924				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_B06	SD141	B06	1	2	1	Size	6	B	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 11:26:21	3.433333	3213.981	830882.6	1093977	302.5663	266.8345	250.7863	56076.05	.0354309	.0000406	143.8722	3110.352				41686.38	23145.94	0	.1776799	1.382994	1.232001	.6744897	.6242437	-1.407024	.8931164	.0847849	-.2920214	-1.07653				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_B07	SD149	B07	1	2	1	Size	7	B	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 11:36:07	3.6	2905.43	746424.6	942227.2	287.7272	257.8352	240.625	52218.02	.0448695	.0000708	154.4699	14534.91	249845	71388.55	3720.31	-1597.715	-35790.16	0	-.6744897	-.5578848	.4484255	-.7575541	-.5851579	.1092005	.3101982	.8082982	.5127759	.195412	-1.128144	.1867561	.3803256	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_B08	SD157	B08	1	2	1	Size	8	B	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 11:46:17	3.766667	3174.224	767240	1073490	285.6306	256.654	244.7545	51769.41	.0316138	.0000236	154.2794	11394.65				-16650.85	14618.58	0	-.0482231	-.2104284	-.3101982	.2766469	.5095174	.0727199	.1776799	-.4745116	-.7176502	-.1416912				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_IRX3_220930_B09	SD165	B09	1	2	1	Size	9	B	insH2Bfabp	Size	IRX3	220930	1	3	30sep2022 11:55:48	3.916667	3168.079	773999	1078664	268.4622	240.6621	226.0953	45488.89	.0441579	.0000526	146.7541	26437.99	300298.5	67709.96	-4033.45	-9071.812	21641.09	0	-.0804273	.161379	-.0160688	.3784071	.5851579	-.7566237	-.4842547	.7621911	-.0169375	1.422333	-.4822482	0	.1867561	Controls
