filename	index	well	batch	tank	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST01_plate01_LMNA_240919_A01	SQ100	A01	1	1	1	Size	1	A	insH2Bfabp	Size	LMNA	240919	1	3	19sep2024 11:12:06	3.2	2930.92	782806.7	1039231	266.3698	228.4666	204.8717	41062.62	.0482918	.0000796	148.8647	20097.66				34591.65	60241.09	1	-1.122762	-.0980721	.8584844	-.0980721	1.366204	-1.051338	-.7618428	1.3116	.9345893	.871771				lmna_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_LMNA_240919_A02	SQ108	A02	1	2	1	Size	2	A	insH2Bfabp	Size	LMNA	240919	1	3	19sep2024 11:13:02	3.216667	3259.397	793573.3	1047381	305.8101	268.5399	257.0313	56644.29	.025184	.0000248	166.6408	18482.67	414903	73392.34	-39859.98	-29449.29	-31534.37	0	.2733094	.1375134	-.2573935	.0587829	-.6024495	.6744897	.9271548	.0216105	-.4079188	.7279133	.6193067	-.8544474	-1.611169	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_LMNA_240919_A03	SQ116	A03	1	3	1	Size	3	A	insH2Bfabp	Size	LMNA	240919	1	3	19sep2024 11:13:59	3.216667	3068.924	777528.1	1034940	270.6211	240.4096	229.6216	45429.08	.0507466	.000118	143.7924	15133.06				-2116.039	13967.61	1	-.8144545	-.1375134	.3811055	-.217107	.7502154	-1.551885	-.3957253	1.421497	1.150349	.146745				lmna_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_LMNA_240919_A04	SQ124	A04	1	4	1	Size	4	A	insH2Bfabp	Size	LMNA	240919	1	3	19sep2024 11:15:00	3.25	3169.963	712659.3	995282.6	274.9101	240.0104	221.3392	45249.63	.0235878	.0000374	153.1158	19110.72				-89995.45	-56426.18	0	-.1940281	-1.473468	-1.76167	-.8584844	-1.473468	-.6744897	-.5024022	-.1957222	.2318344	.8122178				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_LMNA_240919_A05	SQ132	A05	1	1	1	Size	5	A	insH2Bfabp	Size	LMNA	240919	1	3	19sep2024 11:15:54	3.25	3146.508	772518.6	1029870	281.8355	240.6592	216.0156	45488.89	.0211781	.0000204	154.687	17645.26				-24794.63	-14703.44	1	-.313572	-.2981024	-.1771698	-.2573935	-.0587829	-.5695757	-.313572	-.9789874	-.5977601	.5977601				lmna_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_LMNA_240919_A07	SQ148	A07	1	3	1	Size	7	A	insH2Bfabp	Size	LMNA	240919	1	3	19sep2024 12:47:20	4.783333	2997.197	784092.7	998333.1	310.3756	259.5642	226.0953	52935.79	.0554662	.0001417	141.3777	9839.478				20783.65	-819.049	1	-.9271548	-.0587829	.5561256	-.6992833	.217107	-1.945423	.7112601	1.551885	1.330562	-.5977601				lmna_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_LMNA_240919_A08	SQ156	A08	1	4	1	Size	8	A	insH2Bfabp	Size	LMNA	240919	1	3	19sep2024 12:48:17	4.8	3232.47	772533.6	1067494	311.7732	277.3664	259.7656	60502.32	.0227799	.0000268	166.2094	20964.96				-44356.72	-3230.412	0	.0772036	-.2573935	-.6024495	.2981024	.1375134	.5695757	1.37468	-.5194481	-.146745	1.001331				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_LMNA_240919_A09	SQ164	A09	1	4	1	Size	9	A	insH2Bfabp	Size	LMNA	240919	1	3	19sep2024 12:49:16	4.816667	3134.945	762125.9	1047725	249.3776	202.9358	183.1384	32359.62	.0272045	.0000544		5772.095				-32554.01	6668.735	0	-.3957253	-.5109658	-.3811055	.0980721	.5561256		-1.608653	.2399812	.6484922	-1.23544				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_LMNA_240919_A10	SQ172	A10	1	4	1	Size	10	A	insH2Bfabp	Size	LMNA	240919	1	3	19sep2024 12:50:13	4.833333	3511.606	871810.6	1118052	304.2288	248.1028	223.303	48419.8	.0224498	.0000372	169.34	22011.72	399321.3	98544.31	-11759.53	-8650.306	-37587.63	0	1.768825	1.272699	.2573935	1.113194	-.8031726	1.129657	-.0385731	-.5695757	.1891184	1.56892	.5141561	-.1346898	.1346898	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_LMNA_240919_B01	SQ101	B01	1	1	1	Size	1	B	insH2Bfabp	Size	LMNA	240919	1	3	19sep2024 13:14:57	5.233333	2805.999	765625	971969.9	271.2408	219.8205	200.8154	37952.27		.0001559						45859.6	30981.76	1	-1.481544	-.4668251	.9778975	-1.113194	1.189164		-.9881546		1.56892					lmna_crispants
