filename	index	well	batch	tank	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST01_plate01_LPL_231123_A01	SP100	A01	1	1	1	Size	1	A	insH2Bfabp	Size	LPL	231123	1	3	23nov2023 11:28:52	3.466667	2817.735	601763.3	874876.1	201.5745	166.9546	157.2706	21892.09	.0276456	.0000751		7805.786				-84572.1	-76114.25	1	-.717259	-2.008004	-1.653573	-1.266436	-2.008004		-1.649237	-1.127301	.4617916	-.8785789				lpl_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_LPL_231123_A02	SP108	A02	1	2	1	Size	2	A	insH2Bfabp	Size	LPL	231123	1	3	23nov2023 11:30:23	3.5	2971.986	675185.6	963461.3	257.204	221.6342	203.493	38580.32	.0397834	.0000932	142.3497	14205.93				-25471.67	-32531.96	0	-.2602864	-.6058071	-.6886057	-.4512828	-.7764218	-.7430576	-.3454851	.6896972	.85197	-.128001				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_LPL_231123_A03	SP116	A03	1	3	1	Size	3	A	insH2Bfabp	Size	LPL	231123	1	3	23nov2023 11:31:22	3.516667	2496.938	661428.3	904274.9				21174.32			128.4886	17794.8				4878.224	46878.01	1	-1.373352	-.8706806	-.0335772	-1.00999	1.373352	-2.145475	-1.858747			.2943133				lpl_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_LPL_231123_A04	SP124	A04	1	4	1	Size	4	A	insH2Bfabp	Size	LPL	231123	1	3	23nov2023 11:32:29	3.533333	2920.636	625659.2	959992.1	281.7861	237.7823	207.8125	44412.23	.0261777	.0000249	158.8276	9420.776				-70230.31	-21019.76	0	-.5014259	-1.433252	-1.571479	-.5014259	-.5014259	1.406504	.4431494	-1.332511	-.7845929	-.8449332				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_LPL_231123_A05	SP132	A05	1	5	1	Size	5	A	insH2Bfabp	Size	LPL	231123	1	3	23nov2023 11:33:28	3.55	3281.814	684456.8	1059822				12860.11	.0211367	5.99e-06	138.8709	10437.62				-44967.31	-26564.03	1	1.218025	-.4512828	-1.00999	.5791321	-.6329203	-1.064209	-2.211127	-2.185583	-1.976688	-.5757047				lpl_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_LPL_231123_A06	SP140	A06	1	1	1	Size	6	A	insH2Bfabp	Size	LPL	231123	1	3	23nov2023 11:34:23	3.566667	2896.904	632178.9	1003597				22669.68	.0263055	.0000199	130.7091	16807.86				-61507.15	29508.7	1	-.5791321	-1.266436	-1.266436	.0335772	.6058071	-1.783727	-1.56699	-1.276092	-.9610273	.1514387				lpl_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_LPL_231123_A07	SP148	A07	1	2	1	Size	7	A	insH2Bfabp	Size	LPL	231123	1	3	23nov2023 11:35:22	3.583333	3198.234	724412.8	1071666	291.2328	252.7	232.3877	50154.42	.0318441	.0000459	144.6616	11005.86				2748.855	9663.701	0	.717259	.4512828	-.1008836	.717259	.0335772	-.4850236	1.212751	-.4617916	-.1817624	-.4953255				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_LPL_231123_A08	SP156	A08	1	3	1	Size	8	A	insH2Bfabp	Size	LPL	231123	1	3	23nov2023 11:36:16	3.6	3058.288	694924.3	1046394	254.752	210.623	189.599	34841.92	.0264413	.0000532		5802.002				-13745.9	25221.89	1	.0784124	-.2142435	-.4512828	.4266382	.4512828		-.6256698	-1.223466	.0120514	-1.196551				lpl_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_LPL_231123_A09	SP164	A09	1	4	1	Size	9	A	insH2Bfabp	Size	LPL	231123	1	3	23nov2023 11:37:20	3.616667	3283.276	747620.9	1129596	288.7943	241.7609	207.8125	45967.41	.0301213	.0000391	152.8938	9480.591				18061.01	42783.07	0	1.266436	1.047991	.4022501	1.571479	1.087568	.6744897	.6533766	-.8178173	-.4617916	-.7803495				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_LPL_231123_A10	SP172	A10	1	5	1	Size	10	A	insH2Bfabp	Size	LPL	231123	1	3	23nov2023 11:38:30	3.633333	3031.749	696987.9	1032786	283.0089	233.3189	211.1464	42767.34	.0312282	.0000304	148.2272					-9218.18	19356.92	1	-.0335772	-.1686507	-.3780989	.2835103	.3068881	-.0133335	.2393802	-.6297684	-.5720211					lpl_crispants
