filename	index	well	batch	tank	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_A01	SK100	A01	1	1	1	Size	1	A	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 11:52:21	3.866667	3216.611	758208	1025818	249.2139	206.319	193.0426	33466.19	.0387342	.0000938	136.1982					5319.333	-21513.34	1	.7519938	.3871703	.1725391	.242724	-.8465244	-1.053073	-.6965074	-.0569997	.2888094					notch2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_A02	SK108	A02	1	1	1	Size	2	A	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 12:10:11	4.166667	3218.354	704225.4	1069303	273.8386	228.0614	203.7883	40853.27	.0294101	.000045	150.9766	2183.228				-48825.85	21412.99	1	.798367	-.5804016	-.9493045	.6637516	.103195	.313572	.0871459	-1.290233	-.773217	-.9674216				notch2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_A03	SK116	A03	1	1	1	Size	3	A	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 12:11:15	4.183333	3151.259	735299.1	1071815	258.8446	218.4302	201.4916	37503.66	.0412597	.0000851	141.9702	4067.383				-11492.25	45436.25	1	.4244566	0	-.2782481	.7519938	.5804016	-.7618428	-.3003779	.0569997	.0189907	-.6374841				notch2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_A04	SK124	A04	1	1	1	Size	4	A	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 12:40:58	4.666667	3183.493	736286	1075015	254.3152	214.5388	199.791	36217.65	.0312591	.0000532	146.1147	2661.743				-13512.77	38301.84	1	.5804016	.0343441	-.3141269	.8465244	.4244566	-.1548709	-.4117051	-.8801318	-.4516583	-.8473045				notch2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_A05	SK132	A05	1	1	1	Size	5	A	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 12:42:11	4.7	3035.515	753153.7	1035867	293.2487	242.0752	212.9969	46027.22	.0443397	.0001641	161.7269	6549.683	224663.1	44202.88	-2635.756	17161.42	46596.55	1	-.0343441	.242724	.5009044	.3504148	.6637516	1.481544	.6527943	.2104284	.9375322	-.4972006	-1.4342	-.9674216	-.0760316	notch2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_A07	SK148	A07	1	1	1	Size	7	A	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 13:01:09	5.016667	3009.104	856842.1	858786		125.6224	94.82101	12800.29			128.9642					123314	-122016.3	1	-.1377842	2.042561	1.821748	-1.063244	-1.346684	-1.608653	-2.036834							notch2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_A08	SK156	A08	1	1	1	Size	8	A	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 13:50:43	5.833333	2863.563	721481.9	967618.4	205.8618	161.0957	148.894	20396.73	.0421418	.0001556	142.0634					1533.084	33478.24	1	-.6637516	-.3504148	0	-.2782481	.3141269	-.7112601	-1.429788	.1333212	.8254945					notch2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_A09	SK164	A09	1	1	1	Size	9	A	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 13:51:55	5.85	3179.942	802440.8	1069542	226.564	192.3969	169.5313	29129.64	.0275132	.0000227	153.4199	3319.702				52973.38	33967.42	1	.5402261	1.266094	1.063244	.7071841	.3504148	.5691847	-.8366706	-1.616156	-1.382994	-.7383242				notch2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_A10	SK172	A10	1	3	1	Size	10	A	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 14:42:29	6.7	2788.109	670908.8	889440.9	296.8907	234.6962	204.7624	43425.29	.0487092	.0003071	144.4105	15192.87				-42000.17	-20508.18	1	-.7071841	-1.004644	-.8465244	-.7071841	-.798367	-.3957253	.3740954	.6275435	1.48947	.2822162				notch2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_A11	SK180	A11	1	4	1	Size	11	A	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 14:52:29	6.866667	2904.62	707605	930084.8	271.1313	231.9581	215.1184	42258.91	.0371014	.0000395	147.6182	11484.38	256005.9	73018.49	17215.46	-16174.56	-17218.82	0	-.5009044	-.4623426	-.3504148	-.4244566	-.6637516	0	.3370077	-.1717471	-.9982012	-.0397983	-.7478586	.152506	.9674216	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_B02	SK109	B02	1	2	1	Size	2	B	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 12:09:06	4.15	2736.353	685383.9	896857.9	234.0638	189.778	165.5107	28322.14	.0413566	.0001245	155.7687	119.6289				-22696.14	3502.384	0	-.89673	-.7071841	-.5009044	-.6215367	-.3871703	.8144545	-.9399909	.0950912	.4516583	-1.357561				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_B03	SK117	B03	1	2	1	Size	3	B	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 12:12:14	4.2	2641.468	694625.3	863571.2	272.4572	223.2043	202.67	39148.56	.0625424	.0000871	129.301	9929.199				-4601.921	636.8661	0	-1.125744	-.6215367	-.0687288	-1.004644	-.4244566	-1.481544	-.0522452	1.207414	.1333212	-.2410404				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_B04	SK125	B04	1	2	1	Size	4	B	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 12:39:46	4.65	3223.307	725280.1	1058806	292.4677	250.5841	229.7916	49317.02	.0255208	.0000273	154.5323	15312.5				-28233.34	9327.306	0	.89673	-.2782481	-.6637516	.6215367	-.1725391	.7112601	1.117247	-2.000424	-1.290233	.3238762				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_B05	SK133	B05	1	2	1	Size	5	B	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 12:43:26	4.716667	3084.784	713377.1	1026446	285.6146	236.0121	211.8057	43754.27	.0313285	.0000499	156.9559	8822.632	313128.7	70655.82	-1484.98	-27212.04	21379.69	0	.2075038	-.3871703	-.6215367	.2782481	.0687288	.9881546	.4117051	-.8254945	-.6275435	-.3238762	.152506	0	0	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_B06	SK141	B06	1	1	1	Size	6	B	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 12:58:21	4.966667	2930.082	671506.9	878704.3	251.9312	222.7718	205.429	39028.93	.0300102	.0000318	165.3248	8344.116				-54648.27	-76762.83	1	-.4244566	-.89673	-1.063244	-.8465244	-1.192981	1.993984	-.0871459	-1.13214	-1.13214	-.409				notch2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_NOTCH2_231103_B07	SK149	B07	1	1	1	Size	7	B	insH2Bfabp	Size	NOTCH2	231103	1	3	03nov2023 13:02:05	5.033333	2973.782	768167.1	1038499	298.0587	212.2372	185.7578	35380.25	.0457704	.0000638	152.6165	4246.826				37934.64	69020.73	1	-.3504148	.7071841	.89673	.3871703	1.346684	.4806444	-.4887764	.3690087	-.2888094	-.5894558				notch2_crispants
