filename	index	well	batch	tank	plate0	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_A01	SE001	A01	1	1	1	Size	1	A	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:38:18	2.633333	3240.321	762604.4	1100765	279.6139	247.2036	224.2188	48001.1	.0409676	.000022	145.2351	4396.362				-10049.48	39748.65	1	.1174492	-.0560719	-.2692269	.7669867	1.170491	-1.071487	-.5162339	1.1553	-.7484866	-1.387615				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_A02	SE009	A02	1	1	1	Size	2	A	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:48:26	2.8	3390.354	814433.6	1164288	277.1192	248.7048	232.4219	48659.06	.0564946	.000067	143.2929	6639.404	365855.1	116488.6	25003.54	19376.12	64859.99	1	1.061158	1.00893	.6208568	2.32029	1.763188	-1.231577	-.3919137	1.817728	.8490862	-1.02559	.8450942	1.455138	1.168219	pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_A03	SE017	A03	1	1	1	Size	3	A	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:57:10	2.95	2549.435	666243.3	920843.5	259.248	224.5181	211.541	39597.17	.0447649	.0001019	129.0708	22579.96				-3244.1	36708.41	1	-2.090361	-1.637021	-.0306982	-1.49795	.9867392	-2.502106	-1.530002	1.356951	1.485165	1.445544				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_A04	SE025	A04	1	1	1	Size	4	A	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:07:02	3.116667	2693.338	713197.6	903916	246.6231	224.2601	216.0156	39507.45	.03298	8.18e-06	139.5852	25331.42				22221.83	-17061.49	1	-1.637021	-1.061158	.736832	-1.59929	-.6680552	-1.714594	-1.563708	.3809343	-1.665398	1.798904				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_A06	SE041	A06	1	1	1	Size	6	A	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:25:06	3.416667	3013.064	702849.8	1011821	280.2864	243.4703	231.564	46565.55	.0454941	.0000122	142.7535	26258.54				-35869.02	8987.211	1	-.9921216	-1.238726	-.9894378	-.7466339	.1287683	-1.324958	-.7133814	1.382994	-1.120502	1.989825				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_A07	SE049	A07	1	1	1	Size	7	A	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:34:06	3.566667	3250.235	753991.1	1030603	302.3863	251.9471	224.2188	49855.35	.0300328	.0000531	151.4167	14056.4				-20143.21	-32951.94	1	.200022	-.2104284	-.4894971	-.5396609	-1.07408	-.4477675	-.2260813	-.1277157	.5065081	.0053107				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_A09	SE065	A09	1	1	1	Size	9	A	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:51:57	3.85	2374.45	715739.8	868147	288.5697	254.2713	242.1124	50812.38	.0821472	.0000511	130.161	21024.78				72381.92	28811.79	1	-2.506447	-1.00893	1.718451	-1.677238	.8314177	-2.315673	-.0969524	2.506447	.4022501	1.192537				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_A10	SE073	A10	1	1	1	Size	10	A	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:01:30	4.016667	2950.544	631999.5	960291.1	262.629	230.521	210.5469	41750.49	.0315703	.0000419	140.1346	9660.034				-97383.44	-26536.45	1	-1.175393	-2.090361	-2.871783	-1.135663	-.8757839	-1.631046	-1.260977	.0969524	.1203995	-.4798192				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_A11	SE081	A11	1	1	1	Size	11	A	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:10:32	4.166667	3083.195	715859.4	1018550	309.6068	254.4822	210.5469	50932.01	.0402219	.0000651	148.2844	15880.74				-33331.64	-2238.606	1	-.7807333	-.9921216	-.9565875	-.6744897	-.2438112	-.7578185	-.0662805	1.097649	.7623798	.3410701				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_A12	SE089	A12	1	1	1	Size	12	A	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:19:01	4.316667	3227.94	729736.3	1060122	296.8115	248.7307	216.0156	48629.15	.0343514	.0000509	153.2558	26766.97				-41068.78	2274.538	1	.035671	-.7133814	-1.13317	-.0662805	-.1080772	-.2714978	-.4084725	.4816124	.3909512	2.174588				pdx1_crispants
