filename	index	well	batch	tank	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_A01	SE300	A01	1	1	1	Size	1	A	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 10:10:44	2.166667	2841.894	569224.3	993159.2	285.5375	248.6349	229.6875	48569.34	.0396522	.0000585	139.6523	25451.05				-87845.57	94833.01	1	-1.218875	-2.031852	-.9714479	.378823	1.18773	-1.862732	-.6744897	.6589408	1.179761	1.27303				poldip2_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_A03	SE316	A03	1	1	1	Size	3	A	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 10:30:24	2.5	2771.472	530165.4	929995.1	353.2231	285.1895	265.9553	63911.74	.0369401	.000027	158.7421	0	435135.2	97048.95	16135.25	-104526.3	42340.31	1	-1.633282	-2.364134	-1.157696	-.2988425	.2988425	-.2193353	.6095368	.4459558	0	-2.079254	1.064442	.9101468	.705672	poldip2_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_A04	SE324	A04	1	1	1	Size	4	A	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 10:41:32	2.683333	3015.179	636515.5	872363.9	337.9607	272.4639	229.8957	58319.09	.0445854	.0000545		14295.65				-75619.55	-52221.02	1	-.6744897	-.9959445	-.9012228	-.8139691	-.6744897		.1058988	1.012585	1.052616	-.0849127				poldip2_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_A06	SE340	A06	1	1	1	Size	6	A	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 11:25:57	3.416667	3239.878	658467.4	997047.1	296.1099	261.077	232.4219	53533.94	.0284477	2.94e-06	145.1394	16120	186531.4	79523.31	14695.7	-125070.4	38412.7	1	.2830892	-.7325131	-1.481197	.3950973	.1898871	-1.360692	-.2674059	-.4459558	-2.318758	.1323128	-1.316165	.4715404	.6744897	poldip2_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_A07	SE348	A07	1	1	1	Size	7	A	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 11:37:47	3.616667	3117.788	623446.1	997435.9	300.526	266.1166	247.4889	55627.44	.0359205	.0000619	169.6414	19409.79	205731.8	62371.52	-3698.471	-121295	57302.35	1	-.2674059	-1.18773	-1.357259	.4445756	.5296054	1.00999	-.0983092	.3208232	1.289343	.4689607	-.9413322	-.2609674	-.0861181	poldip2_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_A08	SE356	A08	1	1	1	Size	8	A	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 12:02:39	4.033333	2944.757	627304.1	935109.3	299.1133	270.1548	264.2397	57332.15	.0406754		150.4111	28052.98				-62452.77	21195.76	1	-.9241241	-1.100569	-.6370437	-.2207319	.0226522	-.9814135	.0226522	.8112562		1.655889				poldip2_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_A10	SE372	A10	1	1	1	Size	10	A	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 12:20:35	4.333333	3135.338	684875.5	997226.6	313.8371	275.7601	251.9475	59724.73	.0236829	.0000355	159.964	31761.47				-65442.62	54433.47	1	-.2207319	-.4951674	-.7325131	.4279676	.4445756	-.0435316	.2517881	-1.431392	.4213913	1.827204				poldip2_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_A11	SE380	A11	1	1	1	Size	11	A	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 12:31:26	4.516667	3343.324	766133.4	1006169	317.3443	282.761	272.4123	62805.18	.0302362	.000022	164.4188	23208.01				-50276.48	31858.81	1	.8787846	.0377594	-.4114769	.5470603	.1287059	.4022501	.4951674	-.3033943	-.206072	.8715413				poldip2_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_A12	SE388	A12	1	1	1	Size	12	A	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 13:55:54	5.916667	3524.483	978385	859832.8	292.3621	194.3485	138.3101	29967.04				4366.455		188535.2	65631.2	104407.8	-141929.1	1	2.364134	2.031852	1.157696	-.8787846	-1.320264		-1.836626			-.8994349		2.582669	1.968421	poldip2_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_B01	SE301	B01	1	2	1	Size	1	B	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 10:11:51	2.183333	3337.262	711702.3	1062305	319.7902	279.6601	257.1813	61489.26	.0396837	.0000541	153.5793	13039.55				-102781.3	88913.34	0	.8567804	-.3146702	-1.128672	1.218875	1.021054	-.6854571	.378823	.679709	1.023392	-.2475129				Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_B02	SE309	B02	1	2	1	Size	2	B	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 10:21:45	2.35	3370.546	692711.2	825529.2	357.6936	284.934	249.7278	64001.46	.0401913	.0000786	158.9217	0				-132349.3	-152906	0	1.073309	-.4445756	-1.578469	-1.157696	-1.437407	-.1838047	.6370437	.7659457	1.465234	-2.079254				Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_B03	SE317	B03	1	2	1	Size	3	B	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 10:31:24	2.516667	3299.552	630504.1	1069931	320.7455	281.4221	274.4697	62266.84	.0360999	.000048	152.6357	13129.27	231930.5	61369.63	-6395.569	-171996.3	102253.9	0	.5824836	-1.046824	-2.746467	1.437407	1.284992	-.7764218	.4445756	.3737245	.7916386	-.2281252	-.5473207	-.3380917	-.2609674	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_B05	SE333	B05	1	2	1	Size	5	B	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 10:54:51	2.9	2845.636	600148.3	929367.1	301.7482	272.4203	255.7247	58319.09	.0355566	.0000188	152.4676	27155.76	176946.1	61190.19	-3017.203	-58110.59	30473.85	0	-1.18773	-1.633282	-.5296054	-.3146702	.1134945	-.8243825	.1058988	.3033943	-.4213913	1.522757	-1.519197	-.36423	-.0368705	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_B06	SE341	B06	1	2	1	Size	6	B	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 11:26:59	3.433333	3271.781	657091.7	1079621	312.0292	284.75	278.301	63702.39	.0353172	.0000508	160.2476	23088.38	222016.3	56539.61	-10584.08	-136584.2	116152.1	0	.4781687	-.7524055	-1.693494	1.528026	1.528026	.0261137	.5646834	.2688054	.9143286	.8443099	-.7964981	-.5272223	-.4715404	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_B07	SE349	B07	1	2	1	Size	7	B	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 11:38:45	3.633333	3463.877	742357.2	1060720	331.618	292.0426	265.2344	66992.19	.0470137	.0000871	148.6196	21922	199212	60681.76	-4966.362	-112361.3	68141.6	0	1.9251	-.0831466	-1.25125	1.128672	.6370437	-1.167383	.8351834	1.230412	1.517059	.6804168	-.9807163	-.3906196	-.2104284	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_B08	SE357	B08	1	2	1	Size	8	B	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 12:03:39	4.05	2954.386	624133.9	912499.4	370.161	336.0929	316.4314	88764.65	.0335068	.000027	164.8594	5742.188	225709.8	66394.05	-968.6365	-68682.61	-2873.191	0	-.8567804	-1.157696	-.7726002	-.4114769	-.159222	.4789918	2.031852	.0498212	-.0170527	-.7410772	-.6980458	-.0861181	.0368705	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_B09	SE365	B09	1	2	1	Size	9	B	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 12:12:36	4.2	3146.969	683709.1	1068196	336.5521	291.7393	267.9688	66872.56	.0446941	.0000238	158.4641	23776.25	166015	74199.83	10699.74	-70304.72	123640.9	0	-.174534	-.5123105	-.8567804	1.357259	1.578469	-.2372021	.8139691	1.040703	-.1540745	.9574387	-1.816414	.2864809	.4442488	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_B11	SE381	B11	1	2	1	Size	11	B	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 12:32:28	4.533333	3256.592	677817.4	1013975	294.4682	257.696	232.4219	52158.2	.0298597	.000017	156.7994	16030.27				-111031.7	52807.44	0	.378823	-.5824836	-1.218875	.6370437	.4114769	-.4022501	-.338562	-.3383501	-.4972006	.1038439				Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_B12	SE389	B12	1	2	1	Size	12	B	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 13:56:49	5.933333	3203.275	805282	1029855	313.0769	278.5344	254.2969	60980.84	.0346996	.0000364	156.1227	18452.76	253134.8	95344.23	26207	33375.67	76767.6	0	.1134945	.4613071	.3305772	.8351834	.7726002	-.4402967	.3626485	.1836288	.440101	.3062708	-.2764816	.8381245	.9479847	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_C01	SE302	C01	1	3	1	Size	1	C	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 10:12:50	2.2	2987.332	602600.7	891983.1	161.3601	103.1742	88.13229	8732.91	.0344575	.0000521	144.805		196969	78596.19	13093.2	-100685.3	-28382	1	-.6935702	-1.578469	-1.100569	-.5824836	-.378823	-1.406006	-2.746467	.1164641	.9950172		-1.10924	.4172841	.6139995	poldip2_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_C03	SE318	C03	1	3	1	Size	3	C	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 10:32:36	2.533333	2849.509	678595	900775.8	286.2235	246.1313	221.3181	47582.4	.0634136	.0001207	133.2951	23357.54	254361	73392.34	4175.761	19105.43	1295.675	1	-1.157696	-.5646834	.174534	-.5296054	-.1287059	-2.310991	-.7726002	1.883722	2.11991	.8994349	-.2507852	.2104284	.2356227	poldip2_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_C04	SE326	C04	1	3	1	Size	4	C	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 10:43:36	2.716667	2901.136	587258.3	974287.8	302.5153	257.5219	237.7301	52158.2	.0258519	9.39e-07	156.0758	25122.07	223601.4	48868.41	-18357.85	-88636.98	66984.34	1	-1.046824	-1.760558	-1.021054	.159222	.5824836	-.4595582	-.338562	-1.012585	-2.706351	1.118958	-.7628639	-.9479847	-.6744897	poldip2_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_POLDIP2_220929_C05	SE334	C05	1	3	1	Size	5	C	insH2Bfabp	Size	POLDIP2	220929	2	3	29sep2022 10:55:44	2.916667	3209.937	650272.8	992531.1	333.4815	271.6146	239.4193	57960.2	.0418926	.00009	136.0425	1465.454	286242.1	98305.05	27025.59	-123750.6	38433.78	1	.1439472	-.8139691	-1.437407	.3465683	.2052851	-2.111583	.0528752	.8345458	1.573313	-1.412188	.0496566	1.02806	.987231	poldip2_crispants
