filename	index	well	batch	tank	D	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_A01	SD100	A01	1	1		1	Size	1	A	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:23:02	3.383333	2707.531	668217.2	869163.8	267.1048	216.0508	190.1235	36666.26	.0347456	.0000496	147.4286	16867.68	169723.5	58692.93	-82168.5	-20405.93	-12655.58	1	-2.900024	-2.35232	-.4118476	-2.123549	-.5969185	-1.528305	-1.806146	1.006045	.8056329	.7080291	-2.761871	-1.026624	-1.857652
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_A02	SD108	A02	1	5		1	Size	2	A	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:23:56	3.383333	3083.603	741340.3	1078395	303.0376	264.4801	245.0432	54939.57	.0285314	.0000131	158.0109	18034.06				-27207.44	65118.58	0	-1.455531	-1.606296	-.6863678	-.3446772	1.481112	-.4572247	-.3088144	-.0332379	-1.301224	.85124			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_A04	SD124	A04	1	1		1	Size	4	A	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:25:56	3.416667	3157.364	789879.8	1047142	314.6138	264.8425	238.1392	55089.11	.0284933	.0000338	164.1269	10407.71	310751	104899.6	-12339.68	5655.959	8082.265	1	-1.015849	-.5126317	.45324	-.8950011	.0469579	.3224307	-.2698009	-.0522452	-.0617555	-.3022623	-.7111174	.8898187	.6744897
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_A05	SD132	A05	1	5		1	Size	5	A	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:26:56	3.433333	3286.1	773670.1	1068884	307.4186	269.162	250.8006	56913.45	.0239867	.000025	165.8065	13129.27	322399.9	88151.55	-27136.53	-37913.29	-15175.13	0	-.2892526	-.9116741	-.9800374	-.5635893	-.6540049	.6358039	0	-1.23748	-.6217734	.0961875	-.4228376	.2697451	.1810583
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_A07	SD148	A07	1	1		1	Size	7	A	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:23:45	4.383333	3246.873	830433.9	1095113	343.1461	298.5685	271.8976	70192.26	.0244897	5.90e-06	167.7693	10587.16				27187.31	24765.4	1	-.4599914	.4808867	.8375996	-.0657642	.4987188	.8791677	1.511752	-1.038059	-2.218582	-.2622828			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_A08	SD156	A08	1	5		1	Size	8	A	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:24:43	4.4	3356.17	751508.8	1017504	331.1001	279.6645	250.8164	61489.26	.0257941	.0000306	160.8643	10138.55	400039.1	98933.11	-3350.38	-74966.22	-91048.91	0	.3284951	-1.287956	-2.122038	-1.223943	-2.123549	-.1348629	.6511877	-.6449811	-.1862194	-.3427311	1.505545	.7111174	.9114298
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_A10	SD172	A10	1	1		1	Size	10	A	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:27:02	4.45	3146.155	778275.8	1019149	315.7906	277.3342	262.5536	60412.6	.0313302	.0000505	162.8562	19918.21				-3565.801	-15992.71	1	-1.09758	-.7283197	.1943975	-1.166417	-.7012515	.1542728	.5233276	.5875741	.8321877	1.081008			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_A11	SD180	A11	1	5		1	Size	11	A	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:28:06	4.466667	3327.836	775225.3	1081236	314.0528	269.9619	246.0938	57242.43	.0250724	.0000105	157.6404	9749.756	309764.1	101265.9	-16138.72	-45228.05	-17412.31	0	.0702058	-.8429548	-1.221744	-.3149377	-.7254683	-.4894529	.0514647	-.8056329	-1.565677	-.404529	-.7679301	.8072191	.5527133
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_B01	SD101	B01	1	2		1	Size	1	B	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:37:34	3.616667	3309.061	808691.4	1089221	346.9565	292.7728	271.9269	67321.16	.0254754	.0000114	158.2481	19021	390468.8	76487.73	-27398.79	-7771.744	-2864.171	1	-.0889716	-.0702058	.0991079	-.1650383	-.2659702	-.436002	1.355139	-.7045977	-1.475227	.9828719	1.278284	-.2251802	.1664331
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_B02	SD109	B02	1	6		1	Size	2	B	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:36:24	3.6	2844.205	622459.1	866502.1	286.4402	257.1656	243.3594	51948.85	.0357015	.0000959	159.1985	11932.98	253912.4	47268.37	-79491.4	-95210.57	-63091.96	0	-2.35232	-2.900024	-2.897675	-2.222979	-1.676538	-.3427311	-.8165614	1.178402	1.904707	-.0769073	-1.945423	-1.382994	-1.782224
