filename	index	well	batch	tank	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_A01	SM100	A01	1	1	1	Size	1	A	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 11:55:53	3.916667	3485.714	731381.3	1110156	313.4099	264.1188	234.2984	54790.04	.024117	5.22e-06	173.3307	7536.621	336605.8	44202.88	-39728.11	-57801.54	-44366.17	1	2.181226	.0470166	-1.485165	.9427021	-1.063622	2.844763	1.343325	-1.910767	-2.477899	-.7607465	.3853205	-1.241867	-1.323364	slc5a2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_A02	SM108	A02	1	2	1	Size	2	A	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 11:57:02	3.95	3515.696	790956.4	1160221	291.9643	253.1919	224.2188	50363.77	.0224182	.0000206	157.937	15761.11				-2624.193	-4510.486	0	2.310991	1.101146	-.0470166	1.624981	-.2264733	.2591033	.7977768	-2.298177	-1.63848	.1444991				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_A03	SM116	A03	1	3	1	Size	3	A	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 11:58:08	3.966667	3233.625	781146.9	1053482	302.0131	259.1054	229.9383	52786.25	.043216	.000078	142.5372	27155.76				28940.94	-15202.93	1	.3685006	.9265376	.7906185	.291285	-.4364642	-1.256627	1.00999	.9362627	.5447825	1.281552				slc5a2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_A04	SM124	A04	1	4	1	Size	4	A	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 11:59:17	3.983333	3377.71	756503.3	1081057	289.3958	250.5079	224.2188	49287.11	.024523	.0000432	156.8327	23088.38				-16837.29	-36690.1	0	1.160529	.4479813	-.3241383	.5065081	-.8794328	.1116372	.6810603	-1.739786	-.5967702	.944957				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_A05	SM132	A05	1	5	1	Size	5	A	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 12:00:14	4	2663.458	612559.8	820833.8	240.7977	191.9873	170.1623	28950.2	.0363042	.0000691	139.9479	15910.64				-56013.07	-53706.73	1	-1.246721	-1.708735	-1.424967	-1.665398	-1.246721	-1.634174	-1.170831	.3357373	.3610505	.1606864				slc5a2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_A06	SM140	A06	1	6	1	Size	6	A	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 12:01:19	4.016667	3276.259	697586.1	1085662	283.2959	250.6986	226.9531	49376.83	.026446	.0000314	159.4596	16658.32				-60873.47	2460.319	0	.6165979	-.4711971	-1.587056	.5546024	.0052222	.4491363	.6942906	-1.139942	-1.106009	.2699041				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_A07	SM148	A07	1	7	1	Size	7	A	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 12:02:52	4.033333	2714.308	567669.1	1042835	236.4518	187.743	169.3018	27724	.0447196	.0000324	118.1165	598.1445	251818.8	47836.61	-5468.919	-108362.6	150980	1	-1.027539	-2.497705	-2.310991	.2050923	2.310991	-2.844763	-1.343325	.9877484	-1.046882	-1.988029	-1.099779	-.9769954	-.1982402	slc5a2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_A08	SM156	A08	1	8	1	Size	8	A	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 12:03:51	4.05	3369.866	753363.1	1133693	283.7212	244.5008	221.8772	46954.34	.0293292	.0000492	150.269	16299.44				-18826.97	18617.57	0	1.140287	.3685006	-.3909512	1.181259	.4829001	-.6709973	.4364642	-.5009884	-.3027052	.2368593				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_A09	SM164	A09	1	9	1	Size	9	A	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 12:04:53	4.066667	2807.101	640343.6	964238.9	267.6204	218.5159	198.3905	37503.66	.0277237	.0000209	141.2493	29578.25				-49299.07	40787.28	1	-.7623798	-1.454408	-1.293514	-.4711971	1.063622	-1.484117	-.4711971	-.9531438	-1.597599	1.413711				slc5a2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_A11	SM180	A11	1	11	1	Size	11	A	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 12:06:55	4.1	2938.565	671566.8	985203.9	259.6879	225.423	202.3438	39926.15	.0282473	.0000456	161.3703	5203.857				-37359.36	16988.07	1	-.4479813	-1.04541	-.9427021	-.3021995	.4479813	.6709973	-.2533471	-.7948098	-.4942277	-1.127397				slc5a2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_B01	SM101	B01	1	1	1	Size	1	B	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 12:21:02	4.35	3110.998	706259.1	1023575	260.842	218.2206	194.1406	37533.57	.032175	.0000335	154.5026	5173.95				-27959.72	-3355.168	1	-.0470166	-.3462343	-.6040155	-.0261137	-.1626001	-.2018935	-.4595582	-.1573107	-.9733156	-1.147769				slc5a2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_B02	SM109	B02	1	2	1	Size	2	B	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 12:20:02	4.333333	3205.726	765595.1	1063651	234.4872	207.7758	185.9375	33914.8	.047577	.0000445	160.8825	14594.73				17481.42	4465.362	0	.2587433	.6292786	.4829001	.3241383	.0470166	.629703	-.7623798	1.204366	-.5576367	-.0213346				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_B03	SM117	B03	1	3	1	Size	3	B	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 12:18:47	4.3	2725.525	640672.6	880229.5	280.2799	231.8753	198.536	42318.73	.0306502	.0000314	155.9662	16299.44				-37004.34	-15445.04	1	-.9927468	-1.424967	-.8949135	-1.120502	-.4595582	.0111408	-.0784124	-.3357373	-1.126599	.2368593				slc5a2_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_SLC5A2_231110_B04	SM125	B04	1	4	1	Size	4	B	insH2Bfabp	Size	SLC5A2	231110	1	3	10nov2023 12:17:46	4.283333	3303.95	769752.2	1131241	301.0545	261.8059	232.4219	53833.01	.0385512	.0000938	153.103	21383.67				7230.758	38609.73	0	.7764218	.7347365	.1944375	1.160529	1.00999	-.3644051	1.181259	.5759408	.9214258	.7607465				Controls
