filename	index	well	batch	tank	plate	Project	column	row	_merge	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_A01	SF200	A01	1	1	1	Size	1	A	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 11:49:26	3.816667	2895.013	583460.1	881874.4	328.1431	274.6842	250.881	59455.57	.0343794	.0000394	163.1467	29.90723	233246.5	100189.2	37085.62	-35571.07	-24305.45	1	-.8825426	-1.069669	-.7659457	-.9199175	-.6182299	-.1213065	-.2090143	1.251137	.7014965	-2.626741	.3727933	1.288206	1.288206	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_A02	SF208	A02	1	1	1	Size	2	A	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:04:08	4.066667	3024.591	654220.6	686251.3				55178.83	.0333387	.0000462	156.4901	179.4434				18836.25	-237511	1	-.482939	.409573	.7221558	-2.130716	-2.130716	-.8540028	-.5785188	1.082768	1.251137	-2.228277				tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_A03	SF216	A03	1	1	1	Size	3	A	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:14:13	4.233333	3081.91	621292.8	709339.6	375.6485	323.4999	286.4651	82229.92	.0225595	3.31e-06	166.5541	8643.188	318302.6	31671.75	-45247.73	-21325.42	-222200.3	1	-.3383501	-.3033943	-.4276937	-1.992123	-1.992123	.5848915	1.883722	-1.251137	-2.318758	-.7439668	1.522408	-1.742647	-2.109706	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_A04	SF224	A04	1	1	1	Size	4	A	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:23:14	4.383333	2452.578	551190.2	839615.5	303.3018	262.1906	242.7368	54042.36	.0231903	.0000296	164.943	10706.79	153872.7	41929.93	-8280.772	-12004.18	-6530.417	1	-2.130716	-1.883722	-.0664496	-1.386603	-.2516333	.2982436	-.6589408	-1.023392	.1024905	-.4110519	-1.742647	-.8710608	-.2805315	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_A05	SF232	A05	1	1	1	Size	5	A	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:34:17	4.566667	3234.99	645816.6	879751	351.4645	294.2614	251.5625	68128.66	.0236198	.0000235	160.9248		202322.4	142313.5	84233.02	-16120.67	-72560.17	1	.7659457	.2688054	-.2516333	-.9586237	-1.30453	-.3899795	.482939	-.8391938	-.5559701		-.3109825	2.109706	2.52324	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_A06	SF240	A06	1	1	1	Size	6	A	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:45:20	4.75	3053.632	611423.3	859563.6	293.773	256.5016	226.9531	51709.59	.030064	.0000342	159.4796	24673.46	210756.2	35260.62	-24189.82	-27626.04	-68139.16	1	-.4459558	-.5397	-.6182299	-1.162498	-1.230412	-.5848915	-.9073185	.6167268	.4213913	1.48354	-.0437342	-1.435436	-1.522408	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_A08	SF256	A08	1	1	1	Size	8	A	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:05:30	5.083333	3087.494	588035.9	840303.4	298.5811	263.8152	246.7042	54670.41	.0242635	.000018	166.0384	9420.776				-55286.98	-91994.15	1	-.286057	-1.012585	-1.58669	-1.344434	-1.58669	.4465882	-.6384531	-.5361763	-.7458098	-.6081267				tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_A10	SF272	A10	1	1	1	Size	10	A	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:25:18	5.416667	2980.229	581875	801693.1	289.9957	253.3006	230.1784	50393.68	.0250385	.000032	156.2605	20127.56	188266	48389.89	-7407.405	-47910.59	-116049.6	1	-.5785188	-1.195765	-1.195765	-1.648073	-1.716379	-.9049021	-1.162498	-.3298721	.294066	.8324191	-.8292257	-.4360634	-.1906023	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_A12	SF288	A12	1	1	1	Size	12	A	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:51:53	5.85	3148.229	617464.6	931161.5	316.6728	278.8355	256.2561	61070.55	.0261693	.0000418	163.5715	23237.91				-33523.11	-9377.06	1	.1499619	-.4276937	-.679709	-.0664496	-.3383501	.0345811	-.0166009	.0341104	.9950172	1.286479				tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_B01	SF201	B01	1	2	1	Size	1	B	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 11:50:19	3.833333	3144.798	642287.6	977188.8	325.2582	275	255.8934	59395.75	.0251591	.0000159	168.0232		229627.7	55507.81	-7007.972	-8267.213	37115.63	0	.0664496	.2005383	.0166009	.6182299	.6182299	.9582613	-.2430754	-.2763062	-.9405437		.2805315	-.1610005	-.1610005	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_B02	SF209	B02	1	2	1	Size	2	B	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:05:09	4.083333	3222.819	625120.9	958915.4	288.4653	249.8205	221.4844	49017.95	.0264488	.0000255	160.5177	18452.76	200109.3	54311.52	-3409.504	-35280.47	8255.604	0	.6589408	-.2175053	-.7438725	.3033943	.0664496	-.4657712	-1.344434	.1024905	-.3479321	.5951785	-.404226	-.2203721	.0145739	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_B04	SF225	B04	1	2	1	Size	4	B	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:24:37	4.4	2922.696	596290.3	941001	315.6439	279.4268	263.0813	61324.77	.0358987	.0000476	158.5663	20546.27	138051.8	21593.02	-26047.85	-26234.48	31064.89	0	-.7659457	-.8463617	-.5982564	.0830965	.482939	-.6908574	.0332065	1.371985	1.329529	.8951823	-2.109706	-2.52324	-1.622711	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_B05	SF233	B05	1	2	1	Size	5	B	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:35:09	4.583333	2949.811	567728.9	919826.7	346.571	290.8525	258.4264	66453.86	.0219895	.0000364	161.4563	6370.239				-58217.86	6211.417	0	-.679709	-1.479252	-1.716379	-.3559816	.0166009	-.3345945	.4276937	-1.41707	.4972006	-1.193283				Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_B06	SF241	B06	1	2	1	Size	6	B	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:46:32	4.766667	3226.979	641210.9	826486.2	291.147	253.8828	224.2188	50632.93	.0245538	.0000104	158.3203	10946.04	199212	101893.9	44318.63	-19715.34	-124738	0	.7221558	.1667717	-.3915859	-1.431392	-1.793784	-.7129737	-1.13047	-.440101	-1.289343	-.352934	-.4360634	1.358142	1.358142	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_B07	SF249	B07	1	2	1	Size	7	B	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:57:04	4.95	2951.159	606458.8	809887.7	307.9204	272.9784	253.4473	58528.44	.0301549	.0000223	153.5645		172235.7	99052.73	45859.28	-19658.16	-103910.5	0	-.6589408	-.6182299	-.3737245	-1.58669	-1.648073	-1.2066	-.286057	.6374841	-.6374841		-1.108973	1.224058	1.435436	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_B08	SF257	B08	1	2	1	Size	8	B	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:06:26	5.1	3114.421	582383.4	888932.5	303.028	266.2762	240.6528	55687.26	.0238456	.0000369	169.6717					-64337.73	-47018.78	0	-.1164641	-1.162498	-2.130716	-.7883986	-.9326642	1.2066	-.5205949	-.7014965	.5165903					Controls
