index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	acrv1c_dich	batch	gluc_Res	intgluc	intgluc_Res
ACRV1C_001	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_A01	2	2	plate01	fasted	1	A	A01	250200	195300	222750	17.42768	NA	211735.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	3.015381	8.566422	A	1	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	222750	54900	.7805755	1	1	1	-11.84124	-1.499446	-1.288844
ACRV1C_009	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_A02	3	2	plate01	fasted	2	A	A02	667300	542600	604950	14.57579	NA	593935.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	9.215978	26.18175	A	2	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	604950	124700	.8131275	2	1	1	5.761137	.5170869	.6694872
ACRV1C_017	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_A03	2	2	plate01	fasted	3	A	A03	280300	208000	244150	20.93951	NA	233135.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	3.362562	9.552733	A	3	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	244150	72300	.7420621	3	1	1	-10.88084	-1.407647	-1.218774
ACRV1C_025	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_A04	3	2	plate01	fasted	4	A	A04			358700		NA	347685.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	5.220956		A	4	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	358700	194800	.5729007	4	1	1			
ACRV1C_033	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_A05	2	2	plate01	fasted	5	A	A05	422200	300600	361400	23.79197	NA	350385.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	5.26476	14.9567	A	5	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	361400	121600	.7119848	5	1	1	-5.502772	-.8856685	-.572654
ACRV1C_041	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_A06	3	2	plate01	fasted	6	A	A06	727800	533100	630450	21.83737	NA	619435.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	9.629675	27.35703	A	6	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	630450	194700	.7324815	6	1	1	6.884601	.5915677	.7306906
ACRV1C_049	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_A07	2	2	plate01	fasted	7	A	A07	131000	94140	112570	23.15355	NA	101555.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	1.227883	3.488302	A	7	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	112570	36860	.718626	7	1	1	-16.99708	-2.146324	-1.900826
ACRV1C_057	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_A08	3	2	plate01	fasted	8	A	A08	803600	614900	709250	18.81298	NA	698235.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	10.90808	30.98887	A	8	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	709250	188700	.7651817	8	1	1	10.49053	.8856685	1.185882
ACRV1C_065	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_A09	3	2	plate01	fasted	9	A	A09	676500	519400	597950	18.57789	NA	586935.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	9.102413	25.85913	A	9	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	597950	157100	.7677753	9	1	1	5.347838	.4278095	.6106954
ACRV1C_073	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_A10	1	1	plate01	fasted	10	A	A10	639400	518300	578850	14.79323	NA	567835.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	8.792545	24.97882	A	10	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	578850	121100	.8106037	10	0	1	4.454578	.3249447	.4809202
