index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	adra2a_dich	batch	gluc_Res	intgluc	intgluc_Res
ADRA2A_001	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_A01	1	2	plate03	fasted	1	A	A01	507400	606900	557150	12.62804	NA	540000	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	12.36989	35.14173	A	1	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	557150	99500	1.196098	1	1	1	7.943914	1.663793	1.362383
ADRA2A_009	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_A02	1	1	plate03	fasted	2	A	A03	361200	331900	346550	5.978424	NA	329400	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.516269	21.35304	A	3	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	346550	29300	.9188815	3	0	1	-5.81486	-.5299395	-.9051525
ADRA2A_025	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_A04	1	2	plate03	fasted	4	A	A07	469700	448000	458850	3.344059	NA	441700	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	10.10441	28.7057	A	7	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	458850	21700	.9538003	7	1	1	1.597639	.5299395	.2683089
ADRA2A_033	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_A05	1	1	plate03	fasted	5	A	A09	611800	474500	543150	17.87458	NA	526000	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	12.04724	34.2251	A	9	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	543150	137300	.7755802	9	0	1	7.146965	1.362383	1.249346
ADRA2A_049	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_A07	1	2	plate03	fasted	7	A	A14	518400	541200	529800	3.043042	NA	512650	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	11.73956	33.35103	A	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	529800	22800	1.043981	13	1	1	6.332736	1.249346	.8347719
ADRA2A_057	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_A08	1	1	plate03	fasted	8	A	A16	355800	500100	427950	23.84286	NA	410800	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	9.392264	26.68257	A	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	427950	144300	1.405565	15	0	1	-.3058066	.3186394	-.2186495
ADRA2A_065	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_A09	1	2	plate03	fasted	9	A	A18	585400	569600	577500	1.934595	NA	560350	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	12.83889	36.47411	A	18	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	577500	15800	.9730099	17	1	1	9.515657	1.898029	1.663793
ADRA2A_002	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_B01	1	2	plate03	fasted	1	B	C01	259000	331600	295300	17.38434	NA	278150	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.335129	17.99753	C	1	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	295300	72600	1.280309	45	1	1	-8.542048	-1.061503	-1.150349
ADRA2A_010	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_B02	1	1	plate03	fasted	2	B	C03	440100	403300	421700	6.170626	NA	404550	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	9.248223	26.27336	C	3	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	421700	36800	.9163826	47	0	1	-.236292	.2186495	-.1695239
ADRA2A_026	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_B04	1	2	plate03	fasted	4	B	C07	459400	440500	449950	2.970179	NA	432800	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	9.89929	28.12298	C	7	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	449950	18900	.9588594	51	1	1	1.673171	.3697907	.3186394
