filename	time	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assay_plate	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	random_nr	time_jitter	slc2a2_dich	position	znf598_dich	tp53inp1_dich	poldip2_dich	assay_jitter	sirt1_dich	atp2a3_dich	batch	injset	gluc_Res	intgluc	intgluc_Res
20240412_GGTassay_7dpf_ATP2A3_5glucose_plate1_A06	0	1	plate1	5glucose	6	A	A06	245100	260500	252800	4.307533	NA	247298.8	.9982959	y = 29283.304294058 * x + ( -2544.38668900411 )	-2544.387	29283.3	5501.25	1470875	8.531931	24.23844	A	6	20240920_gluGLO_ATP2A3-01	1	20240412	GGTassay	ATP2A3	5glucose		7	252800	15400	1.062832	67	2.63		4				1.084		0	2	3	-14.15067	-.0368705	-.0368705
20240412_GGTassay_7dpf_ATP2A3_5glucose_plate3_A03	0	2	plate3	5glucose	3	A	A16	679900	769300	724600	8.724172	NA	719098.8	.9982959	y = 29283.304294058 * x + ( -2544.38668900411 )	-2544.387	29283.3	5501.25	1470875	24.6435	70.00995	A	16	20240920_gluGLO_ATP2A3-01	2	20240412	GGTassay	ATP2A3	5glucose		7	724600	89400	1.13149	57	2.23		11				2.064		1	2	3	31.07083	.6744897	.6744897
20240412_GGTassay_7dpf_ATP2A3_5glucose_plate3_A04	0	1	plate3	5glucose	4	A	A17	665500	756300	710900	9.031551	NA	705398.8	.9982959	y = 29283.304294058 * x + ( -2544.38668900411 )	-2544.387	29283.3	5501.25	1470875	24.17566	68.68085	A	17	20240920_gluGLO_ATP2A3-01	2	20240412	GGTassay	ATP2A3	5glucose		7	710900	90800	1.136439	35	1.35		12				2.02		0	2	3	29.66316	.5845898	.5845898
20240412_GGTassay_7dpf_ATP2A3_5glucose_plate2_A05	0	2	plate2	5glucose	5	A	B18	131300	138100	134700	3.569656	NA	129198.8	.9982959	y = 29283.304294058 * x + ( -2544.38668900411 )	-2544.387	29283.3	5501.25	1470875	4.498916	12.78101	B	18	20240920_gluGLO_ATP2A3-01	1	20240412	GGTassay	ATP2A3	5glucose		7	134700	6800	1.05179	87	3.43		20				1.124		1	2	3	-26.86526	-2.177923	-.7702081
20240412_GGTassay_7dpf_ATP2A3_5glucose_plate4_A06	0	1	plate4	5glucose	6	A	B06	289900	294500	292200	1.113173	NA	286698.8	.9982959	y = 29283.304294058 * x + ( -2544.38668900411 )	-2544.387	29283.3	5501.25	1470875	9.877408	28.06082	B	6	20240920_gluGLO_ATP2A3-01	2	20240412	GGTassay	ATP2A3	5glucose		7	292200	4600	1.015868	88	3.47		26				2.126		0	2	3	-12.05688	.0368705	.1108129
20240412_GGTassay_7dpf_ATP2A3_5glucose_plate1_B05	0	2	plate1	5glucose	5	B	C05	203500	210700	207100	2.458314	NA	201598.8	.9982959	y = 29283.304294058 * x + ( -2544.38668900411 )	-2544.387	29283.3	5501.25	1470875	6.971315	19.80487	C	5	20240920_gluGLO_ATP2A3-01	1	20240412	GGTassay	ATP2A3	5glucose		7	207100	7200	1.035381	98	3.87		33				1.146		1	2	3	-20.86283	-.5845898	-.2609674
20240412_GGTassay_7dpf_ATP2A3_5glucose_plate1_B06	0	1	plate1	5glucose	6	B	C06	179900	168600	174250	4.585542	NA	168748.8	.9982959	y = 29283.304294058 * x + ( -2544.38668900411 )	-2544.387	29283.3	5501.25	1470875	5.849515	16.61794	C	6	20240920_gluGLO_ATP2A3-01	1	20240412	GGTassay	ATP2A3	5glucose		7	174250	11300	.9371873	77	3.03		34				1.104		0	2	3	-24.12833	-1.115337	-.3380917
20240412_GGTassay_7dpf_ATP2A3_5glucose_plate3_B03	0	2	plate3	5glucose	3	B	C16	822700	904800	863750	6.721096	NA	858248.8	.9982959	y = 29283.304294058 * x + ( -2544.38668900411 )	-2544.387	29283.3	5501.25	1470875	29.39536	83.50953	C	16	20240920_gluGLO_ATP2A3-01	2	20240412	GGTassay	ATP2A3	5glucose		7	863750	82100	1.099793	40	1.55		40				2.03		1	2	3	42.29182	1.115337	1.115337
20240412_GGTassay_7dpf_ATP2A3_5glucose_plate3_B04	0	1	plate3	5glucose	4	B	C17	442300	476800	459550	5.308494	NA	454048.8	.9982959	y = 29283.304294058 * x + ( -2544.38668900411 )	-2544.387	29283.3	5501.25	1470875	15.59227	44.29622	C	17	20240920_gluGLO_ATP2A3-01	2	20240412	GGTassay	ATP2A3	5glucose		7	459550	34500	1.078001	54	2.11		41				2.058		0	2	3	2.999936	.4172841	.4172841
20240412_GGTassay_7dpf_ATP2A3_5glucose_plate2_B05	0	2	plate2	5glucose	5	B	D18	141900	146500	144200	2.25568	NA	138698.8	.9982959	y = 29283.304294058 * x + ( -2544.38668900411 )	-2544.387	29283.3	5501.25	1470875	4.823333	13.70265	D	18	20240920_gluGLO_ATP2A3-01	1	20240412	GGTassay	ATP2A3	5glucose		7	144200	4600	1.032417	65	2.55		49				1.08		1	2	3	-28.2222	-1.704781	-.8735691
