index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	bcl11a_dich	batch	gluc_Res	intgluc	intgluc_Res
BCL11A_057	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_A08	1	1	plate01	fasted	8	A	B08	146900	146800	146850	.0481516	NA	133150	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.15008	6.108181	B	8	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	146850	100	.9993193	16	0	1	-.1281937	-.1573107	.2487277
BCL11A_049	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_A07	1	1	plate01	fasted	7	A	B07	136500	126300	131400	5.488957	NA	117700	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.880926	5.343541	B	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	131400	10200	.9252747	17	0	1	-.9109507	-.8226373	-.1121376
BCL11A_041	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_A06	1	1	plate01	fasted	6	A	B06	158100	148400	153250	4.475651	NA	139550	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.261574	6.424925	B	6	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	153250	9700	.9386464	18	0	1	.1523168	-.0671924	.390146
BCL11A_033	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_A05	1	1	plate01	fasted	5	A	B05	144700	134000	139350	5.429524	NA	125650	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.019423	5.736997	B	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	139350	10700	.9260539	19	0	1	-.5537286	-.5398714	.0223825
BCL11A_025	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_A04	1	2	plate01	fasted	4	A	B04	215900	211400	213650	1.489343	NA	199950	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.313798	9.414198	B	4	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	213650	4500	.979157	20	1	1	3.105356	.7613826	1.108011
BCL11A_017	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_A03	1	1	plate01	fasted	3	A	B03	106000	104300	105150	1.143206	NA	91450	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.423627	4.044395	B	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	105150	1700	.9839622	21	0	1	-2.282563	-1.291794	-.8226373
BCL11A_009	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_A02	1	2	plate01	fasted	2	A	B02	152400	139100	145750	6.452501	NA	132050	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.130917	6.053741	B	2	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	145750	13300	.9127297	22	1	1	-.2913343	-.2487277	.1573107
BCL11A_001	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_A01	1	1	plate01	fasted	1	A	B01	201600	193200	197400	3.008965	NA	183700	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.030708	8.609965	B	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	197400	8400	.9583333	23	0	1	2.246773	.5398714	.8871465
BCL11A_058	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_B08	1	1	plate01	fasted	8	B	D08	148300	141500	144900	3.318376	NA	131200	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.116109	6.011673	D	8	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	144900	6800	.954147	39	0	1	-.6413853	-.390146	-.0223825
BCL11A_050	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_B07	1	1	plate01	fasted	7	B	D07	144600	133800	139200	5.486173	NA	125500	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.01681	5.729573	D	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	139200	10800	.9253112	40	0	1	-.9416022	-.5924169	-.1573107
BCL11A_042	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_B06	1	1	plate01	fasted	6	B	D06	127400	120200	123800	4.112414	NA	110100	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.748528	4.967408	D	6	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	123800	7200	.9434851	41	0	1	-1.721884	-1.108011	-.6466521
BCL11A_034	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_B05	1	1	plate01	fasted	5	B	D05	179200	176300	177750	1.153648	NA	164050	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.688386	7.637462	D	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	177750	2900	.983817	42	0	1	.9300528	.295179	.5398714
BCL11A_026	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_B04	1	2	plate01	fasted	4	B	D04	243200	246400	244800	.9243226	NA	231100	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.85646	10.95585	D	4	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	244800	3200	1.013158	43	1	1	4.230325	1.028805	1.402673
BCL11A_018	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_B03	1	1	plate01	fasted	3	B	D03	181300	170400	175850	4.382977	NA	162150	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.655287	7.543428	D	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	175850	10900	.9398786	44	0	1	.7997858	.2487277	.4887764
BCL11A_010	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_B02	1	2	plate01	fasted	2	B	D02	39110	41770	40440	4.651098	NA	26740	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	.296319	.8418155	D	2	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	40440	2660	1.068013	45	1	1	-5.919943	-1.699178	-1.699178
BCL11A_002	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_B01	1	1	plate01	fasted	1	B	D01	217100	206500	211800	3.538872	NA	198100	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.281569	9.322639	D	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	211800	10600	.9511746	46	0	1	2.542764	.7028602	.9555776
BCL11A_059	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_C08	1	1	plate01	fasted	8	C	F08	137100	137300	137200	.1030768	NA	123500	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.981968	5.63059	F	8	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	137200	200	1.001459	62	0	1	-1.439152	-.7028602	-.4389272
BCL11A_051	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_C07	1	1	plate01	fasted	7	C	F07	137200	124200	130700	7.033197	NA	117000	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.868732	5.308897	F	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	130700	13000	.9052478	63	0	1	-1.778962	-.9555776	-.7028602
BCL11A_043	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_C06	1	1	plate01	fasted	6	C	F06	134800	129700	132250	2.726839	NA	118550	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.895734	5.385609	F	6	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	132250	5100	.9621662	64	0	1	-1.720367	-.7613826	-.5924169
BCL11A_035	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_C05	1	1	plate01	fasted	5	C	F05	166200	161200	163700	2.159764	NA	150000	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.443622	6.942109	F	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	163700	5000	.9699157	65	0	1	-.1819833	.0671924	.2028072
BCL11A_027	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_C04	1	2	plate01	fasted	4	C	F04	285100	260500	272800	6.376403	NA	259100	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	4.344245	12.34161	F	4	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	272800	24600	.9137145	66	1	1	5.199397	1.534121	1.534121
BCL11A_019	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_C03	1	1	plate01	fasted	3	C	F03	149100	133200	141150	7.965283	NA	127450	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.050781	5.826081	F	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	141150	15900	.8933601	67	0	1	-1.334244	-.4887764	-.3422765
BCL11A_011	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_C02	1	2	plate01	fasted	2	C	F02	237900	246400	242150	2.482101	NA	228450	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.810294	10.8247	F	2	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	242150	8500	1.035729	68	1	1	3.646257	.9555776	1.194857
BCL11A_003	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_C01	1	1	plate01	fasted	1	C	F01	146700	143400	145050	1.608723	NA	131350	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.118722	6.019097	F	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	145050	3300	.9775051	69	0	1	-1.177462	-.3422765	-.2487277
