index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	dusp26_dich	batch	gluc_Res	intgluc	intgluc_Res
DUSP26_089	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_A12	4	2	plate03	fasted	12	A	B24	275100	249100	262100	7.014413	NA	247395	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.798913	16.47418	B	24	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	262100	26000	.9054889	24	1	1	2.787543	.6805074	.70483
DUSP26_081	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_A11	4	2	plate03	fasted	11	A	B22	149500	129400	139450	10.19207	NA	124745	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.82305	8.020028	B	22	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	139450	20100	.8655518	26	1	1	-5.669272	-.8889205	-1.041357
DUSP26_073	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_A10	4	2	plate03	fasted	10	A	B20	223700	191700	207700	10.89428	NA	192995	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.479003	12.72444	B	20	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	207700	32000	.8569513	28	1	1	-.9675186	.2120589	.1150608
DUSP26_065	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_A09	4	2	plate03	fasted	9	A	B18	391600	348900	370250	8.154884	NA	355545	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	8.422962	23.92887	B	18	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	370250	42700	.8909602	30	1	1	10.23425	1.515006	1.457283
DUSP26_057	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_A08	5	2	plate03	fasted	8	A	B16	110400	102300	106350	5.385581	NA	91645	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.019943	5.738474	B	16	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	106350	8100	.9266304	32	1	1	-5.249532	-1.578269	-.8334692
DUSP26_049	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_A07	4	2	plate03	fasted	7	A	B14	189000	173700	181350	5.965665	NA	166645	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.839672	10.90816	B	14	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	181350	15300	.9190476	34	1	1	-2.791778	-.1925285	-.3925438
DUSP26_137	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_A06	4	1	plate04	fasted	6	A	B13	222300	213000	217650	3.021407	NA	202945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.72042	13.41028	B	13	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	217650	9300	.9581646	35	0	1	-.2909804	.3110992	.2120589
DUSP26_041	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_A06	5	2	plate03	fasted	6	A	B11	138000	120800	129400	9.398947	NA	114695	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.579206	7.32729	B	11	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	129400	17200	.8753623	36	1	1	-3.666034	-1.041357	-.4766831
DUSP26_129	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_A05	4	1	plate04	fasted	5	A	B10	357800	322600	340200	7.316331	NA	325495	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.693857	21.85755	B	10	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	340200	35200	.901621	37	0	1	8.153625	1.222883	1.222883
DUSP26_033	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_A05	4	2	plate03	fasted	5	A	B09	110000	98900	104450	7.514491	NA	89745	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	1.973843	5.607509	B	9	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	104450	11100	.8990909	38	1	1	-8.097745	-1.648566	-1.931388
