index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	gcg_dich	batch	gluc_Res	intgluc	intgluc_Res
GCG_089	20231122_GGTassay_7dpf_GCG_fasted_plate03_A12	2	1	plate03	fasted	12	A	A20	157800	149600	153700	3.772463	NA	141152.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.377057	9.593912	A	20	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	153700	8200	.9480355	18	0	1	1.936022	.4537622	.755415
GCG_185	20231122_GGTassay_7dpf_GCG_fasted_plate04_A12	2	1	plate04	fasted	12	A	A21	104200	91530	97865	9.154491	NA	85317.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.00287	5.689971	A	21	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	97865	12670	.8784069	19	0	1	-1.974014	-.851585	-.3928308
GCG_177	20231122_GGTassay_7dpf_GCG_fasted_plate04_A11	2	2	plate04	fasted	11	A	B23	104300	98540	101420	4.015909	NA	88872.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.090364	5.938534	B	23	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	101420	5760	.9447747	20	1	1	-1.731547	-.7370185	-.2749777
GCG_169	20231122_GGTassay_7dpf_GCG_fasted_plate04_A10	2	1	plate04	fasted	10	A	B22	105000	103100	104050	1.291209	NA	91502.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.155092	6.122421	B	22	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	104050	1900	.9819047	21	0	1	-1.553754	-.6144941	-.2318344
GCG_161	20231122_GGTassay_7dpf_GCG_fasted_plate04_A09	2	2	plate04	fasted	9	A	B21	109900	114400	112150	2.837254	NA	99602.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.354446	6.688767	B	21	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	112150	4500	1.040946	22	1	1	-.9935036	-.4231001	-.0487593
GCG_153	20231122_GGTassay_7dpf_GCG_fasted_plate04_A08	2	1	plate04	fasted	8	A	B20	91180	99530	95355	6.191958	NA	82807.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	1.941095	5.514473	B	20	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	95355	8350	1.091577	23	0	1	-2.173892	-.9345893	-.4383796
GCG_145	20231122_GGTassay_7dpf_GCG_fasted_plate04_A07	2	2	plate04	fasted	7	A	B19	287900	294600	291250	1.626649	NA	278702.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	6.762379	19.2113	B	19	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	291250	6700	1.023272	24	1	1	11.51684	1.959964	2.065361
GCG_137	20231122_GGTassay_7dpf_GCG_fasted_plate04_A06	2	2	plate04	fasted	6	A	B18			66360		NA	53812.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	1.227482		B	18	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	66360	36000	.5732574	25	1	1			
GCG_129	20231122_GGTassay_7dpf_GCG_fasted_plate04_A05	2	2	plate04	fasted	5	A	B17	153500	145100	149300	3.978364	NA	136752.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.268766	9.286267	B	17	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	149300	8400	.9452769	26	1	1	1.579616	.3480831	.6484922
GCG_121	20231122_GGTassay_7dpf_GCG_fasted_plate04_A04	1	1	plate04	fasted	4	A	B16	154700	156500	155600	.8179898	NA	143052.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.423819	9.726758	B	16	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	155600	1800	1.011635	27	0	1	-.6246827	.5324066	.146745
