filename	time	gck_dich	protein	Pstd_gluc	gluc	assay	random_nr	assay_jitter	time_jitter	batch	gluc_Res	intgluc	intgluc_Res	injset	position
20220505_GGTassay_7dpf_GCK_5glucose_plate6_B01	0	1	13.270328	2.0186572	43.645164	14	35	6.02	1.35	2	17.00054	.9042674	.9042674	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate4_B07	0	1	11.16333	2.6972286	36.898719	12	14	3.978	.51	2	10.2541	.581393	.581393	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate7_B05	0	0	12.707296	3.9895382	9.2129127	15	3	6.956	.07	2	-17.43171	-.7332358	-.7332358	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate3_B08	0	0	15.449811	3.3462442	16.254661	11	87	3.124	3.43	2	-10.38996	-.3754618	-.3754618	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate2_B07	0	1	11.970121	7.5232011	67.248061	10	36	2.022	1.39	2	40.60344	1.791764	1.791764	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate7_B04	0	1	11.199842	5.2025151	60.493177	15	8	6.966	.27	2	33.84856	1.369856	1.369856	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate7_B08	0	0	13.860054	4.0678629	8.4648965	15	56	7.062	2.19	2	-18.17972	-.8157657	-.8157657	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate6_B05	0	0	12.219226	.78306399	2.7325759	14	59	6.068	2.31	2	-23.91204	-1.791764	-1.791764	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate5_B04	0	1	11.115966	2.5612672	32.881489	13	37	5.024	1.43	2	6.236867	.3106094	.3106094	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate5_B02	0	0	12.702436	1.0072746	38.669836	13	40	5.03	1.55	2	12.02522	.7332358	.7332358	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate2_B08	0	0	11.642426	1.1256917	11.832342	10	76	2.102	2.99	2	-14.81228	-.5104216	-.5104216	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate3_B07	0	1	15.449811	3.1879155	17.015372	11	70	3.09	2.75	2	-9.62925	-.3106094	-.3106094	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate2_B01	0	1	10.659339	2.2321296	30.964647	10	69	2.088	2.71	2	4.320026	.247039	.247039	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate7_B07	0	1	10.579126	3.8653342	50.185587	15	94	7.138	3.71	2	23.54097	1.107003	1.107003	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate2_B04	0	1	10.222411	.24891866	34.776004	10	46	2.042	1.79	2	8.131383	.4419345	.4419345	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate2_B05	0	0	12.843976	1.8694165	15.573514	10	7	1.964	.23	2	-11.07111	-.4419345	-.4419345	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate6_B08	0	0	15.75475	.03166859	11.544975	14	34	6.018	1.31	2	-15.09965	-.581393	-.581393	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate4_B04	0	1	11.252487	.2950889	67.062104	12	73	4.096	2.87	2	40.41748	1.546635	1.546635	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate4_B01	0	1	12.41153	8.493182	24.704635	12	5	3.96	.15	2	-1.939986	.1225808	.1225808	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate1_B08	0	0	13.031318	1.8889763	19.362088	9	50	1.05	1.95	2	-7.282533	-.1225808	-.1225808	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate1_B01	0	1	10.90608	14.955253	73.2833	9	72	1.094	2.83	2	46.63868	2.250926	2.250926	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate3_B05	0	0	15.823075	1.4780113	5.806268	11	49	3.048	1.91	2	-20.83835	-1.107003	-1.107003	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate5_B05	0	0	11.675897	.161843	17.396961	13	88	5.126	3.47	2	-9.24766	-.1844524	-.1844524	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate6_B02	0	0	16.136969	8.6401305	6.2899573	14	26	6.002	.99	2	-20.35466	-1.000491	-1.000491	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate3_B01	0	1	13.956755	4.2307565	24.52128	11	17	2.984	.63	2	-2.123341	.0611754	.0611754	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate3_B04	0	1	14.143387	2.6801488	33.697042	11	75	3.1	2.95	2	7.052421	.3754618	.3754618	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate6_B04	0	1	10.594796	4.031611	39.916668	14	99	6.148	3.91	2	13.27205	.8157657	.8157657	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate1_B04	0	1	14.852951	4.0085736	44.164959	9	91	1.132	3.59	2	17.52034	1.000491	1.000491	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate3_B02	0	0		7.2445723	7.2678117	11	89	3.128	3.51	2	-19.37681	-.9042674	-.9042674	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate6_B07	0	1	12.028116	1.8817581	52.272939	14	89	6.128	3.51	2	25.62832	1.227826	1.227826	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate2_B02	0	0	11.31473	6.3417649	2.6131207	10	75	2.1	2.95	2	-24.0315	-2.250926	-2.250926	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate4_B08	0	0	13.03563	1.0920124	10.300098	12	92	4.134	3.63	2	-16.34452	-.6554235	-.6554235	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate1_B07	0	1	12.424107	5.0625032	37.580989	9	70	1.09	2.75	2	10.93637	.6554235	.6554235	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate5_B07	0	1	11.115966	.32480789	19.762472	13	5	4.96	.15	2	-6.882149	-.0611754	-.0611754	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate7_B01	0	1	9.6923882	.67004492		15	36	7.022	1.39	2				1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate1_B05	0	0	8.9832452	1.7651879	4.9260901	9	78	1.106	3.07	2	-21.71853	-1.369856	-1.369856	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate4_B02	0	0	14.640458	1.4080183	21.59219	12	59	4.068	2.31	2	-5.052431	0	0	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate7_B02	0	0	14.037402	3.2133192	17.361457	15	33	7.016	1.27	2	-9.283164	-.247039	-.247039	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate4_B05	0	0	12.679001	.68609512	5.2681652	12	18	3.986	.67	2	-21.37646	-1.227826	-1.227826	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate5_B08	0	0	9.6228175	.61688705	2.9437447	13	81	5.112	3.19	2	-23.70088	-1.546635	-1.546635	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate5_B01	0	1	11.115966	.83983764	35.520158	13	73	5.096	2.87	2	8.875537	.5104216	.5104216	1	1
20220505_GGTassay_7dpf_GCK_5glucose_plate1_B02	0	0	11.816897	6.961784	30.421032	9	70	1.09	2.75	2	3.776411	.1844524	.1844524	1	1
