index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	igf1_dich	batch	gluc_Res	intgluc	intgluc_Res
IGF1_001	20230831_GGTassay_7dpf_IGF1_fasted_plate01_A01	1	2	plate01	fasted	1	A	A01	1261000	1037000	1149000	13.7852	NA	1136234	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	21.95738	62.37893	A	1	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	1149000	224000	.8223632	1	1	1	35.18085	1.443749	1.584433
IGF1_009	20230831_GGTassay_7dpf_IGF1_fasted_plate01_A02	2	2	plate01	fasted	2	A	A03	1396000	1294000	1345000	5.362445	NA	1332234	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	25.74042	73.12618	A	3	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	1345000	102000	.9269341	3	1	1	38.24482	1.699178	1.841993
IGF1_017	20230831_GGTassay_7dpf_IGF1_fasted_plate01_A03	1	2	plate01	fasted	3	A	A05	988800	717200	853000	22.51468	NA	840233.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	16.24423	46.14838	A	5	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	853000	271600	.7253236	5	1	1	18.88686	1.054472	1.291794
IGF1_025	20230831_GGTassay_7dpf_IGF1_fasted_plate01_A04	2	2	plate01	fasted	4	A	A07	636600	538100	587350	11.85835	NA	574583.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	11.11687	31.58201	A	7	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	587350	98500	.8452718	7	1	1	-3.362791	.1724354	-.0223825
IGF1_033	20230831_GGTassay_7dpf_IGF1_fasted_plate01_A05	1	2	plate01	fasted	5	A	A09	581400	459600	520500	16.54671	NA	507733.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	9.826584	27.91643	A	9	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	520500	121800	.7905056	9	1	1	.5914714	-.0522452	.295179
IGF1_041	20230831_GGTassay_7dpf_IGF1_fasted_plate01_A06	2	2	plate01	fasted	6	A	A14	1674000	1398000	1536000	12.70582	NA	1523234	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	29.42694	83.59927	A	14	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	1536000	276000	.8351254	11	1	1	48.59103	2.173245	2.173245
IGF1_049	20230831_GGTassay_7dpf_IGF1_fasted_plate01_A07	1	2	plate01	fasted	7	A	A16	819000	660600	739800	15.14	NA	727033.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	14.05934	39.9413	A	16	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	739800	158400	.8065934	13	1	1	12.55289	.7220917	.909483
IGF1_057	20230831_GGTassay_7dpf_IGF1_fasted_plate01_A08	2	2	plate01	fasted	8	A	A18			1373500		NA	1360734	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	26.2905		A	18	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7		405000		15	1	1			
IGF1_081	20230831_GGTassay_7dpf_IGF1_fasted_plate01_A11	1	2	plate01	fasted	11	A	A19	614100	548000	581050	8.044017	NA	568283.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	10.99527	31.23657	A	19	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	581050	66100	.8923628	16	1	1	3.800582	.1422219	.4389272
IGF1_065	20230831_GGTassay_7dpf_IGF1_fasted_plate01_A09	1	2	plate01	fasted	9	A	A20	873300	705800	789550	15.001	NA	776783.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	15.01957	42.66923	A	20	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	789550	167500	.8081988	17	1	1	15.21739	.8437493	1.080854
