index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	irx3_dich	batch	gluc_Res	intgluc	intgluc_Res
IRX3_001	20231122_GGTassay_7dpf_IRX3_fasted_plate01_A01	1	2	plate01	fasted	1	A	A01	274100	265100	269600	2.36052	NA	257052.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	6.229538	17.69755	A	1	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	269600	9000	.9671653	1	1	1	3.12539	.5200145	.5869282
IRX3_009	20231122_GGTassay_7dpf_IRX3_fasted_plate01_A02	1	1	plate01	fasted	2	A	A02	249800	269700	259750	5.417295	NA	247202.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	5.987114	17.00885	A	2	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	259750	19900	1.079664	2	0	1	2.429553	.4766831	.5420468
IRX3_017	20231122_GGTassay_7dpf_IRX3_fasted_plate01_A03	2	2	plate01	fasted	3	A	A03	161500	154700	158100	3.041319	NA	145552.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.485348	9.901556	A	3	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	158100	6800	.9578947	3	1	1	-3.527494	-.8066862	-.3925438
IRX3_025	20231122_GGTassay_7dpf_IRX3_fasted_plate01_A04	2	1	plate01	fasted	4	A	A04	238000	241800	239900	1.120052	NA	227352.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	5.498575	15.62095	A	4	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	239900	3800	1.015966	4	0	1	2.184767	.271171	.4766831
IRX3_033	20231122_GGTassay_7dpf_IRX3_fasted_plate01_A05	1	2	plate01	fasted	5	A	A05	179300	161200	170250	7.517552	NA	157702.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.784379	10.75107	A	5	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	170250	18100	.8990518	5	1	1	-3.84962	-.5643454	-.4982319
IRX3_041	20231122_GGTassay_7dpf_IRX3_fasted_plate01_A06	1	1	plate01	fasted	6	A	A06	182200	155300	168750	11.27181	NA	156202.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.747461	10.6462	A	6	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	168750	26900	.8523601	6	0	1	-3.961632	-.6098145	-.5200145
IRX3_049	20231122_GGTassay_7dpf_IRX3_fasted_plate01_A07	2	2	plate01	fasted	7	A	A07	220700	208100	214400	4.155571	NA	201852.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.870979	13.83801	A	7	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	214400	12600	.9429089	7	1	1	.3804266	0	.2316706
IRX3_057	20231122_GGTassay_7dpf_IRX3_fasted_plate01_A08	2	1	plate01	fasted	8	A	A08	207100	178700	192900	10.41049	NA	180352.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.341831	12.33475	A	8	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	192900	28400	.8628682	8	0	1	-1.12997	-.2316706	.0766132
IRX3_065	20231122_GGTassay_7dpf_IRX3_fasted_plate01_A09	1	2	plate01	fasted	9	A	A09	223500	184100	203800	13.67027	NA	191252.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.610097	13.09687	A	9	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	203800	39400	.8237137	9	1	1	-1.532363	-.0766132	0
IRX3_073	20231122_GGTassay_7dpf_IRX3_fasted_plate01_A10	1	1	plate01	fasted	10	A	A10	161800	150500	156150	5.117071	NA	143602.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.437355	9.765214	A	10	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	156150	11300	.9301607	10	0	1	-4.871148	-.8334692	-.6330246
