index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	lmna_dich	batch	gluc_Res	intgluc	intgluc_Res
LMNA_001	20230830_GGTassay_7dpf_LMNA_fasted_plate02_A01	2	1	plate02	fasted	1	A	A01	213400	177000	195200	13.1858	NA	181500	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.992382	8.501084	A	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	195200	36400	.8294283	1	0	1	-3.52879	-.9165567	-.5561256
LMNA_009	20230830_GGTassay_7dpf_LMNA_fasted_plate02_A02	2	2	plate02	fasted	2	A	A03	213400	187700	200550	9.061403	NA	186850	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.085584	8.765862	A	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	200550	25700	.8795689	3	1	1	-3.292409	-.6992833	-.5109658
LMNA_017	20230830_GGTassay_7dpf_LMNA_fasted_plate02_A03	2	1	plate02	fasted	3	A	A05	285500	273600	279550	3.010041	NA	265850	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	4.461837	12.67567	A	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	279550	11900	.9583187	5	0	1	.5890031	.0587829	.2573935
LMNA_025	20230830_GGTassay_7dpf_LMNA_fasted_plate02_A04	2	2	plate02	fasted	4	A	A07	404400	429800	417100	4.306045	NA	403400	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	6.858085	19.4832	A	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	417100	25400	1.062809	7	1	1	7.368129	1.189164	1.189164
LMNA_033	20230830_GGTassay_7dpf_LMNA_fasted_plate02_A05	2	1	plate02	fasted	5	A	A09	336900	311400	324150	5.562617	NA	310450	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	5.23881	14.88298	A	9	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	324150	25500	.9243099	9	0	1	2.739519	.3811055	.6024495
LMNA_041	20230830_GGTassay_7dpf_LMNA_fasted_plate02_A06	2	2	plate02	fasted	6	A	A14	213000	205600	209300	2.500043	NA	195600	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.238017	9.198911	A	14	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	209300	7400	.9652582	11	1	1	-2.972951	-.5109658	-.4235761
LMNA_049	20230830_GGTassay_7dpf_LMNA_fasted_plate02_A07	2	1	plate02	fasted	7	A	A16	249500	227100	238300	6.646744	NA	224600	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.743224	10.63416	A	16	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	238300	22400	.9102204	13	0	1	-1.566102	-.3393116	-.1375134
LMNA_057	20230830_GGTassay_7dpf_LMNA_fasted_plate02_A08	2	1	plate02	fasted	8	A	A18	312900	340700	326800	6.015168	NA	313100	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	5.284976	15.01414	A	18	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	326800	27800	1.088846	14	0	1	2.799677	.4668251	.650104
LMNA_065	20230830_GGTassay_7dpf_LMNA_fasted_plate02_A09	2	1	plate02	fasted	9	A	A20	554700	477400	516050	10.59187	NA	502350	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	8.581886	24.38036	A	20	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	516050	77300	.8606454	15	0	1	12.1517	1.601009	1.601009
LMNA_002	20230830_GGTassay_7dpf_LMNA_fasted_plate02_B01	2	1	plate02	fasted	1	B	C01	195500	181600	188550	5.212826	NA	174850	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.876533	8.171968	C	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	188550	13900	.9289002	24	0	1	-4.184479	-1.043158	-.7502154
