index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	lpl_dich	batch	gluc_Res	intgluc	intgluc_Res
LPL_001	20231122_GGTassay_7dpf_LPL_fasted_plate01_A01	1	2	plate01	fasted	1	A	A01	145100	129100	137100	8.252158	NA	124373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.22684	9.16716	A	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	137100	16000	.8897312	1	1	1	-2.457777	-.0627068	-.3629173
LPL_009	20231122_GGTassay_7dpf_LPL_fasted_plate01_A02	1	1	plate01	fasted	2	A	A02	100700	104000	102350	2.279875	NA	89623.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.248541	6.3879	A	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	102350	3300	1.032771	2	0	1	-5.247407	-1.150349	-1.150349
LPL_017	20231122_GGTassay_7dpf_LPL_fasted_plate01_A03	2	2	plate01	fasted	3	A	A03	113300	115500	114400	1.359821	NA	101673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.587779	7.351644	A	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	114400	2200	1.019418	3	1	1	-.5701473	-.5977601	.1046335
LPL_025	20231122_GGTassay_7dpf_LPL_fasted_plate01_A04	2	1	plate01	fasted	4	A	A04	91390	89020	90205	1.857816	NA	77478.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	1.906629	5.416559	A	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	90205	2370	.9740672	4	0	1	-2.515603	-1.731664	-.4079188
LPL_033	20231122_GGTassay_7dpf_LPL_fasted_plate01_A05	3	2	plate01	fasted	5	A	A05	60500	56510	58505	4.822419	NA	45778.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	1.014194	2.881234	A	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	58505	3990	.9340496	5	1	1	-6.975712	-2.39398	-1.959964
LPL_041	20231122_GGTassay_7dpf_LPL_fasted_plate01_A06	3	1	plate01	fasted	6	A	A06	358500	355700	357100	.5544382	NA	344373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	9.420392	26.76248	A	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	357100	2800	.9921897	6	0	1	16.89516	1.731664	1.959964
LPL_049	20231122_GGTassay_7dpf_LPL_fasted_plate01_A07	4	2	plate01	fasted	7	A	A07	173200	164500	168850	3.643369	NA	156123.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.120683	11.70648	A	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	168850	8700	.9497691	7	1	1	2.515213	.3629173	.8122178
LPL_057	20231122_GGTassay_7dpf_LPL_fasted_plate01_A08	4	1	plate01	fasted	8	A	A08	138900	139500	139200	.3047874	NA	126473.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.285961	9.335115	A	8	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	139200	600	1.00432	8	0	1	.1334721	.0208901	.3629173
LPL_002	20231122_GGTassay_7dpf_LPL_fasted_plate01_B01	1	2	plate01	fasted	1	B	C01	147100	159200	153150	5.586675	NA	140423.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.678688	10.45082	C	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	153150	12100	1.082257	40	1	1	-1.578592	.1891184	-.1046335
LPL_010	20231122_GGTassay_7dpf_LPL_fasted_plate01_B02	1	1	plate01	fasted	2	B	C02	114200	118600	116400	2.672912	NA	103673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.644083	7.511601	C	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	116400	4400	1.038529	41	0	1	-4.528182	-.5485223	-.8122178
