index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	notch2_dich	batch	gluc_Res	intgluc	intgluc_Res
NOTCH2_073	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_A10	2	2	plate01	fasted	10	A	B21	449900	367200	408550	14.31348	NA	391400	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.94516	25.41239	B	21	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	408550	82700	.8161814	25	1	1	11.49308	1.482686	1.589968
KITA1_073	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A10	2	1	plate02	fasted	10	A	B20	376400	321300	348850	11.16858	NA	331700	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.569276	21.50363	B	20	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	348850	55100	.8536132	26	0	1	7.576413	1.044936	1.234262
NOTCH2_065	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_A09	2	2	plate01	fasted	9	A	B19	192100	203100	197600	3.936323	NA	180450	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.083474	11.60078	B	19	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	197600	11000	1.057262	27	1	1	-2.334338	-.5262936	-.3099763
KITA1_065	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A09	2	1	plate02	fasted	9	A	B18	259800	247900	253850	3.314781	NA	236700	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.379847	15.28366	B	18	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	253850	11900	.9541956	28	0	1	1.340636	.1239993	.2927191
NOTCH2_057	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_A08	2	2	plate01	fasted	8	A	B17	325000	314200	319600	2.389472	NA	302450	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.895163	19.58853	B	17	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	319600	10800	.9667692	29	1	1	5.637607	.8392736	.9896026
KITA1_057	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A08	2	1	plate02	fasted	8	A	B16	223500	219300	221400	1.341395	NA	204250	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.631983	13.15904	B	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	221400	4200	.981208	30	0	1	-.7997822	-.1406355	.0412391
NOTCH2_049	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_A07	2	2	plate01	fasted	7	A	B15	199800	199200	199500	.2126637	NA	182350	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.127263	11.72518	B	15	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	199500	600	.996997	31	1	1	-2.241553	-.4887764	-.2414446
KITA1_049	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A07	2	1	plate02	fasted	7	A	B14	224800	285700	255250	16.87083	NA	238100	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.412112	15.37532	B	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	255250	60900	1.270908	32	0	1	1.400684	.1406355	.3273264
NOTCH2_041	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_A06	2	2	plate01	fasted	6	A	B13	492000	474200	483100	2.605361	NA	465950	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	10.66329	30.29343	B	13	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	483100	17800	.9638211	33	1	1	16.31089	1.796793	2.331313
KITA1_041	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A06	2	1	plate02	fasted	6	A	B11	226200	215000	220600	3.590025	NA	203450	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.613546	13.10667	B	11	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	220600	11200	.9504863	34	0	1	-.8837748	-.1740297	.024739
