filename	time	pdx1_dich	protein	Pstd_gluc	gluc	assay	random_nr	assay_jitter	time_jitter	batch	gluc_Res	intgluc	intgluc_Res	injset	position
20220201_GGTassay_7dpf_PDX1_5glucose_plate6_E02	0	1	14.419477	3.6811725	31.258432	6	35	6.02	1.35	2	-16.17899	.5519941	-1.0467	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate1_G02	0	0	10.116327	14.457957	6.4449212	1	27	1.004	1.03	2	-29.55441	-.9299809	-2.18935	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate4_C02	0	1	9.7909492	11.692747	70.621557	4	14	3.978	.51	2	23.18414	1.465234	1.337828	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate3_A02	0	1	13.695952	13.196113	18.011974	3	3	2.956	.07	2	-29.42545	.1196481	-1.980752	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate1_E02	0	0	11.914524	13.803327	77.681462	1	87	1.124	3.43	2	41.68213	1.622194	1.833915	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate4_B02	0	1	7.5917299	9.2881847	56.560321	4	36	4.022	1.39	2	9.1229	1.281552	.8247319	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate5_B02	0	0	15.139613	8.2454148	17.905787	5	8	4.966	.27	2	-18.09354	.0956362	-1.088917	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate2_E02	0	0	9.0809066	4.1588179	50.569558	2	33	2.016	1.27	2	14.57023	1.088917	1.0467	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate7_C02	0	0	11.661082	.89298027	15.266043	7	56	7.062	2.19	2	-20.73329	-.0238749	-1.179761	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate6_H02	0	1	8.4905016	6.5906294	36.399309	6	88	6.126	3.47	2	-11.03811	.6971414	-.7916386	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate4_E02	0	0	12.265071	6.5080683	42.333288	4	21	3.992	.79	2	6.333957	.9299809	.6971414	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate4_H02	0	0	11.623632	4.4647402	10.878279	4	90	4.13	3.55	2	-25.12105	-.4703636	-1.538979	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate4_F02	0	0	9.1495102	1.3126555	15.260869	4	59	4.068	2.31	2	-20.73846	-.0477635	-1.229064	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate8_H02	0	1	8.64031	5.5767227	40.327024	8	37	8.024	1.43	2	-7.110398	.7916386	-.5800146	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate2_F02	0	0	9.6817672	3.5257402	69.932413	2	86	2.122	3.39	2	33.93308	1.398694	1.538979	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate5_A02	0	0	15.038971	6.2722443	38.629045	5	40	5.03	1.55	2	2.629714	.7593904	.4176672	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate5_C02	0	0	14.938328	9.3797235	21.7358	5	12	4.974	.43	2	-14.26353	.2656923	-.9674216	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate1_C02	0	1	14.911519	14.020911	52.842619	1	76	1.102	2.99	2	5.405197	1.229064	.667016	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate5_E02	0	1	13.83126	3.5340364	18.704736	5	70	5.09	2.75	2	-28.73269	.1437292	-1.718451	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate5_H02	0	1	12.220978	3.3110674	38.307818	5	69	5.088	2.71	2	-9.129603	.7279133	-.6374841	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate3_F02	0	0	9.036506	6.1336239	25.306124	3	94	3.138	3.71	2	-10.69321	.4176672	-.7279133	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate1_H02	0	0	10.316127	14.31111	106.50083	1	46	1.042	1.79	2	70.5015	2.18935	2.18935	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate2_H02	0	0	14.728997	4.6731494	7.0220101	2	7	1.964	.23	2	-28.97732	-.8587541	-1.833915	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate5_D02	0	0	12.623549	.97570058	11.912844	5	34	5.018	1.31	2	-24.08649	-.3406948	-1.398694	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate2_G02	0	0	11.604521	3.5373387	12.819856	2	98	2.146	3.87	2	-23.17947	-.2165341	-1.337828	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate3_B02	0	1	13.220499	11.239136	41.919678	3	73	3.096	2.87	2	-5.517744	.8938006	-.3661064	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate6_A02	0	0	15.949535	2.3200365	21.923894	6	5	5.96	.15	2	-14.07544	.2905068	-.9299809	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate7_D02	0	0	11.75543	4.6607471	32.54925	7	75	7.1	2.95	2	-3.45008	.5800146	-.1921572	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate7_E02	0	1	9.3023758	2.838723	76.512405	7	50	7.05	1.95	2	29.07498	1.538979	1.398694	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate6_C02	0	0	12.506904	4.8736371	52.550569	6	72	6.094	2.83	2	16.55124	1.179761	1.229064	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate6_B02	0	0	15.471392	6.2473439	48.705031	6	86	6.122	3.39	2	12.7057	1.00627	1.00627	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate3_H02	0	0	10.082504	6.3808515	26.435748	3	14	2.978	.51	2	-9.563581	.4438613	-.667016	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate6_G02	0	1	8.394873	2.1256168	24.53886	6	49	6.048	1.91	2	-22.89856	.3917566	-1.281552	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate5_F02	0	1	7.9939901	9.5139067	98.797328	5	88	5.126	3.47	2	51.35991	1.980752	1.980752	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate6_D02	0	0	14.323849	3.6740907	17.608796	6	77	6.104	3.03	2	-18.39054	.0716793	-1.13317	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate8_B02	0	0	10.24104	2.0688848	46.019117	8	26	8.002	.99	2	10.01979	.9674216	.8587541	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate1_B02	0	1	11.714725	9.7067393		1	17	.984	.63	2				1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate4_G02	0	0	9.4244126	6.1101136	69.453077	4	75	4.1	2.95	2	33.45375	1.337828	1.465234	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate2_C02	0	1	11.604521	4.4982536	82.279969	2	99	2.148	3.91	2	34.84255	1.718451	1.622194	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate7_F02	0	1	7.1323661	7.2202519	87.257522	7	73	7.096	2.87	2	39.8201	1.833915	1.718451	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate7_B02	0	0	9.4910723	4.1503585	11.22414	7	91	7.132	3.59	2	-24.77519	-.4176672	-1.465234	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate8_C02	0	0	11.241497	1.8641219	21.298271	8	27	8.004	1.03	2	-14.70106	.2410404	-1.00627	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate6_F02	0	1	10.881218	3.58175	19.041765	6	89	6.128	3.51	2	-28.39566	.167894	-1.622194	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate8_D02	0	0	11.741725	6.8098674	23.069669	8	89	8.128	3.51	2	-12.92966	.3406948	-.8587541	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate1_A02	0	1	8.5179299	10.359495	50.817284	1	75	1.1	2.95	2	3.379863	1.13317	.4703636	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate3_G02	0	0	10.272686	2.6662741	41.015978	3	92	3.134	3.63	2	5.016648	.8587541	.6084982	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate2_D02	0	1	6.4371196	3.204524	3.4309948	2	70	2.09	2.75	2	-44.00643	-2.18935	-2.592656	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate3_D02	0	1	12.840136	14.165056	48.858803	3	22	2.994	.83	2	1.421381	1.0467	.3406948	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate8_A02	0	0	10.741269	2.1429047	106.75052	8	83	8.116	3.27	2	70.75119	2.592656	2.592656	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate2_B04	0	1	11.278822	9.9442324	13.171837	10	65	2.08	2.55	3	-6.738931	-.1437292	-.4703636	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate4_B02	0	0	13.89566	2.6318274	6.0787165	12	45	4.04	1.75	3	-2.39396	-1.0467	-.0238749	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate4_B04	0	1	12.170976	.85280323	13.103307	12	26	4.002	.99	3	-6.80746	-.167894	-.5244005	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate3_B05	0	0	7.0564443	12.897016	9.2398312	11	10	2.97	.35	3	.7671548	-.5244005	.2905068	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate1_B02	0	0	12.234116	11.397495	11.232467	9	52	1.054	2.03	3	2.75979	-.3917566	.4438613	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate2_B05	0	0	11.732641	7.078007	7.5517138	10	77	2.104	3.03	3	-.9209625	-.7279133	.167894	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate5_B02	0	0	14.605199	5.188949	4.5318255	13	49	5.048	1.91	3	-3.940851	-1.622194	-.2410404	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate3_B02	0	0	10.187445	.38775323	19.45984	11	48	3.046	1.87	3	10.98716	.1921572	.9299809	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate1_B05	0	0	9.8160741	13.231403	10.096459	9	93	1.136	3.67	3	1.623783	-.4972006	.3917566	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate5_B05	0	0	12.381194	3.6916306	6.0974117	13	39	5.028	1.51	3	-2.375265	-1.00627	0	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate2_B07	0	1	11.641877	10.281317	15.839427	10	31	2.012	1.19	3	-4.071341	.0238749	-.3155015	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate2_B02	0	0	11.188058	7.1345239	8.7857238	10	99	2.148	3.91	3	.3130475	-.6374841	.2410404	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate4_B05	0	0	12.266791	8.7290661	5.1120496	12	77	4.104	3.03	3	-3.360627	-1.281552	-.167894	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate5_B01	0	1	13.493196	9.8514589	36.058805	13	75	5.1	2.95	3	16.14804	.6374841	1.13317	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate4_B01	0	1	12.841686	13.914743	6.6119005	12	32	4.014	1.23	3	-13.29887	-.8938006	-.8938006	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate3_B04	0	1		4.2741433	8.6094115	11	75	3.1	2.95	3	-11.30136	-.667016	-.8247319	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate1_B07	0	1	13.588219	9.5129644	24.13546	9	33	1.016	1.27	3	4.224692	.3661064	.5800146	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate3_B07	0	1	9.8939133	1.1068499		11	49	3.048	1.91	3				1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate4_B08	0	0	13.033318	9.3570244	4.4412347	12	96	4.142	3.79	3	-4.031442	-1.718451	-.2656923	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate2_B08	0	0	13.638681	7.2007646	7.1991395	10	54	2.058	2.11	3	-1.273537	-.7593904	.1437292	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate3_B08	0	0	8.7197882	12.555678	6.3532304	11	48	3.046	1.87	3	-2.119446	-.9674216	.0477635	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate5_B08	0	0	16.458536	11.602058	9.1802831	13	9	4.968	.31	3	.7076068	-.5519941	.2656923	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate4_B07	0	1	10.733739	.9982684	36.111498	12	21	3.992	.79	3	16.20073	.667016	1.179761	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate1_B01	0	1	13.201332	9.1520754	31.253406	9	22	.994	.83	3	11.34264	.5244005	.9674216	1	1
