index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	plin1_dich	batch	gluc_Res	intgluc	intgluc_Res
PLIN1_073	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_A10	2	1	plate03	fasted	10	A	B10	134500	149500	142000	7.469438	NA	129273.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.364788	9.559056	B	10	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	142000	15000	1.111524	32	0	1	-4.335884	-.6992833	-.4668251
PLIN1_065	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_A09	1	1	plate03	fasted	9	A	B09			215000		NA	202273.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.419921		B	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	215000	113800	1.719798	33	0	1			
PLIN1_049	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_A07	2	1	plate03	fasted	7	A	B07	86850	106300	96575	14.24098	NA	83848.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.08596	5.926023	B	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	96575	19450	1.223949	34	0	1	-7.970417	-1.987428	-1.76167
PLIN1_041	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_A06	1	2	plate03	fasted	6	A	B06	173000	231500	202250	20.45278	NA	189523.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.060977	14.37777	B	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	202250	58500	1.33815	35	1	1	-4.307664	-.0195843	-.4235761
PLIN1_033	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_A05	1	1	plate03	fasted	5	A	B05	240300	259200	249750	5.351079	NA	237023.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.398221	18.17676	B	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	249750	18900	1.078652	36	0	1	-.5094256	.3811055	.1375134
PLIN1_025	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_A04	2	2	plate03	fasted	4	A	B04	201600	225700	213650	7.976257	NA	200923.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.381915	15.28953	B	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	213650	24100	1.119544	37	1	1	1.390841	.0980721	.5561256
PLIN1_017	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_A03	2	1	plate03	fasted	3	A	B03	452600	509200	480900	8.322363	NA	468173.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	12.90567	36.66384	B	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	480900	56600	1.125055	38	0	1	22.7644	1.76167	2.417559
PLIN1_009	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_A02	1	2	plate03	fasted	2	A	B02	249500	332000	290750	20.06408	NA	278023.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.552473	21.45589	B	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	290750	82500	1.330661	39	1	1	2.767452	.9778975	.7502154
PLIN1_074	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_B10	2	1	plate03	fasted	10	B	D10	124300	141900	133100	9.350172	NA	120373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.11423	8.847245	D	10	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	133100	17600	1.141593	72	0	1	-5.077688	-.8031726	-.6992833
PLIN1_066	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_B09	1	1	plate03	fasted	9	B	D09	227400	305700	266550	20.77151	NA	253823.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.871182	19.5204	D	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	266550	78300	1.344327	73	0	1	.8064744	.650104	.5109658
