filename	time	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assay_plate	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	random_nr	time_jitter	slc2a2_dich	position	znf598_dich	tp53inp1_dich	poldip2_dich	assay_jitter	sirt1_dich	atp2a3_dich	batch	injset	gluc_Res	intgluc	intgluc_Res
240426_GGTassay_7dpf_POLDIP2_fasted_plate01_A08	0	1	plate01	fasted	8	A	A08	727200	727200	727200	0	NA	716873.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	16.31456	46.34819	A	8	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	727200	0	1	60	2.35		7			0				2	4	25.66199	1.898029	1.898029
240426_GGTassay_7dpf_POLDIP2_fasted_plate02_A09	0	2	plate02	fasted	9	A	A22	410600	393600	402100	2.989509	NA	391773.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	8.650534	24.57538	A	22	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	402100	17000	.9585972	9	.31		18			1				2	4	3.826188	.7050659	.7050659
240426_GGTassay_7dpf_POLDIP2_fasted_plate02_A10	0	1	plate02	fasted	10	A	A23	392200	374400	383300	3.28372	NA	372973.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	8.207335	23.3163	A	23	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	383300	17800	.954615	8	.27		19			0				2	4	2.561376	.3186394	.4752407
240426_GGTassay_7dpf_POLDIP2_fasted_plate04_A06	0	1	plate04	fasted	6	A	B19	387500	391000	389250	.6358057	NA	378923.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	8.347603	23.71478	B	19	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	389250	3500	1.009032	57	2.23		24			0				2	4	2.931226	.5862727	.5862727
240426_GGTassay_7dpf_POLDIP2_fasted_plate04_A05	0	2	plate04	fasted	5	A	B18	457200	441400	449300	2.486598	NA	438973.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	9.763245	27.73649	B	18	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	449300	15800	.9654418	90	3.55		25			1				2	4	6.947206	.8347719	.9051525
240426_GGTassay_7dpf_POLDIP2_fasted_plate03_A02	0	1	plate03	fasted	2	A	B02	230300	256000	243150	7.473841	NA	232823.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	4.903388	13.93008	B	2	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	243150	25700	1.111594	90	3.55		38			0				2	4	-6.933661	-.7683021	-.6445316
240426_GGTassay_7dpf_POLDIP2_fasted_plate03_A01	0	2	plate03	fasted	1	A	B01	253500	237900	245700	4.489567	NA	235373.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	4.963502	14.10086	B	1	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	245700	15600	.9384615	53	2.07		39			1				2	4	-6.768609	-.7050659	-.5862727
240426_GGTassay_7dpf_POLDIP2_fasted_plate01_B07	0	2	plate01	fasted	7	B	C07	480100	464700	472400	2.305132	NA	462073.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	10.30781	29.28356	C	7	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	472400	15400	.9679233	32	1.23		46			1				2	4	8.373999	1.061503	1.061503
240426_GGTassay_7dpf_POLDIP2_fasted_plate01_B08	0	1	plate01	fasted	8	B	C08	389900	387600	388750	.4183526	NA	378423.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	8.335816	23.6813	C	8	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	388750	2300	.994101	76	2.99		47			0				2	4	2.766009	.5299395	.5299395
240426_GGTassay_7dpf_POLDIP2_fasted_plate02_B09	0	2	plate02	fasted	9	B	C22	384700	383000	383850	.3131644	NA	373523.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	8.220302	23.35313	C	22	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	383850	1700	.995581	9	.31		57			1				2	4	2.38057	.3697907	.4219289
240426_GGTassay_7dpf_POLDIP2_fasted_plate02_B10	0	1	plate02	fasted	10	B	C23	305300	289300	297300	3.805485	NA	286973.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	6.17994	17.55665	C	23	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	297300	16000	.9475926	20	.75		58			0				2	4	-3.421642	-.1695239	-.1208042
240426_GGTassay_7dpf_POLDIP2_fasted_plate03_B02	0	1	plate03	fasted	2	B	D02	374900	365400	370150	1.814809	NA	359823.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	7.897333	22.4356	D	2	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	370150	9500	.9746599	43	1.67		75			0				2	4	1.35995	.2683089	.2683089
240426_GGTassay_7dpf_POLDIP2_fasted_plate03_B01	0	2	plate03	fasted	1	B	D01	212600	211300	211950	.4337055	NA	201623.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	4.167867	11.84053	D	1	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	211950	1300	.9938852	37	1.43		76			1				2	4	-9.240849	-1.061503	-1.061503
240426_GGTassay_7dpf_POLDIP2_fasted_plate01_C07	0	2	plate01	fasted	7	C	E07	193000	177000	185000	6.115518	NA	174673.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	3.532538	10.03562	E	7	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	185000	16000	.9170985	2	.03		83			1				2	4	-11.08585	-1.362383	-1.362383
240426_GGTassay_7dpf_POLDIP2_fasted_plate01_C08	0	1	plate01	fasted	8	C	E08	319300	309900	314600	2.112779	NA	304273.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	6.587777	18.71527	E	8	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	314600	9400	.9705606	22	.83		84			0				2	4	-2.411926	-.0241045	-.0241045
240426_GGTassay_7dpf_POLDIP2_fasted_plate02_C10	0	1	plate02	fasted	10	C	E23	311500	300500	306000	2.541887	NA	295673.5	.9932356	y = 42418.9469236263 * x + ( 24826.9596405729 )	24826.96	42418.95	10326.5	2110250	6.385037	18.13931	E	23	20240920_gluGLO_POLDIP2-01	1	240426	GGTassay	POLDIP2	fasted	1	7	306000	11000	.964687	70	2.75		94			0				2	4	-3.045165	-.1208042	-.0723697
