index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	sirt1_dich	batch	gluc_Res	intgluc	intgluc_Res
SIRT1_001	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_A01	2	2	plate04	fasted	1	A	A02	248900	250400	249650	.4248589	NA	232500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.283051	15.00867	A	2	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	249650	1500	1.006027	2	1	1	-2.064229	-.3593968	-.3282931
SIRT1_009	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_A02	2	2	plate04	fasted	2	A	A04	786000	807200	796600	1.881831	NA	779450	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	17.8884	50.81933	A	4	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	796600	21200	1.026972	4	1	1	33.7397	2.756187	2.756187
SIRT1_017	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_A03	2	2	plate04	fasted	3	A	A06	366500	422900	394700	10.10408	NA	377550	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.625964	24.50558	A	6	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	394700	56400	1.153888	6	1	1	7.419212	1.146806	1.236227
SIRT1_025	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_A04	2	2	plate04	fasted	4	A	A08	271900	259100	265500	3.409027	NA	248350	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.64834	16.04642	A	8	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	265500	12800	.9529239	8	1	1	-1.046684	-.1619502	-.0293215
SIRT1_033	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_A05	2	2	plate04	fasted	5	A	A10	245600	276400	261000	8.344402	NA	243850	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.54463	15.75179	A	10	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	261000	30800	1.125407	10	1	1	-1.348048	-.236731	-.1175392
SIRT1_041	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_A06	2	2	plate04	fasted	6	A	A13	258200	254000	256100	1.159644	NA	238950	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.431702	15.43097	A	13	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	256100	4200	.9837335	12	1	1	-1.675604	-.2975039	-.236731
SIRT1_049	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_A07	2	2	plate04	fasted	7	A	A15	247000	250400	248700	.966692	NA	231550	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.261157	14.94647	A	15	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	248700	3400	1.013765	14	1	1	-2.166842	-.3908523	-.3438034
SIRT1_057	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_A08	2	2	plate04	fasted	8	A	A17	170600	228100	199350	20.39561	NA	182200	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.123806	11.71536	A	17	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	199350	57500	1.337046	16	1	1	-5.40469	-.9216232	-.7745655
SIRT1_065	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_A09	2	2	plate04	fasted	9	A	A19	279900	277200	278550	.6854024	NA	261400	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.949098	16.90085	A	19	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	278550	2700	.9903537	18	1	1	-.225933	0	.073359
SIRT1_073	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_A10	2	2	plate04	fasted	10	A	A21	396700	421300	409000	4.253014	NA	391850	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.955531	25.44185	A	21	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	409000	24600	1.062012	20	1	1	8.308331	1.268335	1.268335
