filename	time	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assay_plate	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	random_nr	time_jitter	slc2a2_dich	position	znf598_dich	tp53inp1_dich	poldip2_dich	assay_jitter	sirt1_dich	atp2a3_dich	batch	injset	gluc_Res	intgluc	intgluc_Res
20240510_GGTassay_7dpf_SLC2A2_fasted_plate01_A03	0	2	plate01	fasted	3	A	A03	937100	932300	934700	.3631232	NA	928749.5	.9978146	y = 45385.4646434946 * x + ( 17960.3225708191 )	17960.32	45385.46	5950.5	2263500	20.06786	57.01097	A	3	20240920_gluGLO_SLC2A2-01	1	20240510	GGTassay	SLC2A2	fasted	1	7	934700	4800	.9948778	34	1.31	1	3							2	4	4.189227	.4192958	.2211187
20240510_GGTassay_7dpf_SLC2A2_fasted_plate01_A04	0	1	plate01	fasted	4	A	A04	326000	309700	317850	3.626189	NA	311899.5	.9978146	y = 45385.4646434946 * x + ( 17960.3225708191 )	17960.32	45385.46	5950.5	2263500	6.476505	18.39916	A	4	20240920_gluGLO_SLC2A2-01	1	20240510	GGTassay	SLC2A2	fasted	1	7	317850	16300	.95	14	.51	0	4							2	4	-34.32404	-.8871465	-1.534121
20240510_GGTassay_7dpf_SLC2A2_fasted_plate02_A09	0	2	plate02	fasted	9	A	A22	1109000	1107000	1108000	.1276366	NA	1102050	.9978146	y = 45385.4646434946 * x + ( 17960.3225708191 )	17960.32	45385.46	5950.5	2263500	23.88626	67.8587	A	22	20240920_gluGLO_SLC2A2-01	1	20240510	GGTassay	SLC2A2	fasted	1	7	1108000	2000	.9981966	64	2.51	1	19							2	4	16.61364	.8871465	.560703
20240510_GGTassay_7dpf_SLC2A2_fasted_plate02_A10	0	1	plate02	fasted	10	A	A23	314100	322100	318100	1.778326	NA	312149.5	.9978146	y = 45385.4646434946 * x + ( 17960.3225708191 )	17960.32	45385.46	5950.5	2263500	6.482013	18.41481	A	23	20240920_gluGLO_SLC2A2-01	1	20240510	GGTassay	SLC2A2	fasted	1	7	318100	8000	1.02547	91	3.59	0	20							2	4	-32.73172	-.7977768	-1.356312
20240510_GGTassay_7dpf_SLC2A2_fasted_plate03_A01	0	2	plate03	fasted	1	A	B01	1132000	1094000	1113000	2.414201	NA	1107050	.9978146	y = 45385.4646434946 * x + ( 17960.3225708191 )	17960.32	45385.46	5950.5	2263500	23.99643	68.17168	B	1	20240920_gluGLO_SLC2A2-01	1	20240510	GGTassay	SLC2A2	fasted	1	7	1113000	38000	.9664311	49	1.91	1	28							2	4	17.81349	.984235	.7143674
20240510_GGTassay_7dpf_SLC2A2_fasted_plate01_B03	0	2	plate01	fasted	3	B	C03	1107000	1086000	1096500	1.35424	NA	1090550	.9978146	y = 45385.4646434946 * x + ( 17960.3225708191 )	17960.32	45385.46	5950.5	2263500	23.63288	67.13886	C	3	20240920_gluGLO_SLC2A2-01	1	20240510	GGTassay	SLC2A2	fasted	1	7	1096500	21000	.9810298	81	3.19	1	31							2	4	17.0763	.7977768	.635657
20240510_GGTassay_7dpf_SLC2A2_fasted_plate01_B04	0	1	plate01	fasted	4	B	C04	317800	310000	313900	1.757067	NA	307949.5	.9978146	y = 45385.4646434946 * x + ( 17960.3225708191 )	17960.32	45385.46	5950.5	2263500	6.389472	18.15191	C	4	20240920_gluGLO_SLC2A2-01	1	20240510	GGTassay	SLC2A2	fasted	1	7	313900	7800	.9754562	13	.47	0	32							2	4	-31.81211	-.984235	-1.09162
20240510_GGTassay_7dpf_SLC2A2_fasted_plate02_B09	0	2	plate02	fasted	9	B	C22	1798000	1771000	1784500	1.069873	NA	1778550	.9978146	y = 45385.4646434946 * x + ( 17960.3225708191 )	17960.32	45385.46	5950.5	2263500	38.79192	110.2043	C	22	20240920_gluGLO_SLC2A2-01	1	20240510	GGTassay	SLC2A2	fasted	1	7	1784500	27000	.9849833	28	1.07	1	47							2	4	61.71842	1.780464	1.780464
20240510_GGTassay_7dpf_SLC2A2_fasted_plate02_B10	0	1	plate02	fasted	10	B	C23	357100	362300	359700	1.022228	NA	353749.5	.9978146	y = 45385.4646434946 * x + ( 17960.3225708191 )	17960.32	45385.46	5950.5	2263500	7.398606	21.01877	C	23	20240920_gluGLO_SLC2A2-01	1	20240510	GGTassay	SLC2A2	fasted	1	7	359700	5200	1.014562	5	.15	0	48							2	4	-27.36858	-.635657	-.984235
20240510_GGTassay_7dpf_SLC2A2_fasted_plate03_B02	0	1	plate03	fasted	2	B	D02	529800	534700	532250	.6509767	NA	526299.5	.9978146	y = 45385.4646434946 * x + ( 17960.3225708191 )	17960.32	45385.46	5950.5	2263500	11.20048	31.81956	D	2	20240920_gluGLO_SLC2A2-01	1	20240510	GGTassay	SLC2A2	fasted	1	7	532250	4900	1.009249	62	2.43	0	56							2	4	-15.77946	-.031338	-.3517843
