index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	slc5a2_dich	batch	gluc_Res	intgluc	intgluc_Res
SLC5A2_001	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_A01	1	2	plate02	fasted	1	A	A13	239700	231300	235500	2.522164	NA	222773.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.997047	17.03707	A	13	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	235500	8400	.9649562	10	1	1	2.029983	.3591108	.5279112
SLC5A2_009	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_A02	1	1	plate02	fasted	2	A	A14	123400	115100	119250	4.921582	NA	106523.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.724318	7.739541	A	14	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	119250	8300	.9327391	11	0	1	-7.276742	-1.873672	-1.59929
SLC5A2_017	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_A03	2	2	plate02	fasted	3	A	A15	155500	146800	151150	4.070016	NA	138423.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.622383	10.29086	A	15	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	151150	8700	.9440514	12	1	1	-3.554888	-1.195972	-.4588506
SLC5A2_025	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_A04	2	1	plate02	fasted	4	A	A16	199800	172000	185900	10.57427	NA	173173.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.600683	13.07012	A	16	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	185900	27800	.8608609	13	0	1	-.7848275	-.3591108	.045869
SLC5A2_033	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_A05	1	2	plate02	fasted	5	A	A17			149860		NA	137133.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.586066		A	17	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	149860	101480	.4941176	14	1	1			
SLC5A2_041	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_A06	1	1	plate02	fasted	6	A	A18	192000	168800	180400	9.093613	NA	167673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.445844	12.63024	A	18	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	180400	23200	.8791667	15	0	1	-2.422843	-.4930868	-.2946089
SLC5A2_049	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_A07	2	2	plate02	fasted	7	A	A19	180500	185100	182800	1.779372	NA	170073.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.51341	12.82219	A	19	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	182800	4600	1.025485	16	1	1	-1.060361	-.425144	-.1071952
SLC5A2_057	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_A08	2	1	plate02	fasted	8	A	A20	199500	175100	187300	9.211642	NA	174573.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.640096	13.18209	A	20	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	187300	24400	.8776942	17	0	1	-.7096567	-.2628283	.1071952
SLC5A2_065	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_A09	1	1	plate02	fasted	9	A	A21	159700	125500	142600	16.95866	NA	129873.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.381679	9.607043	A	21	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	142600	34200	.7858484	18	0	1	-5.473637	-1.41001	-1.260977
SLC5A2_073	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_A10	2	1	plate02	fasted	10	A	A22	291500	270200	280850	5.362782	NA	268123.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.273763	20.6641	A	22	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	280850	21300	.9269297	19	0	1	6.753953	.7946292	.9755887
