index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	tbc1d4_dich	batch	gluc_Res	intgluc	intgluc_Res
TBC1D4_001	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_A01	1	2	plate05	fasted	1	A	A19	291000	266200	278600	6.294418	NA	263895	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.199254	17.61152	A	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	278600	24800	.9147766	18	1	1	5.411977	.9591166	1.00999
TBC1D4_009	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_A02	1	1	plate05	fasted	2	A	A20	190100	174700	182400	5.97009	NA	167695	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.865148	10.98053	A	20	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	182400	15400	.91899	19	0	1	-1.22081	-.1731927	-.0156671
TBC1D4_017	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_A03	2	2	plate05	fasted	3	A	A21	252300	226200	239250	7.713892	NA	224545	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.244502	14.89915	A	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	239250	26100	.8965517	20	1	1	2.30989	.5065081	.5424624
TBC1D4_025	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_A04	2	1	plate05	fasted	4	A	A22	240600	223100	231850	5.33723	NA	217145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.064956	14.38908	A	22	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	231850	17500	.9272652	21	0	1	1.798009	.4364642	.4711971
TBC1D4_033	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_A05	1	2	plate05	fasted	5	A	A23	235900	201600	218750	11.08743	NA	204045	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.74711	13.48611	A	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	218750	34300	.8545994	22	1	1	1.279346	.3021995	.3685006
TBC1D4_041	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_A06	1	1	plate05	fasted	6	A	A24	176100	153700	164900	9.605331	NA	150195	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.440544	9.774274	A	24	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	164900	22400	.8727996	23	0	1	-2.434294	-.5065081	-.4364642
TBC1D4_081	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_A11	2	1	plate05	fasted	11	A	B23			128097.5		NA	113392.5	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.547604		B	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7		243805		25	0	1			
TBC1D4_073	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_A10	2	1	plate05	fasted	10	A	B21	183300	165300	174300	7.302308	NA	159595	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.668617	10.42221	B	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	174300	18000	.9018003	27	0	1	-2.179698	-.3021995	-.2695584
TBC1D4_065	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_A09	2	2	plate05	fasted	9	A	B19	202200	182500	192350	7.242009	NA	177645	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.106565	11.66638	B	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	192350	19700	.9025717	29	1	1	-.9391397	.0156671	.0784124
TBC1D4_057	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_A08	2	1	plate05	fasted	8	A	B17	149200	142200	145700	3.397218	NA	130995	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.974694	8.450835	B	17	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	145700	7000	.9530831	31	0	1	-4.158294	-.9591166	-.86416
