filename	time	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assay_plate	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	random_nr	time_jitter	slc2a2_dich	position	znf598_dich	tp53inp1_dich	poldip2_dich	assay_jitter	sirt1_dich	atp2a3_dich	batch	injset	gluc_Res	intgluc	intgluc_Res
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_A05	0	2	plate01	fasted	5	A	A05	337000	313700	325350	5.063958	NA	319207	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	7.211913	20.48839	A	5	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	325350	23300	.9308605	9	.31		5		1					2	4	-10.92312	-.1451209	-.9420758
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_A06	0	1	plate01	fasted	6	A	A06	574300	553400	563850	2.621004	NA	557707	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	13.12501	37.28695	A	6	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	563850	20900	.9636078	8	.27		6		0					2	4	5.982575	.9420758	.6744897
20240430_GGTassay_7dpf_TP53INP1_fasted_plate02_A07	0	2	plate02	fasted	7	A	A20	223600	216500	220050	2.281508	NA	213907	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	4.601226	13.07166	A	20	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	220050	7100	.9682469	37	1.43		16		1					2	4	-17.1614	-.8010945	-1.303783
20240430_GGTassay_7dpf_TP53INP1_fasted_plate02_A08	0	1	plate02	fasted	8	A	A21	531900	521300	526600	1.423344	NA	520457	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	12.20147	34.66328	A	21	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	526600	10600	.9800714	91	3.59		17		0					2	4	4.537344	.6744897	.4484255
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_B08	0	1	plate01	fasted	8	B	C08	411800	389700	400750	3.899453	NA	394607	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	9.081294	25.79913	C	8	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	400750	22100	.9463332	33	1.27		25		0					2	4	-3.469757	.0482231	-.1451209
20240430_GGTassay_7dpf_TP53INP1_fasted_plate02_B09	0	2	plate02	fasted	9	B	C22	717000	696000	706500	2.101804	NA	700357	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	16.66171	47.3344	C	22	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	706500	21000	.9707113	68	2.67		34		1					2	4	19.02969	1.574445	1.303783
20240430_GGTassay_7dpf_TP53INP1_fasted_plate02_B10	0	1	plate02	fasted	10	B	C23	746000	740200	743100	.5519068	NA	736957	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	17.56913	49.91229	C	23	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	743100	5800	.9922252	88	3.47		35		0					2	4	21.71471	2.069902	2.069902
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_C07	0	2	plate01	fasted	7	C	E07	456400	426200	441300	4.839027	NA	435157	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	10.08664	28.65524	E	7	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	441300	30200	.93383	12	.43		42		1					2	4	1.207577	.3441025	.0482231
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_C08	0	1	plate01	fasted	8	C	E08	495800	484700	490250	1.600996	NA	484107	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	11.30025	32.10299	E	8	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	490250	11100	.977612	28	1.07		43		0					2	4	4.762462	.5578848	.5578848
20240430_GGTassay_7dpf_TP53INP1_fasted_plate02_C09	0	2	plate02	fasted	9	C	E22	495500	429900	462700	10.02511	NA	456557	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	10.61721	30.16253	E	22	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	462700	65600	.8676085	64	2.51		53		1					2	4	3.89331	.4484255	.2434042
20240430_GGTassay_7dpf_TP53INP1_fasted_plate02_C10	0	1	plate02	fasted	10	C	E23	328400	290400	309400	8.684569	NA	303257	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	6.816467	19.36496	E	23	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	309400	38000	.8842875	86	3.39		54		0					2	4	-6.797127	-.3441025	-.4484255
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_D07	0	2	plate01	fasted	7	D	G07	261700	227900	244800	9.763157	NA	238657	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	5.214849	14.81491	G	7	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	244800	33800	.8708445	48	1.87		59		1					2	4	-10.81152	-.5578848	-.8010945
