filename	time	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assay_plate	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	random_nr	time_jitter	slc2a2_dich	position	znf598_dich	tp53inp1_dich	poldip2_dich	assay_jitter	sirt1_dich	atp2a3_dich	batch	injset	gluc_Res	intgluc	intgluc_Res
20240429_GGTassay_7dpf_ZNF598_fasted_plate01_A09	0	2	plate01	fasted	9	A	A09	644100	613300	628700	3.464115	NA	621955	.9983861	y = 47609.7417411468 * x + ( 12868.1970758455 )	12868.2	47609.74	6745	2373500	12.79332	36.34467	A	9	20240920_gluGLO_ZNF598-01	1	20240429	GGTassay	ZNF598	fasted	1	7	628700	30800	.9521813	52	2.03		9	1						2	3	5.163167	.2399812	.2399812
20240429_GGTassay_7dpf_ZNF598_fasted_plate01_A10	0	1	plate01	fasted	10	A	A10	158700	150300	154500	3.844464	NA	147755	.9983861	y = 47609.7417411468 * x + ( 12868.1970758455 )	12868.2	47609.74	6745	2373500	2.833177	8.048797	A	10	20240920_gluGLO_ZNF598-01	1	20240429	GGTassay	ZNF598	fasted	1	7	154500	8400	.9470699	23	.87		10	0						2	3	-23.13387	-1.3116	-1.3116
20240429_GGTassay_7dpf_ZNF598_fasted_plate02_A03	0	2	plate02	fasted	3	A	A16	1002000	968500	985250	2.404271	NA	978505	.9983861	y = 47609.7417411468 * x + ( 12868.1970758455 )	12868.2	47609.74	6745	2373500	20.28234	57.62027	A	16	20240920_gluGLO_ZNF598-01	1	20240429	GGTassay	ZNF598	fasted	1	7	985250	33500	.9665669	84	3.31		13	1						2	3	26.4341	1.421497	1.421497
20240429_GGTassay_7dpf_ZNF598_fasted_plate02_A04	0	1	plate02	fasted	4	A	A17	274800	259200	267000	4.131411	NA	260255	.9983861	y = 47609.7417411468 * x + ( 12868.1970758455 )	12868.2	47609.74	6745	2373500	5.196138	14.76176	A	17	20240920_gluGLO_ZNF598-01	1	20240429	GGTassay	ZNF598	fasted	1	7	267000	15600	.9432315	10	.35		14	0						2	3	-16.42558	-.5194481	-.5194481
20240429_GGTassay_7dpf_ZNF598_fasted_plate04_A02	0	1	plate04	fasted	2	A	B15	437700	414100	425900	3.918225	NA	419155	.9983861	y = 47609.7417411468 * x + ( 12868.1970758455 )	12868.2	47609.74	6745	2373500	8.53369	24.24344	B	15	20240920_gluGLO_ZNF598-01	1	20240429	GGTassay	ZNF598	fasted	1	7	425900	23600	.9460818	55	2.15		27	0						2	3	-6.959079	-.1957222	-.1518435
20240429_GGTassay_7dpf_ZNF598_fasted_plate04_A01	0	2	plate04	fasted	1	A	B14	670100	641900	656000	3.039697	NA	649255	.9983861	y = 47609.7417411468 * x + ( 12868.1970758455 )	12868.2	47609.74	6745	2373500	13.36674	37.97368	B	14	20240920_gluGLO_ZNF598-01	1	20240429	GGTassay	ZNF598	fasted	1	7	656000	28200	.9579167	19	.71		28	1						2	3	6.769994	.3300273	.3300273
20240429_GGTassay_7dpf_ZNF598_fasted_plate03_A10	0	1	plate03	fasted	10	A	B10	210200	200100	205150	3.481247	NA	198405	.9983861	y = 47609.7417411468 * x + ( 12868.1970758455 )	12868.2	47609.74	6745	2373500	3.897034	11.07112	B	10	20240920_gluGLO_ZNF598-01	1	20240429	GGTassay	ZNF598	fasted	1	7	205150	10100	.9519506	80	3.15		29	0						2	3	-20.13373	-.7874227	-.7874227
20240429_GGTassay_7dpf_ZNF598_fasted_plate03_A09	0	2	plate03	fasted	9	A	B09	681200	633700	657450	5.108765	NA	650705	.9983861	y = 47609.7417411468 * x + ( 12868.1970758455 )	12868.2	47609.74	6745	2373500	13.39719	38.0602	B	9	20240920_gluGLO_ZNF598-01	1	20240429	GGTassay	ZNF598	fasted	1	7	657450	47500	.9302701	71	2.79		30	1						2	3	6.854184	.3760274	.3760274
20240429_GGTassay_7dpf_ZNF598_fasted_plate01_B09	0	2	plate01	fasted	9	B	C09	646000	615200	630600	3.453677	NA	623855	.9983861	y = 47609.7417411468 * x + ( 12868.1970758455 )	12868.2	47609.74	6745	2373500	12.83323	36.45804	C	9	20240920_gluGLO_ZNF598-01	1	20240429	GGTassay	ZNF598	fasted	1	7	630600	30800	.952322	92	3.63		45	1						2	3	5.23451	.2847156	.2847156
20240429_GGTassay_7dpf_ZNF598_fasted_plate01_B10	0	1	plate01	fasted	10	B	C10	175100	160300	167700	6.240417	NA	160955	.9983861	y = 47609.7417411468 * x + ( 12868.1970758455 )	12868.2	47609.74	6745	2373500	3.110431	8.836451	C	10	20240920_gluGLO_ZNF598-01	1	20240429	GGTassay	ZNF598	fasted	1	7	167700	14800	.9154769	58	2.27		46	0						2	3	-22.38825	-1.215598	-1.215598
