filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	sod3a_nwt	sod3b_nwt	sod3_nwt	sod3_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_A09	200924	1	NE082	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	.0533313	0	.0266656	0	1	18.489906	15.483468	16.854945	8.0990448	23.304538	1	24	73	402692	6495	4667	9019	2999	62	3.672e+09	1	4912622	182059	137	314	193	135	53	919419	4336	13875.317	11130.728	6.02e+07	494.0111	1.01e+07	1				10_SOD3	1	1	2	8.391666	1	1	4								.9457771	1.967025	1.57718	1.57718	1.23544	1.802743	-.2104284	-.2104284	1.016222	.6744897	.1701847	.1359107	-.1359107	-.9319713	-.1359107	-.6533766	-.6533766	-.2743915	0	-.3097425	1.397837	-.3097425	.4183713
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_E05	200924	1	NE066	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	.8627562	.9313781	1	3	14.157104	12.454834	7.1034952	7.2823344	18.160393	1	8	57	546015	6424	5920	9438	2912	85	4.884e+09	2	7019223	217708	177	313	202	130	45	670204	3390	12135.853	10879.847	4.11e+07	-937.2858	-8112732	33	3899.673	1021257	1426111	10_SOD3	1	1	2	7.1	1	1	4	-.7076435	-.3462343	.0261137	-1.318011	-1.00999	.8490862	.4405008	.0822773	.9457771	.9457771	-.6616482	.2749777	-.4637077	-.3661064	-.3343768	.5312607	.0298452	1.166919	.5716375	-.2046599	.2046599	.0677986	-.4935534	-.7397372	.8320063	.6533766	1.042247	1.166919	.1701847	.1359107
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_A05	200924	1	NE062	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	0	0	0	0	1	11.863267	14.46258	12.986077	7.2483048	14.341254	1	4	53	719474	7495	5722	8945	3197	96	6.714e+09	2	7376676	284324	180	311	210	161	122	865647	11008	10808.7	9067.7043	1.19e+08	-38.51311	7.53e+07	83	4257.02	1210869	1645002	10_SOD3	1	1	2	6.816667	1	1	4	.5791321	1.454408	1.454408	1.101146	.8490862	-.1838047	-.0533578	.7137046	-.6362858	.8833463	1.160362	-.3186394	1.241867	.920823	1.1219	1.802743	1.802743	1.494155	1.494155	.4935534	0	.8320063	-.8320063	-.4935534	.9319713	1.494155	1.312981	.9319713	.3816746	1.312981
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_E02	200924	1	NE047	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3		13.441692	7.7218798	6.5677128	13.328014	1	38	38	295116	4760	3659	5338	1964	62	1.571e+09	1	3950720	125677	152	211	162	131	75	606150	5216	10036.867	8776.6738	5.24e+07	-452.8624	9539688		3593.611	916761.2	1162120	10_SOD3	1	1	1	5.1	1	1	4	-2.310991	-1.454408	-2.310991	-1.101146	-.2372021	1.454408	.6250856	.2917317	-.9457771	.5149938	-.2917317		-1.1219	.27188	.0597171	.8331469	.6013318	.1701847	-.6533766	-1.166919	-1.312981	-1.744448	-1.744448	-1.494155	-.7397372	-.8320063	.0677986	-2.211127	-1.166919	.2743915
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_C04	200924	1	NE057	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	0	0	0	0	1	3.5799696	10.889472	9.6721698	5.444736	17.303035	1	48	48															70	920300	5760	7859.353	7708.3319	4.53e+07	-1318.091	5728900					10_SOD3	1	1	1	6.455555	1	1	4								-.3786901	.6113263	.0822773	.3786901	-1.959964	2.260189	.0896424	.149762	.6013318	.5312607													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_E03	200924	1	NE052	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	12.500444	8.7456072	4.5348206	4.6960848	15.744203	1	43	43	384779	8016	7265	9324	2877	48	3.412e+09	2	4722050	168125	135	255	201	122	33	636982	2800	10248.965	9155.8136	2.87e+07	-706.4769	-1.53e+07	10	3942.127	1027463	1422747	10_SOD3	1	1	1	5.5	1	1	4	-.518418	-.291285	-.0784124	-.6420614	-.5791321	-.8490862	.325661	-.6616482	-.0411038	-.2917317	-1.967025	-.1891184	-.8331469	-.5312607	-.5312607	.3982089	-.5312607	-.4183713	0	.8320063	1.494155	-.2743915	-.5716375	-.8320063	-.3454851	-.0677986	-.4935534	-.8808881	.0677986	-.2743915
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_C06	200924	1	NE071	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	11.863267	1.9737168	8.6573847	3.7092264	15.900086	1	13	62																								3779.978	965315.6	1262040	10_SOD3	1	1	2	7.483333	1	1	4	-1.101146	-.8490862	-1.00999	-.4595582	-1.454408	.9265376	.1068681	-2.400036	.0822773	-.9457771	.0411038	-.3186394																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_G06	200924	1	NE074	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	11.353526	8.5414296	5.914294	4.1856408	15.900086	1	16	65																								3621.776	926839.9	1186076	10_SOD3	1	1	2	7.7	1	1	4	-1.624981	-1.101146	-1.862732	-1.454408	-1.202508	-.5791321	1.614666	-.8241822	.0822773	-.7404675	-.9457771	-.5977601																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_A06	200924	1	NE069	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	0	0	0	0	1	15.813763	12.965278	8.3878325	6.3635352	15.198612	1	11	60															45	849692	3200	8512.1544	7996.2714	2.72e+07	-1018.977	-1.32e+07	376	4240.007	1120086	1564597	10_SOD3	1	1	2	7.333333	1	1	4	.4022501	.6420614	1.101146	-.1838047	.6420614	.3462343	.3824499	.1651163	-.3348942	.3567066	0	.6744897	1.1219	-.3661064	-.3982089	.3343768	-.4637077													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_C09	200924	1	NE084	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	11.735832	13.713929	12.526253	4.1856408	16.367736	1	26	75																							24	4025.223	989286.2	1323754	10_SOD3	1	1	2	8.533334	1	1	4	-.1838047	-.6420614	-.7076435	-1.862732	-.3186394	-1.862732	.5614833	.3786901	.2917317	-.7404675	1.08327	-.4537622																		
