filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	txnipa_nwt	txnipb_nwt	txnip_nwt	txnip_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_G03	200925	1	NE469	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.9833542	1	.9916771	1	3	4.4752993	1.4973024	1.3794734	.9528288	1.7147152	1	22	22																								3706.152	853507.4	1125559	11_TXNIP	1	1	1	5.066667	1	1	2	-.3572158	-.2957227	-.4846749	-.9368471	-.3572158	-1.813418	.247039	.3703642	-.2822162	.2822162	-1.833915	-.8254945																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_C06	200925	1	NE480	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	8.7842269	.2041776	1.8868659	.85074	4.7544376	1	33	33																							0	3663.438	814239.2	1084974	11_TXNIP	1	1	1	6.683333	1	1	2	-.6205683	-1.031459	-.8499573	0	-1.031459	2.269206	.3754618	-1.701288	.5894558	-.1397103	-.027855	.2007308																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_C04	200925	1	NE473	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	14.170387	1.4973024	2.2039862	1.1570064	7.8721016	1	26	26	505863	6930	6252	8662	2889	73	4.189e+09	2	6573856	203005	150	322	238	112									30	4226.059	1052854	1429894	11_TXNIP	1	1	1	5.583333	1	1	2	.9368471	.9368471	.9368471	.7690553	.7690553	-2.269206	-.3106094	.3703642	1.701288	1.701288	1.347629	1.582058						.63364	.7164975	.1323128	0	-1.118958	-1.412188	-1.118958	1.937932	.8994349	1.25212	1.412188	1.619856	-.7164975
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_E02	200925	1	NE460	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	0	0	0	0	1	5.8463217	1.70148	2.0454261	.5785032	1.4029488	1	13	13															77	831479	5520	15236.633	14152.822	8.41e+07	-306.1861	8755933	71	4464.688	1143428	1547086	11_TXNIP	1	1	1	4.416667	1	1	2	1.813418	1.395747	1.395747	1.570585	1.813418	1.570585	.581393	.9674216	-.6571085	-1.060562	.6229257	-.3487557	1.731664	1.150349	1.150349	1.731664	.1046335													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_G04	200925	1	NE476	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.9655384	.9445853	.9550619	1	3	12.015923	1.6674504	2.0929941	.9528288	7.8721016	1	29	29																							0	4088.344	993129.3	1349384	11_TXNIP	1	1	1	5.816667	1	1	2	.7690553	.5513477	.4846749	.9368471	-.1757821	.1168527	-.8157657	.8025719	1.701288	.2822162	.923867	.7860842																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_A07	200925	1	NE486	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	0	0	0	0	1	17.500012	1.9056576	1.9027219	1.1229768	5.3779704	1	39	39																								4242.527	1078051	1435039	11_TXNIP	1	1	1	7.666667	1	1	2	1.136341	1.136341	1.031459	.8499573	.9368471	-1.395747	.8157657	1.281552	.7279133	1.16395	.0836517	2.277988																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_E01	200925	1	NE452	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	11.820062	1.0889472	1.7283057	.7826808	3.7411968	1	5	5	307203	6144	5802	17390	5987	50	4.839e+09	1	4510308	121528	142	229	185	114										3657.558	834217.3	1088070	11_TXNIP	1	1	1	3.883333	1	1	2	-.6929004	-.5513477	-.6929004	.6929004	.2957227	.2353289	-1.791764	-.4307273	.4307273	-.3406948	-.6920772	.7106959						-.63364	-1.412188	-1.118958	-.5549229	-.5549229	.7164975	1.118958	0	-.8994349	0	-.7164975	-.0660118	-.5549229
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_A04	200925	1	NE471	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	.9346185	.9673092	1	3	14.072456	1.5993912	1.8551539	1.0549176	5.455912	1	24	24	431354	10031	9415	8048	1915	43	3.323e+09	1	3759505	138967	135	184	174	159									14	3897.663	934959.7	1226705	11_TXNIP	1	1	1	5.45	1	1	2	.1168527	.0583267	-.0583267	-.2957227	0	1.136341	-1.107003	.6920772	.8416212	.7647097	-.167894	1.408136						-1.412188	-.1323128	1.937932	1.937932	-1.937932	-1.937932	-1.937932	-.7164975	-.5549229	-.4067242	-1.412188	-.4067242	1.937932
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_A03	200925	1	NE464	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.0152357	0	.0076178	0	1	5.7483915	1.4632728	1.9185779	.7826808	2.1823648	1	17	17	483783	6627	5043	22360	6723	73	1.086e+10	1	5086867	208516	146	256	211	133	58	623786	4704	11993.661	11072.551	5.64e+07	335.3658	3.02e+07	6	3774.872	929591.4	1291379	11_TXNIP	1	1	1	4.7	1	1	2	-.1757821	0	.1757821	-.1757821	-.8499573	.0583267	.7332358	.2533471	.0557317	-.3406948	.167894	-.4727891	-.8122178	.5485223	.5485223	.8122178	.8122178	.63364	.2669941	-.2669941	-1.412188	1.937932	1.937932	1.412188	.4067242	1.118958	.4067242	0	.8994349	.7164975
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_G06	200925	1	NE484	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.9468842	1	.9734421	1	3	6.4339027	.510444	2.0612821	.85074	2.1823648	1	37	37																								3694.987	782358.1	996419.1	11_TXNIP	1	1	1	6.95	1	1	2	-.4846749	-1.813418	-2.269206	-1.136341	-.1168527	-.0583267	-1.227826	-1.281552	.0557317	-.1397103	.7279133	-.1717471																		
