filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	pdx1_dich	qRNA	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_G02	220401	1	NW312	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	14.144868	.340296	.47568048	.4083552	.779416	1	13	13	342762	5273	4897	4939	1498	65	1.839e+09	2	2666220	112517	109	235	165	107	329	594595	26231	8153.9648	6753.3118	2.14e+08	67.65782	3.05e+07	3				127_PDX1	1	1	1	3.6	0	1	1	1	8								-.273482	.4228376	.032419	.7810338	.1949213	-.7188681	.9132499	.8449332	.5136787	.128001	.6138328	.3747248	-.227256	-.0281681	-.0845939	-.7752326	-.8537231	-.4987188	-.5308747	-.5635893	-.1841031	-.3747248	-.2854742
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_C01	220401	1	NW301	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	10.118776	.340296	.31712032	.4083552	.4676496	1	2	2	590454	6215	5664	6415	2261	95	3.682e+09	3	9225331	246120	217	373	236	129	262	771224	20195	11102.036	7973.9512	2.24e+08	1304.134	-3.48e+07	29	4044.773	825559.1	1515250	127_PDX1	1	1	1	2.5	0	1	1	1	8	-.0517061	-.6344714	.4260065	-.3978759	-.1556757	-.7916386	.8229678	-.273482	-.2511164	.032419	-.065437	-.3853205	.0813229	.2822162	.1985783	.6238741	-.4953255	1.909639	2.123549	.4987188	.7752326	.5969185	-.4051146	-.4670705	2.535274	1.909639	2.535274	2.123549	1.758563	.8741759
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_E01	220401	1	NW303	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	6.3735744	.3062664	.26955227	.1020888	.5455912	1	4	4	409635	4996	4652	13607	4483	82	5.246e+09	1	5224144	198003	143	274	214	125	283	616040	21308	10728.154	8087.1476	2.29e+08	771.5264	-3.74e+07	73	4113.876	892551.3	1405819	127_PDX1	1	1	1	2.666667	0	1	1	1	8	.2082272	-.1295693	-.0776024	-.6031758	-.3978759	-.0551186	.3221112	-.9616869	-.0432312	-1.551885	-.6141285	-.979622	-.5757047	.4953255	.3186394	.652593	-.5217393	1.078302	.7012515	-.4670705	-.1697986	1.307593	1.453563	1.539856	.7752326	.8950011	.5969185	.4051146	1.029232	.4358834
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_G03	220401	1	NW319	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	6.3735744	.3743256	.36468837	.4423848	.4676496	1	20	20	501008	6592	5629	7847	2290	76	3.945e+09	1	5667469	211705	158	235	181	152	174	589534	15087	7387.328	7325.6338	1.11e+08	-1501.495	-1.07e+08		4208.667	1003896	1539265	127_PDX1	1	1	1	4.35	0	1	1	1	8	.6031758	.6990255	.5125768	.0776024	-1.038647	-.8694237	.2944409	.4585578	-.2511164	.2511164	.3100516	-.979622	-.7492547	-.418029	-.3678797	0	-.8785789	.9599534	1.244045	.9378634	.6656764	.7377372	.0563585	-.4051146	.9378634	1.130117	1.214075	-.1841031	.2417308	1.909639
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_E03	220401	1	NW317	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	23.976022	.4083552	.26955227	.680592	.1558832	1	18	18	421144	6580	5640	7812	2432	64	3.216e+09	1	4729196	145592	117	288	201	137	130	939395	10366	8473.9237	7168.4581	8.78e+07	-194.5062	-1.21e+08		4399.771	1130703	1659283	127_PDX1	1	1	1	4.15	0	1	1	1	8	1.131768	1.29339	1.084032	.8752401	1.355502	1.388992	1.412188	1.109438	-1.45182	1.715755	-.6141285	1.854719	.7803495	-.8122178	-.8449332	-.2849259	-.9861203	.5147302	.8537231	.8537231	.7012515	.3747248	0	-.2854742	.5308747	.1984454	-.2562565	.5969185	.6482026	1.157199
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_G01	220401	1	NW305	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	3.7519332	.3743256	.33297634	.4764144	.7014744	1	6	6	435822	5009	4373	10221	2738	87	4.549e+09	1	4417352	176989	132	250	222	123	272	529760	21951	10197.02	8420.7484	2.24e+08	-227.3864	-6.28e+07	10	3971.639	858875.8	1354558	127_PDX1	1	1	1	2.8	0	1	1	1	8	-.3425211	-.3425211	-.3425211	-.7666343	-.0776024	-.9103512	-1.281552	.4585578	.2399812	.4948732	.065437	-1.92248	-.9490551	.3554904	.418029	.5956607	-.6599916	1.539856	.8950011	-.4358834	-.5308747	.9378634	.4358834	.0563585	.4987188	.6656764	.1412905	.0422591	1.376912	.3596604
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_A01	220401	1	NW300	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10		.2722368	.26955227	.3062664	.1558832	1	1	1	346024	5865	5300	3460	1042	59	1.313e+09	2	4154795	157735	125	229	191	121	339	469166	25983	9132.7898	7186.4212	2.37e+08	439.1718	2.71e+07	40	3784.93	803637.1	1305092	127_PDX1	1	1	1	2.316667	0	1	1	1	8	-.9953057	-.9537579	-.6344714	-1.583085	-.9137947	-1.043529	-1.025212	-1.551885	-1.45182	-.6343352	-.6141285		-1.479941	.9674216	.8122178	.6818606	.1046335	.3446772	.4051146	.2854742	.3446772	-.4670705	-1.376912	-1.539856	.3149377	.4670705	-.0987355	-.2562565	.4828342	.3149377
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_E02	220401	1	NW310	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	14.613018	.340296	.20612821	.3743256	.779416	1	11	11	161020	3038	2680	12045	5032	53	1.830e+09	3	3554097	126648	138	319	120	104	320	598110	23372	7309.7719	6278.6241	1.71e+08	-110.9223	1.69e+07	0	3974.771	904454.4	1309368	127_PDX1	1	1	1	3.383333	0	1	1	1	8	-.3152428	-.0776024	-.6031758	.1556757	.6031758	.6487755	-1.937932	-.273482	.4228376	-.1737411	-1.51239	.2651303	-.6599916	.7961826	.5217393	.4094043	-.0580564	.0704692	-.6656764	-1.639431	-1.909639	-.1128968	1.029232	1.758563	-.0563585	-.1984454	.4051146	1.307593	-1.185158	-.4051146
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_C03	220401	1	NW315	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	6.9353547	.3062664	.38054438	.3743256	.389708	1	16	16	292987	3959	3104	6897	2381	74	2.136e+09	1	4749570	179838	131	307	181	120	255	599724	19978	5746.7059	5103.6502	1.15e+08	-26.42614	3.37e+07		3901.214	912858.3	1355605	127_PDX1	1	1	1	3.966667	0	1	1	1	8	-.6031758	0	-.3152428	-.4260065	.1295693	-.5498568	-.3221112	-.9616869	-.4346822	-.1737411	.4387129	-.8913764	-.6314019	.1631881	.1514387	.0703373	.1749599	.8950011	.0281681	-1.130117	-1.539856	-.0281681	-.2562565	-.3149377	.5635893	.7377372	.0704692	1.029232	.2417308	.1984454
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_A02	220401	1	NW307	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	5.9990542	.340296	.26955227	.340296	.5455912	1	8	8	378614	5825	5350	10643	3862	65	3.741e+09	1	4242081	177745	137	222	214	114	434	676294	36495	12609.772	10355.802	4.60e+08	-527.9883	5.36e+07	46	3989.286	888932.5	1440601	127_PDX1	1	1	1	3.016667	0	1	1	1	8	-.2347111	-.1556757	.1035509	.8017797	-.8564434	.8299034	-.8229678	-.273482	-.0432312	-.3644564	-.6141285	-1.076244	-.3186394	1.479941	1.297543	1.018561	.418029	.6138328	.5969185	.2562565	.4051146	.6309245	.4987188	.7752326	.3747248	.7012515	.3596604	-.4051146	1.029232	.0140826
