filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	MAPK8IP1_1_nwt	MAPK8IP1_2_nwt	mapk8ip1a_nwt	mapk8ip1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_11dpf_VAST02_plate01_MAPK8IP1_200929_G03	200929	1	ND200	insH2Bfabp	CD15	MAPK8IP1	1	0	0	2	1	11	1	1	1	1	4	11.727175	.0680592	.55496056	.2041776	3.4294304	1	41	90	531860	10429	8086	10940	3127	51	6.102e+09	1	5172456	163319	164	218	173	153	72	711855	6896	11989.317	10829.753	8.27e+07	-456.3699	2.73e+07	37	4358.99	1052899	1431345	12_MAPK8IP1	1	4	2	4.65	1	1	1	.8122178	.1046335	.3186394	.8122178	-.5485223	.8122178	.2298841	-1.833915	-.3406948	-.8416212	0	0	-.2822162	.2822162	.5894558	.2822162	.5894558	-.7916386	.7916386	1.465234	1.465234	.7916386	0	0	-.3661064	-.3661064	.3661064	-.7916386	-.7916386	1.067571
InsH2Bfabp_CD15_11dpf_VAST02_plate01_MAPK8IP1_200929_A03	200929	1	ND194	insH2Bfabp	CD15	MAPK8IP1	1	0	0	2	1	11	0	0	0	0	1	13.64704	.3062664	.17441618	.2722368	6.5470944	1	35	84	638222	6512	5990	8256	2282	98	5.485e+09	2	8604872	294914	157	285	271	153	103	940970	9968	12271.482	10769.046	1.22e+08	-96.50727	6.76e+07	2				12_MAPK8IP1	1	4	2	4.233334	1	1	1								1.281552	.9674216	.167894	-1.833915	.3406948	.9674216	.9674216	.9674216	.5894558	.9674216	1.465234	1.465234	0	0	0	-.3661064	-.7916386	1.465234	1.465234	0	.3661064	1.465234	1.067571
InsH2Bfabp_CD15_11dpf_VAST02_plate01_MAPK8IP1_200929_D03	200929	1	ND197	insH2Bfabp	CD15	MAPK8IP1	1	0	0	2	1	11	0	0	0	0	1	9.4873339	.1020888	.84036885	.2382072	4.2088464	1	38	87	330796	5513	4969	17226	7413	60	5.778e+09	2	4885767	156650	173	270	176	132	81	832172	5703	38875.506	27310.017	2.22e+08	5337.098	-1.73e+07	0	4064.827	965181	1339305	12_MAPK8IP1	1	4	2	4.45	1	1	1	-.1046335	-.8122178	-.8122178	.1046335	1.150349	.1046335	-.2298841	-1.281552	.0836517	-.2533471	.7279133	-1.281552	0	.5894558	.2822162	1.593219	0	0	-.7916386	-.7916386	-.3661064	.3661064	1.465234	1.465234	-.7916386	-.7916386	1.465234	-.3661064	-.3661064	-.3661064
InsH2Bfabp_CD15_11dpf_VAST02_plate01_MAPK8IP1_200929_C03	200929	1	ND196	insH2Bfabp	CD15	MAPK8IP1	1	0	0	2	1	11		1	1	1	4	6.6075376	.1361184	.41225642	.2041776	3.117664	1	37	86															9	301350	460	17097.415	13266.298	7864811	1533.25	-7.46e+07	0	3570.003	898682.3	1070245	12_MAPK8IP1	1	4	2	4.366667	1	1	1	-1.731664	-1.731664	-1.731664	-.5485223	-.3186394	1.150349	-1.690622	-.9674216	-.6229257	-.8416212	-.7279133	-1.833915	-1.593219	-.5894558	-.5894558	-.5894558	-.9674216													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_MAPK8IP1_200929_F03	200929	1	ND199	insH2Bfabp	CD15	MAPK8IP1	1	0	0	2	1	11	0	0	0	0	1	13.327062	.2041776	.90379291	.3062664	4.9103208	1	40	89	503954	7199	6477	15315	5623	70	7.696e+09	2	5755093	199867	135	286	186	152									0	4261.232	1071785	1482621	12_MAPK8IP1	1	4	2	4.583333	1	1	1	.5485223	.3186394	.8122178	-.1046335	.8122178	1.731664	.7478586	-.2533471	.7279133	.6229257	1.281552	.167894						.3661064	.3661064	.3661064	.7916386	1.465234	.7916386	.7916386	.3661064	.3661064	-.3661064	.7916386	0	.3661064
InsH2Bfabp_CD15_11dpf_VAST02_plate01_MAPK8IP1_200929_D02	200929	1	ND189	insH2Bfabp	CD15	MAPK8IP1	1	0	0	2	1	11	0	0	0	0	1	13.860358	.4423848	.36468837	.2382072	2.9617808	1	32	81															6	980348	448	13414.737	9651.0882	6009802	2477.596	-3.62e+07	6	4547.374	1129746	1517194	12_MAPK8IP1	1	4	2	3.8	1	1	1	1.731664	1.150349	1.150349	-.8122178	.3186394	.3186394		1.833915	-.9674216	-.2533471	-.9674216	.5244005	1.593219	-.9674216	-.9674216	-.9674216	-.2822162													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_MAPK8IP1_200929_B01	200929	1	ND179	insH2Bfabp	CD15	MAPK8IP1	1	0	0	2	1	11	0	0	0	0	1	16.846813	.170148	1.0464971	.4083552	7.1706272	1	22	71																							3				12_MAPK8IP1	1	4	2	3.016667	1	1	1								-.6229257	1.833915	1.833915	1.833915	1.281552																		
InsH2Bfabp_CD15_11dpf_VAST02_plate01_MAPK8IP1_200929_H01	200929	1	ND185	insH2Bfabp	CD15	MAPK8IP1	1	0	0	2	1	11	0	0	0	0	1	19.193314	.2382072	.74523275	.3743256	6.7029776	1	28	77																							7				12_MAPK8IP1	1	4	2	3.416667	1	1	1								.3406948	1.281552	1.281552	.5244005	1.833915																		
InsH2Bfabp_CD15_11dpf_VAST02_plate01_MAPK8IP1_200929_E01	200929	1	ND182	insH2Bfabp	CD15	MAPK8IP1	1	0	0	2	1	11	1	1	1	1	4	14.286994	.170148	.68180869	.3062664	4.2088464	1	25	74																							0	4026.926	1016696	1373579	12_MAPK8IP1	1	4	2	3.216667	1	1	1	-.3186394	-.1046335	.1046335	.5485223	.1046335	-.8122178	-.7478586	-.6229257	.0836517	.6229257	.3406948	.7279133																		
InsH2Bfabp_CD15_11dpf_VAST02_plate01_MAPK8IP1_200929_C01	200929	1	ND180	insH2Bfabp	CD15	MAPK8IP1	1	0	0	2	1	11	0	0	0	0	1	9.7006521	.2382072	.4915365	.1020888	.5455912	1	23	72	9011	1001	648	388	50	9	3524734.8	1	2125	774	15	19	14	13									33	4180.634	970519.4	1341833	12_MAPK8IP1	1	4	2	3.083333	1	1	1	.3186394	-.5485223	-.5485223	-1.150349	.5485223	.5485223	0	.3406948	-1.833915	-1.833915	-.3406948	-.9674216						-1.465234	-1.465234	-1.465234	-1.465234	-1.465234	-1.465234	-1.465234	-1.465234	-1.465234	-1.465234	-1.465234	-1.465234	-1.465234
