filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	hmg20a_nwt	hmg20a_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_G03	200930	1	NC705	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.993356	1	2	12.760212	.7826808	.22198422	.3062664	1.94854	1	23	23	259267	5185	4412	15430	6369	50	3.753e+09	1	3098908	114765	126	221	175	91									0	4077.573	976291.5	1266496	13_HMG20A	1	1	1	3.766667	1	1	4	.7344303	.5073057	.1881663	.5503351	.0569997	1.987428	.5073057	.3722894	1.211232	.224227	-.6428442	.3597845						-.1168527	-.4846749	-.7690553	-.6205683	.1757821	1.255486	2.269206	-.3982089	-.6205683	-.2353289	-.3884616	.326315	-1.136341
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_G09	200930	1	NC747	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	1	1	2	3.3095787	.680592	.0951361	.3062664	.4676496	1	16	65	80969	5398	3837	7706	2812	15	5.553e+08	2	1036967	43631	64	263	114	85	7	578316	368	11949.277	10136.518	4397334	698.6492	-7.97e+07	18	4065.339	1025489	1406672	13_HMG20A	1	1	2	8.783334	1	1	4	.6396686	.7843482	1.072307	.1124738	.6744897	-.3811055	-.5503351	0	-1.621835	.224227	-1.791764	-2.244607	.2487277	-1.402673	-1.402673	-1.906358	-1.260339	-1.679661	-1.395747	-.4846749	-1.031459	-1.136341	-.7690553	-.6205683	-1.382994	-1.570585	-1.570585	.5513477	-1.570585	-1.255486
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_E07	200930	1	NC730	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.0514867	0	1	10.267737	.85074	.38054438	.0680592	.6235328	1	48	48	661411	8819	8184	11229	3454	75	7.493e+09	2	5495868	203908	154	268	194	128	110	698577	9427	14060.375	12056.823	1.33e+08	576.411	2.19e+07	0	4182.348	1031889	1395651	13_HMG20A	1	1	1	7.183333	1	1	4	1.216274	.9476973	.8906177	1.141333	.6275435	.1375134	.9476973	.5407068	-1.093456	-1.795459	.4531975	-.4960846	1.108011	.4389272	.5924169	.7197189	.4921101	1.255486	2.269206	2.269206	2.269206	1.813418	.0583267	.0583267	1.382994	1.395747	.7690553	.656305	.8499573	.6929004
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_C02	200930	1	NC693	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	1	1	2		0	.20612821	.0680592	.3117664	1	11	11															0	447759	0		7272.6383				2	3735.185	845462.3	1133020	13_HMG20A	1	1	1	2.833333	1	1	4	-1.072307	-1.216274	-1.008045	-.3433392	-.1717471	-.0195843	-.6396686	-2.649357	-2.050429	-1.795459	-.7876622		-.5924169	-1.930286	-1.930286															
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_G08	200930	1	NC739	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.936708	1	2	11.617828	.6125328	.25369626	.2722368	1.6367736	1	8	57	325028	5509	5072	8486	3039	59	2.887e+09	2	5279128	142926	166	255	174	127	136	527410	11492	9038.2276	7666.3378	1.04e+08	660.4481	5.41e+07	0	4096.616	928559.6	1217583	13_HMG20A	1	1	2	8.233334	1	1	4	.8906177	-.0374211	-.1502124	-.6396686	.2494273	1.043158	.2649541	-.2868939	.7936154	-.1726797	-.3864182	.0414437	-.0223825	.8226373	.8871465	.3878687	.9182451	.2654048	.2353289	-.3572158	-.0583267	-.3572158	-.6205683	-.4846749	1.1219	.2353289	1.570585	.326315	.2054644	.5856072
InsH2Bfabp_CD15_09dpf_VAST02_plate02_HMG20A_200930_D03	200930	2	NC767	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.9865659	1	2	10.256925	.680592	.31712032	.1361184	1.0911824	1	36	85															104	658852	8384	6176.0328	5675.7673	5.18e+07	113.3096	2.96e+07	0	4233.652	1037168	1402006	13_HMG20A	1	1	2	10.38333	1	1	4	1.497249	1.008045	.9476973	1.072307	1.13214	.8584844	1.29875	0	-.1215874	-.8946621	.0611754	-.5435127	.7613826	.3186394	.390146	-.4393922	.6020065													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_HMG20A_200930_B03	200930	2	NC765	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.0633393	0	1	10.49529	.680592	.3964004	.1020888	.4676496	1	34	83	261308	7918	5747	11247	3635	33	2.890e+09	1	2843338	103241	125	210	133	121	66	477912	5086	8926.3368	8401.9953	4.54e+07	-307.0209	-1.46e+07	10				13_HMG20A	1	1	2	10.21667	1	1	4								0	-1.621835	-1.300153	.6428442	-.4043567	-.4389272	-.5924169	-.4887764	-.7824294	-.3373553	-1.136341	-.4200915	1.395747	.6929004	-.2957227	.1168527	.2957227	-.6744897	-.9368471	-.2957227	-.7690553	-1.395747	.1462539
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_A09	200930	1	NC741	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	0	0	1	4.7635223	.5785032	.3964004	.1020888	.7014744	1	10	59	411899	6644	6038	10129	3709	62	4.069e+09	3	5082314	162039	146	331	147	122	125	517010	12001	12585.599	10367.393	1.51e+08	1066.461	6.38e+07	0	4133.96	969203.5	1319896	13_HMG20A	1	1	2	8.4	1	1	4	1.072307	.3833065	.5503351	.2263933	-1.382994	-.650104	2.434185	-.4159872	-.835874	-1.300153	.6428442	-1.690622	-.1573107	.6466521	1.028805	.8483799	1.073562	.5513477	.9368471	.8499573	.7690553	.4846749	-.1757821	.4200915	1.016222	.4846749	.656305	1.255486	-.7690553	.2654048
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_C05	200930	1	NC716	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	1	1	2	10.890856	.510444	.22198422	.3062664	1.0911824	1	34	34															98	442404	6697	11771.162	11282.127	7.88e+07	-811.8219	-2.11e+07	11	4051.346	911886.3	1195915	13_HMG20A	1	1	1	4.65	1	1	4	.5503351	-.1881663	-.3039132	.3433392	.852495	-.4668251	-.2263933	-.6618544	-.1215874	.224227	-.6428442	-.2086637	-.6466521	.1573107	-.0671924	0	-.4393922													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_HMG20A_200930_G01	200930	2	NC755	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.9967881	1	2	16.33523	1.020888	.47568048	.4083552	.6235328	1	24	73															63	950416	4471	9861.6681	9076.9717	4.41e+07	-156.695	-2.53e+07	5	4097.937	1308217	1483114	13_HMG20A	1	1	2	9.466666	1	1	4	.9476973	2.434185	1.497249	2.006752		-1.366204	-2.434185	1.022696	-1.093456	1.150349	1.31953	1.784268	2.368567	-.6466521	-.6466521	-.8483799	-.5462332													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_HMG20A_200930_E01	200930	2	NC753	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	0	0	1	15.262588	.3743256	.38054438	.1361184	.389708	1	22	71	284901	6475	4971	13524	4725	44	3.725e+09	1	2614895	119419	121	174	170	124	150	431002	10349	9071.7241	8451.3333	9.39e+07	-219.0142	3.32e+07	18	4056.667	930757.8	1227258	13_HMG20A	1	1	2	9.316667	1	1	4	.5944087	0	-.1124738	-.9476973	.2104284	-.1375134	-.3039132	-1.170163	-1.795459	-.8946621	.4531975	1.262938	-1.028805	1.028805	.7613826	.2387225	.6597193	-.4846749	-.2957227	.6205683	-.1168527	.1168527	.6205683	1.082411	-.920823	-.5513477	-.4846749	-1.570585	-.029151	.4846749
InsH2Bfabp_CD15_09dpf_VAST02_plate02_HMG20A_200930_C02	200930	2	NC759	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	1	1	2	13.713216	.5785032	.41225642	.2382072	1.4808904	1	28	77	571174	6800	5689	6376	2289	84	3.579e+09	1	6913514	236816	182	307	210	131	68	720549	4752	15662.993	14129.179	7.44e+07	-231.1444	-6.50e+07	16				13_HMG20A	1	1	2	9.733334	1	1	4								-.4159872	.6001788	-.4381324	.7876622	.6423266	1.291794	-.5398714	-.5924169	-.0473125	-1.161883	2.269206	1.570585	1.031459	.6205683	.0583267	-.8499573	-.8499573	2.260189	1.570585	1.813418	1.136341	1.136341	.8088444
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_A07	200930	1	NC727	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.6515951	1	2	10.579297	.9528288	.45982446	.3743256	.7014744	1	45	45	318624	5310	5347	5458	1899	60	1.732e+09	1	4705170	165102	113	268	243	119	114	584458	9067	10748.326	10208.606	9.75e+07	-586.1415	1.24e+07	0	3903.073	920335.1	1268919	13_HMG20A	1	1	1	6.933333	1	1	4	-.2263933	-.1124738	.2263933	-1.008045	.3286447	-1.113194	.6396686	.835874	-.835874	.8946621	1.206455	-.3377691	.295179	.4887764	.4389272	.2876889	.2876889	.3572158	.0583267	-.5513477	.2353289	-.9368471	-.9368471	-.9368471	.7514516	.6929004	-.8499573	.656305	1.813418	-.029151
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_E03	200930	1	NC703	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.9550024	1	2	12.137093	.5785032	.25369626	.3743256	1.4029488	1	21	21	169123	4228	3634	11353	3283	40	2.019e+09	1	2041627	95371	88	254	148	120									10	3909.031	912155.4	1145716	13_HMG20A	1	1	1	3.633333	1	1	4	-.1881663	-.1502124	-.8906177	-1.072307	-.5375191	-.5561256	-.8363019	-.4159872	.3507093	.8946621	-.3864182	.2298841						-.9368471	-1.031459	-1.031459	-1.136341	-.7690553	.1757821	-.1757821	-1.241867	-1.255486	-1.255486	.2054644	-.6929004	.0583267
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_C09	200930	1	NC743	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.0613291	0	1	3.5172849	.4083552	.0951361	.2382072	.3117664	1	12	61	406278	5722	4526	10641	3351	71	4.427e+09	2	5318872	186387	157	349	176	102	133	557244	11770	10688.051	9655.595	1.26e+08	-3.257904	4.84e+07	0	3949.887	951034.9	1258735	13_HMG20A	1	1	2	8.5	1	1	4	.1502124	.1881663	.0748947	-.5073057	.852495	-.0587829	.5503351	-.9728152	-2.050429	-.4381324	-1.791764	-2.040281	.0671924	.7613826	.9555776	.6597193	.7824294	.9368471	.8499573	0	-.4200915	.6205683	-.1168527	-.0583267	1.241867	1.136341	1.031459	1.570585	.4200915	-.8925596
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_G02	200930	1	NC697	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.9619625	1	2	9.5407656	.7486512	.17441618	.6125328	.6235328	1	15	15															149	377842	11392	14499.662	12437.441	1.65e+08	573.0354	4.92e+07	0	3410.484	850382.1	1091390	13_HMG20A	1	1	1	3.166667	1	1	4	-2.006752	-1.141333	-1.216274	-2.434185	-1.616156	-1.76167	1.141333	.224227	-1.093456	2.649357	-1.08839	-.7342278	-1.402673	.9555776	.8226373	.9929082	.8483799													
