filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	ctbp2_nwt	ctbp2_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_A03	201001	1	NC176	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	10.999301	.4083552	.4915365	.510444	.8573576	1	14	14	524711	5896	6352	13240	4920	89	6.674e+09	1	5449486	213882	142	310	218	125									0	3895.238	884281.9	1157888	14_CTBP2	1	1	1	8.216666	1	1	5	-.7291514	-1.021921	-.9750298	-1.021921	-1.534121	-.2873955	-.4887764	-.8798375	-.1763742	.4676988	-1.150349	-.3186394						1.543098	1.205345	-.2669941	.6607511	2.375107	1.040203	1.543098	.4067242	.9674216	0	1.118958	1.205345	.0219897
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_G06	201001	1	NC203	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	.929244	1	2	11.189303	.4083552	.63424064	.340296	.6235328	1	41	41																							0	3757.653	914084.5	1099450	14_CTBP2	1	1	1	10.35	1	1	5	-1.23748	-.8456872	-1.23748	1.633934	-.8456872	1.422911	-2.118995	-.8798375	-.6744897	-.9345893	-.1383042	-.2923749																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_G05	201001	1	NC195	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	0	0	1	15.084339	.7826808	.72937674	.4764144	.9352992	1	33	33	197822	3879	3664	15400	4749	51	2.834e+09	1	3776650	123215	152	198	159	145									0	4174.932	1022423	1346663	14_CTBP2	1	1	1	9.783334	1	1	5	.3945408	.1573107	-.0142427	-.1862194	-.1573107	-.1046335	-.1862194	.2126769	.0125335	.1383042	.5244005	.4817269						-.3829533	-1.205345	-1.707553	-1.707553	-.4067242	1.707553	1.412188	-.2669941	-.8353711	.4795057	-1.040203	-.8669582	.7164975
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_A05	201001	1	NC189	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	11.759309	.4083552	.63424064	.5444736	1.6367736	1	27	27	156947	4484	3777	13435	3210	35	1.981e+09	2	2549078	118603	119	392	160	43									0	4004.314	936021.4	1214413	14_CTBP2	1	1	1	9.333333	1	1	5	-.3336597	-.7291514	-.8056329	-.3945408	.5875741		-1.370745	-.8798375	.9741139	.8064212	-.1383042	-.1891184						-1.25212	-1.412188	-1.543098	-1.543098	-1.205345	1.118958	.0880656	-.9674216	-.8994349	-.8353711	2.375107	-.7745655	-1.707553
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_E03	201001	1	NC180	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	.727016	1	2	11.474306		.65009666	.3062664	1.7926568	1	18	18	418119	6060	6229	8523	2954	69	3.405e+09	1	4713963	168476	146	258	204	104	103	580138	7889	11802.828	10865.892	9.31e+07	-675.011	3.22e+07	0	4235.707	1028495	1374506	14_CTBP2	1	1	1	8.483334	1	1	5	.8056329	.3036906	.1862194	.3639316	.1285329	-.0746714	-.5540488		1.439531	-1.036433	-.0250689	-.240426	-.5357877	1.150349	1.150349	1.081642	1.017694	.6607511	.4549811	-.1768208	.5043221	.1323128	-.2669941	-.1323128	.0880656	.2669941	.1545286	.3360381	.7745655	-.9674216
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_G04	201001	1	NC187	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	14.03933		0	.4764144	.8573576	1	25	25																								4229.026	1047785	1381460	14_CTBP2	1	1	1	9.216666	1	1	5	.7668313	.6567159	.2445328	.3945408	.0998612	-.3186394	-.0427396		-.1763742	.1383042	-2.575829	.2147016																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_C06	201001	1	NC199	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	15.844346	.7826808	1.014785	.5444736	1.0132408	1	37	37	379309	6897	5996	11192	3660	55	4.523e+09	1	3756936	149460	135	234	177	108	9	1213165	400		19651.473	1.88e+07		-1.24e+08	0	4329.177	1078784	1428040	14_CTBP2	1	1	1	10.06667	1	1	5	1.178402	.8456872	.5875741	1.904707	.8871465	.8544474	-1.447606	.2126769	.1509692	.8064212	1.598193	.755415	2.059215	-.4610861	-.6953402	.0553215	-2.439542	-.1768208	.0880656	.4549811	.2216821	1.040203	.7164975	.8353711	-.3128614	-.1323128	-.1323128	-.3593968	-.2669941	-.8994349
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_C05	201001	1	NC191	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	12.804318		.58667259	.4764144	.779416	1	29	29																							20	3928.754	936185.9	1203168	14_CTBP2	1	1	1	9.483334	1	1	5	-.5540488	-.6924793	-.8456872	-.7668313	-.8056329	1.150349	-1.301224		-.3451255	.1383042	-.426148	-.0752699																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_E04	201001	1	NC186	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	9.2892856	.2382072	.74523275	.4083552	1.0911824	1	24	24	308411	5056	4976	10035	3454	61	3.480e+09	1	4151277	152399	159	221	186	128	14	321692	1040	4511.1048	4523.0103	4691549	1240.119	2895390	0	3857.907	847645.6	1141290	14_CTBP2	1	1	1	9.083333	1	1	5	-.8456872	-1.178402	-1.071175	-1.370745	-1.75333	-.8544474	-.7291514	-1.619856	.240426	-.4817269	.6588377	-.6903088	-2.479467	-.1489679	-.1156944	-.697813	.4784177	.0880656	-.6069868	-.9674216	-.5549229	.2216821	.4549811	.6069868	-.0880656	-.0439901	.7164975	-.4795057	.1768208	.0880656
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_E06	201001	1	NC201	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	13.564325	.8847696	.58667259	.510444	1.4029488	1	39	39	208976	5805	5780	12511	4335	36	2.745e+09	1	2062676	83538	124	179	136	113	0	1169120	0		4190.3627				0	4268.941	1045482	1368704	14_CTBP2	1	1	1	10.2	1	1	5	.93019	.6217734	.0998612	-.2445328	-.2152846	.5485223	-.6217734	.6175954	.5828415	.4676988	-.426148	.1130385	1.839855	-1.619856	-1.619856			-1.118958	-.9674216	-.3593968	.1768208	-.5043221	.8994349	1.040203	-1.301807	-1.301807	-.6607511	-1.25212	-1.205345	-.5549229
