filename	date	plate	index	gck_dich	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	qRNA	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_F03	220608	1	MCX01	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	19.68517	9.5623176	8.7366648	3.062664	13.717722	1	10	59	177280	4924	4309	4304	1676	36	7.804e+08	1	2308853	90000	125	165	142	116	10	556452	512	3379.3477	3372.5977	1730226	-295.9165	-1.77e+07	21	4045.934	1059075	1290721	150_GCK	1	1	2	3.9	4	1	1	5	-.0922863	.6151411	-.2041513	-1.29875	.5201756	1.19838	.0922863	-.2706416	.4864239	-.2189787	-.9153651	.4491363	.4124631	-1.554774	-1.833915	-1.82788	-.7621911	-.5894558	-.3003779	.4499066	.264147	-.264147	-.3003779	-.017408	-.5283993	-.4499066	-.0696849	-1.429788	-.6314019	.017408
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_G04	220608	1	MC623	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	7.2590774	21.983122	9.3867615	3.062664	12.626539	1	23	23	333919	5963	6032	7841	2239	56	2.796e+09	1	3816259	144065	146	229	159	135	148	561708	11328	5827.4004	5313.953	6.60e+07	-88.81946	8632297	17	4224.189	1053512	1498397	150_GCK	1	1	1	4.7	4	1	1	5	.9008895	.5691847	.9576579	.1502124	.437478	.9271548	.7952457	2.053749	-.0836517	-.2189787	-.6433454	-2.053749	.4864239	.9153651	.8656782	.9584461	.4369299	.6314019	1.117247	1.184763	1.534121	1.429788	.8871465	.4117051	.4887764	.7882413	.6744897	-.017408	.0871459	.9399909
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_D04	220608	1	MC620	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	13.331657	10.855442	10.116138	3.0286344	11.535357	1	20	20	118259	3379	3073	2779	995	35	3.056e+08	1	1862967	80549	114	179	151	79	32	326710	2959	2080.5549	2021.7094	6156362	-35.34469	1.32e+07	0	3435.14	787487.2	992665.7	150_GCK	1	1	1	4.466667	4	1	1	5	-2.012971	-1.993984	-2.439542	-1.623523	-1.150349	-1.993984	-1.399161	0	-.7721932	-.2880175	-.167894	-.7721932	-1.20899	-.9410746	-.7279133	-1.273889	.5916962	-.741594	-.6102946	-.5688699	-.6965074	-.9956002	-.8366706	-.741594	-.9399909	-.741594	-.3740954	-.9956002	-.264147	-1.054472
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_G01	220608	1	MC606	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	18.779177	10.413058	10.38569	1.531332	12.392714	1	7	7	43123	2053	1902	6218	2171	21	2.777e+08	1	892202	42850	86	143	99	75										3617.839	763456.8	1040592	150_GCK	1	1	1	2.3	4	1	1	5	-1.630759	-2.423196	-1.789531	-.5073057	-.8468857	.6151411	-1.307107	-.0668933	-.3406948	-2.47474	.0836517	.3054808						-1.815517	-1.534121	-1.258162	-1.184763	-1.117247	.264147	.3003779	-1.258162	-1.339046	-1.054472	-1.593219	-1.429788	-1.258162
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_D01	220608	1	MC603	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	11.161335	36.683909	8.7208088	2.9265456	12.080948	1	4	4	144033	4236	5524	5121	1780	34	7.205e+08	2	2122197	78114	100	169	155	92	58	383036	4336	6381.3411	5539.531	2.77e+07	204.7308	-3.41e+07	6	4116.43	978549.5	1407000	150_GCK	1	1	1	2.05	4	1	1	5	.241944	0	.3186394	-.0748947	-.0184321	1.481544	-.241944	2.47474	-.5244005	-.3584588	-.9674216	-1.174987	-.6433454	-.3584588	-.3406948	.0508319	-1.548003	-.8366706	-.4887764	-.0871459	1.054472	-.3370077	.0522452	.0522452	-.741594	-.8366706	-.6527943	-1.184763	-.0696849	-.6965074
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_D07	220608	1	MC637	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	19.613635	15.687646	7.3413354	2.3480424	12.392714	1	35	35	510816	5871	4275	10069	3246	87	5.099e+09	1	5868271	209210	145	298	185	126	82	632468	5888	7446.6968	5361.4791	4.38e+07	1475.616	-1.45e+07	0	4323.463	1151982	1571565	150_GCK	1	1	1	6.35	4	1	1	5	1.307107	1.122762	1.307107	.9476973	.6515277	-.2733094	.0553215	.9674216	-.3406948	-1.080319	-1.554774	.4124631	1.022241	.1340876	.0167116	.5518063	-.5518063	1.914506	2.036834	1.054472	.2282596	2.460124	1.534121	1.339046	1.339046	1.658472	.6102946	1.534121	.8366706	.3370077
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_H05	220608	1	MC630	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	17.938441	15.177202	11.70174	3.0966936	15.276554	1	29	29	113940	4382	3546	5632	2077	26	7.409e+08	1	1702249	70164	81	198	125	113										4151.527	901732.8	1133424	150_GCK	1	1	1	5.366667	1	1	1	5	.5201756	-.5691847	-.9008895	1.216274	-.0553215	.9881546	-1.630759	.8180418	1.110772	-.1509692	.8656782	.167894						-1.297543	-.6965074	.017408	-.3003779	-.3003779	.1926639	.1926639	-1.054472	-1.054472	-1.117247	-.6965074	-1.054472	-.1221531
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_G07	220608	1	MC640	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	15.530349	11.94439	9.7831619	2.55222	13.094189	1	38	38	249951	4901	4144	10448	3580	51	2.799e+09	1	3421895	125469	125	207	172	105	169	613258	13458	6574.2864	6159.5457	8.85e+07	-318.0225	1.46e+07	0	4104.77	1025803	1471241	150_GCK	1	1	1	6.633333	4	1	1	5	.1293777	.313572	.8468857	.2649541	-.185367	1.608653	-.0922863	.2706416	.2018935	-.6229257	-.3943355	-.2880175	.8656782	1.14229	1.20899	1.35419	.6744897	.3554904	.4499066	.3740954	.1221531	1.534121	1.815517	1.815517	.2282596	.1926639	-.0696849	-.3928308	.5283993	-.3003779
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_E06	220608	1	MCX05	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	19.925224	6.6017424	10.38569	2.2459536	14.185371	1	14	63	114834	2297	1785	5074	1529	50	6.030e+08	1	3433437	106715	140	191	159	127	122	504149	8020	3690.4362	3511.6089	2.96e+07	-145.2923	7481761	20				150_GCK	1	1	2	5.858334	4	1	1	5								-.8656782	.6640369	-1.174987	.0836517	.5244005	.2018935	.6027625	.3763366	.0847849	.3999556	.2104284	-.6527943	-1.117247	-1.339046	-.4887764	.017408	-.1926639	.3003779	-.1926639	.5283993	-.8871465	.0871459	.4117051
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_H02	220608	1	MC615	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	16.158547	11.02559	6.929079	3.232812	10.366233	1	15	15	140715	4264	4042	2750	919	33	3.900e+08	1	2035921	79767	93	196	136	103	15	315454	1248	2959.9006	2760.7377	3693956	-9.078121	-3729913	317	3723.836	836968.7	1175892	150_GCK	1	1	1	3.216667	4	1	1	5	-1.017694	-1.19838	-.7456442	0	-1.399161	.3543496	.9008895	.1340876	-1.554774	.0167116	-1.833915	-.2018935	-1.281552	-1.451407	-1.451407	-1.548003	-.1530252	-.9132499	-.5283993	-.0522452	-.017408	-.8366706	-.8871465	-.7882413	-.8366706	-.7882413	-.8871465	-.8366706	-.7882413	-.3740954
