filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	igf2a_dich	igf2b_dich	igf2_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_IGF2_201005_B01	201005	1	ND093	insH2Bfabp	CD15	IGF2	1	0	0	2	1	10	0	0	0	1	15.463636	.8847696	.28540829	.5444736	2.8058976	1	20	20	255143	6379	4966	3063	939	40	7.728e+08	1	3192499	126310	117	241	173	120	6	965800	624	17067.519	15781.887	1.07e+07	-898.7654	-1.58e+08	0	4468.8	1254788	1673982	15_IGF2	1	1	1	3.333333	1	1	2	1.690622	1.690622	1.690622	1.096804	.7478586	-.4727891	.4727891	.2669941	1.412188	.1323128	-.7164975	-.1323128	1.412188	-1.25212	-1.118958	-1.118958	-1.937932	-1.19838	-.3957253	.3957253	0	-.8694237	-1.19838	-1.19838	-.6151411	-.6151411	-.8694237	-.8694237	-.1940281	0
InsH2Bfabp_CD15_10dpf_VAST02_plate01_IGF2_201005_C01	201005	1	ND094	insH2Bfabp	CD15	IGF2	1	0	0	2	1	10	1	1	1	3	8.5911762	.2722368	.20612821	.2722368	.779416	1	21	21															17	677264	1280	15103.927	10586.11	1.93e+07	3468.658	-2307203	9				15_IGF2	1	1	1	3.408333	1	1	2								-1.118958	-.7164975	-.8994349	-1.412188	-1.118958	-.4067242	-.8994349	-.8994349	-.8994349	-1.118958													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_IGF2_201005_F01	201005	1	ND097	insH2Bfabp	CD15	IGF2	1	0	0	2	1	10	0	0	0	1	11.490495	.3062664	.53910454	.3743256	1.94854	1	24	24	354540	6952	6205	5676	1603	51	1.980e+09	1	3799247	132615	156	278	151	112	246	695084	17699	35166.445	29105.278	6.22e+08	965.7076	7.73e+07	21	3921.789	898906.6	1226884	15_IGF2	1	1	1	3.616667	1	1	2	-.7478586	-.7478586	-.7478586	-.4727891	-.7478586	.7478586	-.4727891	-.8045964	.5549229	-.7164975	.4067242	-.7164975	-.1323128	1.937932	1.412188	1.937932	.8994349	-.1940281	0	.8694237	.8694237	0	-.3957253	-.3957253	-.3957253	-.3957253	.0965586	0	-.6151411	-.3957253
InsH2Bfabp_CD15_10dpf_VAST02_plate01_IGF2_201005_H01	201005	1	ND099	insH2Bfabp	CD15	IGF2	1	0	0	2	1	10	1	1	1	3	7.6247366	.2382072	.45982446	.4083552	.7014744	1	26	26																							21				15_IGF2	1	1	1	3.75	1	1	2								-1.412188	-.8994349	-.5549229	0	-1.937932																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_IGF2_201005_A02	201005	1	ND100	insH2Bfabp	CD15	IGF2	1	0	0	2	1	10	0	0	0	1	16.966987	1.3952136	.53910454	.6465624	2.2603064	1	27	27															144	745700	12431	15001.838	13449.966	1.86e+08	-123.0175	8.39e+07	0	4381.958	1127921	1578474	15_IGF2	1	1	1	3.816667	1	1	2	1.096804	.2298841	.7478586	.7478586	.4727891	0	1.096804	1.118958	.8994349	.8994349	.4067242	.4067242	0	.2669941	.4067242	.4067242	1.118958													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_IGF2_201005_B02	201005	1	ND101	insH2Bfabp	CD15	IGF2	1	0	0	2	1	10	0	0	0	1	15.356254	.7826808	.25369626	.170148	1.169124	1	28	28															48	325932	4288	12000.311	10372.953	5.15e+07	624.772	3.58e+07	0	4010.375	939834.6	1262190	15_IGF2	1	1	1	3.883333	1	1	2	-.2298841	0	-.4727891	-.7478586	-1.690622	.4727891	1.690622	-.1323128	-.4795057	-1.25212	-.8994349	-.2669941	-1.937932	-.7164975	-.7164975	-.7164975	.2669941													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_IGF2_201005_D02	201005	1	ND103	insH2Bfabp	CD15	IGF2	1	0	0	2	1	10	1	1	1	3							30	30	413552	4753	3916	6424	1909	87	2.651e+09	1	6156395	156726	182	255	182	148	103	528728	8514	17752.104	15106.005	1.51e+08	609.3765	1735368	15	3989.749	926630.6	1328614	15_IGF2	1	1	1	4.016667	1	1	2	-.4727891	-.4727891	0	0	-.4727891	-.2298841	-.7478586						-.8994349	-.3360381	-.4067242	-.2669941	-.8994349	.8694237	.1940281	-.1940281	-.8694237	.1940281	-.1940281	-.1940281	.6151411	.1940281	.3957253	-.6151411	.1940281	1.768825
InsH2Bfabp_CD15_10dpf_VAST02_plate01_IGF2_201005_E02	201005	1	ND104	insH2Bfabp	CD15	IGF2	1	0	0	2	1	10	0	0	0	1	16.859604	.9528288	.38054438	.4423848	1.4808904	1	31	31	173405	3539	3386	2416	807	49	4.222e+08	2	3996225	143401	131	273	192	105	1	839817	112	8918.625	9220.234	998886	-1052.334	1.80e+07	0	4323.994	1151982	1451338	15_IGF2	1	1	1	4.083333	1	1	2	.4727891	.4727891	.2298841	.4727891	.2298841	-.7478586	-.2298841	.4067242	.0660118	-.3360381	-.4067242	.2669941	.2669941	-1.937932	-1.937932	-1.937932	-.4067242	-.3957253	-.6151411	-.8694237	-1.19838	-1.768825	-1.768825	-1.768825	-.1940281	0	-.3957253	-.1940281	.3957253	-.6151411
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF2_201014_A07	201014	1	ND074	insH2Bfabp	CD15	IGF2	1	0	0	2	1	9	0	0	0	1	12.886464	.7486512	.19027219	.5444736	1.169124	1	1	1	96354	4588	4304	18830	4228	21	1.758e+09	1	1174543	40424	63	356	111	53	179	687751	13618	20286.865	18486.669	2.76e+08	-975.1766	3.13e+07	0				15_IGF2	2	2	2		2	2	2								-.2669941	-.4795057	.1323128	-1.937932	-.5549229	-.2669941	.7164975	.5549229	.5549229	.1323128	-1.768825	-1.768825	-.3957253	-.3957253	-.1940281	1.768825	.8694237	-1.19838	-1.19838	-1.19838	.6151411	-1.19838	-1.19838
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF2_201014_B07	201014	1	ND075	insH2Bfabp	CD15	IGF2	1	0	0	2	1	9	0	0	0	1	16.64484	.2041776	.68180869	1.020888	1.4029488	1	2	2	448800	6905	5676	9771	3358	65	4.124e+09	1	6051241	207275	153	369	202	114	206	888824	14898	20956.894	19995.893	3.12e+08	-2144.125	2.46e+07	13				15_IGF2	2	2	2		2	2	2								-1.937932	-.1323128	1.937932	1.118958	.1323128	.8994349	.8994349	.8994349	.8994349	-.1323128	.0965586	.3957253	.6151411	.3957253	.3957253	.1940281	.3957253	.3957253	.8694237	-.1940281	1.19838	.8694237	-.1940281
