filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	ildr2a_nwt	ildr2b_nwt	ildr2_nwt	ildr2_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_E06	201007	1	NB762	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0446286	.0343362	.0394824	0	1	9.2970617	.4423848	1.0940651	.0680592	.3117664	1	43	43	442052	6226	5820	9483	2755	71	3.984e+09	1	4180356	161581	135	247	165	128	125	538989	9720	12311.543	11844.993	1.20e+08	-573.3398	2.40e+07	0				16_ILDR2	1	1	1	6.058333	1	1	4								-.2571002	-1.124338	-2.183684	.9968433	-.4172841	.0772036	.6624353	.7618428	.779842	.3940442	.7215223	.6289042	.4578519	1.049131	1.351702	1.351702	.9674216	.1479871	.2482751	-.1728808	.2482751	-.3773919	-.0737913
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ILDR2_201007_E03	201007	2	NB804	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0682502	0	.0341251	0	1	15.915416	1.4632728	1.030641	.7146216	3.4294304	1	36	85	520395	5536	5029	6022	2124	94	2.866e+09	1	7992115	252091	165	282	214	163	172	998802	14832	16021.804	13283.524	2.38e+08	1476.381	1.21e+08	0	4357.99	1189620	1591020	16_ILDR2	1	1	2	9.4	1	1	4	1.739384	2.400036	2.400036	1.339746	1.448272	.3629173	.7677715	2.019086	2.444812	2.019086	.4307273	1.399161	1.768825	1.869607	1.993984	1.746955	1.973953	1.654435	1.23808	-.1978822	.0491694	.6289042	-.1479871	.1479871	1.654435	1.88951	.9288995	.9674216	1.049131	1.486092
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_A05	201007	1	NB750	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0455839	0	.0227919	0	1	17.041881	.4423848	.93550494	.4083552	1.4029488	1	31	31	409248	5315	4568	1094	274	77	4.500e+08	2	8566839	210503	198	251	210	182	132	912872	9895	19339.927	15729.667	1.91e+08	1970.849	3.98e+07	16	4422.055	1144639	1541538	16_ILDR2	1	1	1	5.116667	1	1	4	2.400036	1.967025	1.739384	1.448272	.8241822	.4079188	2.400036	-.2571002	.8837863	.3716615	-.3522675	1.630759	1.481544	.9572095	.8144545	1.456837	.9567178	.8207921	.2993069	-.403916	-.3511308	-1.88951	-2.333769	-2.333769	1.88951	1.049131	2.333769	.4578519	.9674216	2.333769
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_E03	201007	1	NB738	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.9884107	.9883514	.988381	1	3	6.8187194	.4764144	1.0464971	.170148	.389708	1	19	19															24	413918	1712	12545.854	12368.296	2.15e+07	-943.0936	-8.17e+07	0	3748.118	842995	1142875	16_ILDR2	1	1	1	3.683333	1	1	4	-.8241822	-.8241822	-.6616482	.0411038	.423225	-.871771	-.2917317	-.0363359	-.6859357	-.8313125	.5751093	-1.307107	-1.19838	-.8694237	-.9271548	-1.022696	-1.348744													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_E05	201007	1	NB754	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.9089112	1	.9544556	1	3	5.4762841	.3062664	.87208088	.2722368	.389708	1	35	35															87	417220	7840	11338.852	9599.2868	8.89e+07	1046.253	2.56e+07	0	3774.333	844355.8	1065281	16_ILDR2	1	1	1	5.483333	1	1	4	-.6616482	-.7677715	-1.339746	1.08327	-.6113263	-.146745	-1.448272	-.9674216	-.6859357	-.5966746	-.7566237	-1.88951	-.9881546	.0772036	.1548709	.1012464	.4381324													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_E07	201007	1	NB770	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.8599485	1	.9299743	1	3	8.5742119	.340296	.98307299	.3062664	.2338248	1	2	51	450077	6339	5480	8285	2685	71	3.826e+09	1	4278697	199597	124	233	179	163	137	486536	11099	12694.818	11664.553	1.41e+08	18.2212	4.78e+07	0	3903.456	898831.8	1226122	16_ILDR2	1	1	2	6.6	1	1	4	-.2069287	-.1651163	-.1651163	.423225	.0411038	2.39398	-.3348942	-.8313125	-1.637868	-.3330051	.0545189	-.6065981	-.2334853	1.122762	1.19838	.9567178	1.093456	.7215223	.7537816	.5131547	.403916	1.138523	.8207921	.8917089	.1978822	.8207921	-.7537816	-.3511308	.098458	1.486092
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_A02	201007	1	NB728	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.7459009	.9314088	.8386548	1	3	9.2970617	.2041776	.77694478	.3062664	.8573576	1	9	9	225494	4798	3123	4601	1660	47	1.006e+09	1	3046110	111846	121	234	152	113	95	498253	6560	9732.4489	9333.292	6.38e+07	-253.1036	4351874	0	3680.515	777124.3	1117439	16_ILDR2	1	1	1	2.483333	1	1	4	-1.160362	-1.448272	-.8241822	-1.57718	-1.339746	-1.150349	.1235907	-1.31531	.2197229	-.3330051	-2.019086	-.4172841	-.1548709	.1353847	-.0772036	-.3080234	.0202161	-.5992299	-.7537816	-.7537816	-1.88951	-.9674216	-.8917089	-.5700741	-.5700741	-.8207921	-.8917089	-.2993069	-.689997	-.8207921
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_E09	201007	1	NB785	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.9765281	.9909905	.9837593	1	3	11.67214	.5785032	1.0782091	.4083552	.4676496	1	17	66	398301	6035	5632	7503	2512	66	2.953e+09	1	4158026	169290	144	238	194	122	36	490112	2912	13963.639	11970.663	4.07e+07	933.6903	-5.68e+07	0	4115.125	966003.4	1357743	16_ILDR2	1	1	2	7.75	1	1	4	.8241822	.423225	.6113263	.5149938	.5625072	-.6484922	.7137046	.3138655	-.3716615	.3716615	.8837863	.3380917	-.1940281	-.6866431	-.7112601	-.6744897	-1.022696	.3511308	.1978822	.1479871	.7537816	.689997	.5700741	.5700741	.0491694	.2993069	.2993069	-.0737913	.5131547	-.3511308
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_A06	201007	1	NB758	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0490248	.0290693	.039047	0	1	21.998566	.5785032	1.0623531	.4083552	1.0132408	1	39	39															117	945178	8425	15621.043	14410.537	1.32e+08	-225.3242	-1007282	0				16_ILDR2	1	1	1	5.775	1	1	4								.3138655	.4307273	.3716615	.7326562	2.439542	1.608653	.5244005	.3957253	.835874	-.1829481													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ILDR2_201007_A03	201007	2	NB801	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.9918112	.8648649	.9283381	1	3	13.250597	1.0549176	.77694478	.510444	1.169124	1	33	82															154	668076	12631	12666.312	11976.989	1.60e+08	-370.9381	6.24e+07	10	4096.774	1034611	1425050	16_ILDR2	1	1	2	9.15	1	1	4	.6113263	1.08327	1.160362	.6616482	.5149938	-.3629173	-.6113263	1.273337	.5966746	.9968433	-2.019086	.7702081	.6151411	1.426077	1.481544	1.170163	1.254453													
