filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	syt7a_nwt	syt7b_nwt	syt7_nwt	syt7_dich	qRNA	protein	ldl	tc	gluc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_G04	201008	1	NE115	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	1	1	1	3	10.041997	.510444	.5785032	.38054438	.7014744	1	31	31															150	496972	12659	13320.125	11876.205	1.69e+08	57.13342	4.57e+07	2	3589.264	856423.3	1140931	17_SYT7	1	1	1	3.6	1	1	6	-1.589532	-.7716892	-.8231059	-1.055832	-.3933922	-1.465234	-1.114298	-.085363	-.7735631	1.606755	-1.027779	-.6222404	-.8243825	1.00999	1.277605	1.231035	1.092422													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_B02	201008	1	NE094	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	.9187697	.9593848	1	3	11.541883	.9528288	.7486512	.58667259	1.6367736	1	10	10															64	754246	4540	10214.878	10607.594	4.64e+07	-1607.416	-5.54e+07	0	4294.367	1077587	1480258	17_SYT7	1	1	1	1.716667	1	1	6	1.469154	.9624554	1.236109	1.277311	1.106161	-1.084382	.6864582	1.440734	.4935534	2.708601	.5321897	-.2219866	.6208137	-.5084881	-.663603	-.6094088	-1.310163													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_B05	201008	1	NE118	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	0	0	0	0	1	14.365198	.5444736	.5444736	.44396845	1.7147152	1	34	34	300765	6015	5059	6046	1630	50	1.753e+09	1	3470022	139419	119	257	158	129	247	615010	20044	17175.109	14550.832	3.44e+08	874.6779	1.77e+08	0	4009.822	962594	1341234	17_SYT7	1	1	1	3.916667	1	1	6	.1407598	.0467825	.3732596	-.3137231	.4547992	-.577044	1.731664	.076809	.6744897	1.444321	-.6119958	.4091461	-.1133889	2.111583	2.310991	2.694839	2.305712	-.3711493	-.0991079	.1434119	-.0549976	.1434119	.3948109	-.3948109	-.2329639	-.0549976	-.529453	.3360381	-.3829533	.2784047
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_G03	201008	2	NE172	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	.8074808	.9459664	.8767235	1	3	14.934593	.8167104	.170148	.55496056	1.6367736	1	39	88	699978	6194	5351	5541	1797	113	3.930e+09	1	9224493	231504	217	313	230	156	119	711530	9938	9471.7172	8068.4878	9.41e+07	532.9607	3.46e+07	20	4150.414	1030154	1451144	17_SYT7	1	1	2	8.7	1	1	6	.7222362	.6282339	1.023715	1.055832	.9926193	-.2475129	1.461277	.9538965	.4935534	-.8320063	.2393802	.6119958	.3834463	.6314019	.7764218	.4469245	.9721299	2.620817	2.221519	.324428	.0991079	2.221519	.1212301	-.077034	2.221519	1.662107	2.620817	1.662107	1.707553	2.01543
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_F06	201008	1	NE129	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	1	1	1	3	5.542338	.3743256	.1361184	.7928008	1.2470656	1	45	45	119916	4797	5089	6857	2254	25	8.986e+08	2	765212	43130	81	142	95	79	95	275326	8080	12010.046	10613.688	9.70e+07	180.8314	-4881412	0	3619.964	793722.8	990003.9	17_SYT7	1	1	1	4.75	1	1	6	-1.416202	-1.589532	-2.082318	.2552792	-.583285	1.231743	-1.934674	-.7345969	-.0677986	-1.056937	1.218661	-1.983628	-2.699497	.2193353	.3647771	.5062573	-.0264816	-1.937932	-2.01543	-.8830801	-.0109942	-1.098629	.8830801	.5938214	-2.620817	-2.620817	-2.221519	-2.620817	-2.620817	-2.221519
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_D03	201008	2	NE169	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	.9771563	.9885781	1	3	13.735223	.7146216	.3062664	.41225642	.5455912	1	36	85															117	670128	9034	13950.352	12282.59	1.26e+08	225.8495	-3706577	0	3771.831	1171810	1409199	17_SYT7	1	1	2	8.5	1	1	6	-.698164	1.659501	.7716892	1.659501	1.526579	-.6221632	.5485223	.5860779	-1.333303	-.0084684	-.7966133	.2481039	.2193353	.5485223	.5791321	.7425627	.0088263													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_A01	201008	2	NE150	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	.838124	.7022354	.7701797	1	3	10.137113	.4083552	.2722368	.57081658	.6235328	1	17	66	528439	5938	5335	5977	2179	89	3.164e+09	1	8039682	250076	166	315	217	140	113	593848	8255	11314.689	10072.168	9.34e+07	100.4524	504360.8	13	3753.591	851219.5	1174636	17_SYT7	1	1	2	7.016667	1	1	6	-.7716892	-.9046108	-.6282339	-1.320803	-1.277311	-.4067242	-.4621979	-.5361763	-1.027779	-.2306747	.4091461	-.5616943	-.2731704	.4692529	.4595582	.4275015	.1327815	1.662107	1.327902	.077034	.077034	1.276569	.324428	.491876	1.756827	1.870579	1.139761	1.756827	1.228396	.8994349
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_C06	201008	1	NE126	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	0	.0231107	.0115553	0	1	9.8655396	.2722368	.3743256	.3964004	.6235328	1	42	42	442929	5468	5516	6796	2289	81	3.133e+09	1	5418733	206163	151	306	168	128	76	478614	6032	9190.8408	7805.8944	5.54e+07	550.2985	307160	0	3775.131	820056.1	1162958	17_SYT7	1	1	1	4.55	1	1	6	-.6744897	-1.123573	-.698164	-.8767968	-.9046108	-.6685863	.142907	-1.214676	-1.027779	.3186394	-.8808881	-.6744897	-.8743192	-.2372021	-.1838047	-.3325995	.114993	1.412188	.9160339	-.2329639	.2784047	1.228396	.8198867	.7307821	.9160339	1.228396	.6607511	1.580314	-.077034	.2216821
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_B08	201008	1	NE138	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	.5964912	1	.7982456	1	3	15.51217	.6465624	.3743256	.50739251	.6235328	1	5	54	285234	6339	5036	9089	3080	45	2.437e+09	1	3265828	146472	117	274	162	127	82	609564	6001	12490.39	12815.81	7.50e+07	-1839.665	-6.37e+07	0	4126.392	974242.9	1346319	17_SYT7	1	1	2	5.583333	1	1	6	.6056064	.1407598	.4136855	-.0093532	.2552792	-.1513505	.5048896	.3844023	-1.027779	.3186394	-.1273686	.7509168	-.2015382	-.0696849	-.2193353	.0972407	-1.687281	-.6471361	-.1656644	.4428217	-.1434119	.7023576	2.221519	2.01543	-.542144	.0549976	-.6744897	.7894919	-.2556183	.1545286
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_E04	201008	2	NE178	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	.8094469	1	.9047235	1	3	11.536378	.7826808	.3743256	.58667259	1.0132408	1	45	94	459388	6756	6431	7700	2452	68	3.344e+09	1	5901645	200441	151	274	214	127	85	647269	6432	10618.737	9640.4986	6.83e+07	-105.274	-1.74e+07	0	4054.18	1003971	1318355	17_SYT7	1	1	2	9.2	1	1	6	.3732596	.3732596	.1786546	-.0655185	.7971342	-.599451	.4203327	.7916386	-.3275615	.3186394	.5321897	-.2481039	.0261137	.0261137	-.0087037	-.0441451	-.2588193	.8045964	.9851276	.7598096	1.0215	1.442637	1.382994	1.059277	1.228396	1.139761	.6607511	.7894919	1.118958	.1545286
