filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	snap25b_nwt	snap25b_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_D06	201012	1	NH041	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0272025	0	1	16.030985	1.8375984	.50739251	.510444	1.7926568	1	41	41	484720	5327	5013	5045	1344	91	2.395e+09	2	6456350	232974	166	285	181	154	121	907929	8999	10747.315	10047.952	9.67e+07	347.7578	2.57e+07	0	4398.894	1198592	1630273	18_SNAP25B	1	1	1	7.366667	1	1	3	1.574445	1.104836	1.303783	.5578848	1.104836	.2018935	.1451209	.9500138	.5938214	.8510585	.5168467	.3454851	.9319713	1.166919	1.042247	1.744448	.9319713	1.211232	.807541	-.2450062	.0809473	.6001788	-.1624294	-.5059336	.807541	1.211232	.9252446	.4159872	.0404405	1.057414
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_A06	201012	1	NH038	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0195454	0	1	9.5786311	1.2250656	.23784024	.4083552	.8573576	1	38	38	313584	5807	5396	6935	2657	54	2.056e+09	1	3543216	140473	129	229	207	106	53	516736	3632	6910.1038	6370.7329	2.51e+07	85.2472	379690.8	0	3862.813	870883.5	1195616	18_SNAP25B	1	1	1	6.95	1	1	3	-.5578848	-.9420758	-.6744897	-1.104836	-.6744897	-1.080319	-.0482231	-.4795057	-.4428217	0	-.8045964	-.9319713	-.8320063	-.1701847	-.3454851	-.4183713	.0677986	-.2450062	-.4159872	.0809473	.3292913	.0809473	1.211232	1.400745	-.4159872	-.4159872	-.6001788	-.3292913	.5059336	-.5059336
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_D02	201012	1	NH011	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	1	1	3	17.406077	1.3952136	.60252861	.3743256	3.4294304	1	11	11															89	745415	7168	9668.8071	9390.293	6.93e+07	-91.42641	6558495	3				18_SNAP25B	1	1	1	4.411111	1	1	3								.0329879	1.327902	-.3711493	.6744897	.7397372	.3454851	.4935534	.6533766	.6533766	.3454851													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_D05	201012	1	NH034	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	1	1	3	5.6649082	1.2250656	.33297634	.3743256	1.0911824	1	34	34	443198	5989	4364	4242	1330	74	1.750e+09	2	5493314	173426	170	267	179	134	86	881853	6024	10992.288	9748.089	6.62e+07	884.2341	-1036213	8	4097.791	992426.4	1377721	18_SNAP25B	1	1	1	6.633333	1	1	3	-.0482231	-.1451209	-.1451209	-.0482231	-.4484255	2.053749	-.3441025	-.4795057	-.0991079	-.3711493	-.0991079	-1.494155	.8320063	.3454851	.2743915	.5716375	0	.6493239	.5059336	.3292913	-.6001788	-.2450062	-.6001788	-.6001788	.4159872	.1624294	1.057414	.0809473	-.0809473	.4159872
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_A04	201012	1	NH024	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0301802	0	1	12.011486	1.3952136	.42811243	.340296	.3117664	1	24	24	193838	4038	3472	5445	1968	48	1.103e+09	1	661	347	10	11	10	10	45	698709	3296	8038.8328	7221.2584	2.65e+07	387.1628	-8933717	8	4043.127	952111.5	1289988	18_SNAP25B	1	1	1	5.9	1	1	3	-.1451209	-.2434042	-.4484255	-.4484255	-.3441025	1.554774	-1.303783	.0329879	-1.507905	-.63364	.2329639	-.4935534	0	-.4935534	-.4183713	-.2743915	-.2046599	-.6001788	-.7000902	-1.211232	-1.400745	-.7000902	.2450062	.4159872	-2.141198	-2.141198	-2.141198	-2.141198	-2.141198	-2.141198
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_A02	201012	1	NH009	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0317244	0	1	23.117997	1.9396872	.71352072	.7486512	3.7411968	1	9	9	410365	5545	4448	5339	1673	74	2.081e+09	3	9344478	227214	155	451	240	130	27	912218	2032	8934.2662	8822.3336	1.82e+07	-273.8421	-3.74e+07	0	4496.08	1234989	1685736	18_SNAP25B	1	1	1	4.1	1	1	3	2.069902	1.574445	2.069902	1.574445	1.303783		2.069902	1.118958	1.507905	1.937932	1.25212	1.744448	1.042247	-.9319713	-.9319713	-.8320063	-1.166919	.6493239	.2450062	-.0809473	-.4159872	.1624294	.0809473	.0809473	2.141198	1.057414	.1624294	2.141198	1.660698	.2868939
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_D07	201012	1	NH048	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	0	0	1	16.559866	1.2590952	.45982446	.3743256	1.6367736	1	48	48															21	621616	1269	5947.6115	6201.1018	7547519	-712.3432	-1.50e+07	0	4140.493	1035598	1390252	18_SNAP25B	1	1	1	8	1	1	3	.1451209	.1451209	-.0482231	.0482231	.4484255	-.2018935	.2434042	-.3360381	.3711493	-.3711493	.3360381	.5321897	-.3454851	-1.166919	-1.166919	-1.494155	-.4935534													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_G04	201012	1	NH029	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0500803	0	1	20.262037	2.3140128	.76108877	.510444	2.0264816	1	29	29	154712	3868	3750	1600	523	40	2.541e+08	1	2477977	97858	140	204	137	119	11	577950	816	7833.81	7611.5409	6392389	-197.2617	-3.40e+07	13	4331.75	1226181	1680353	18_SNAP25B	1	1	1	6.283333	1	1	3	1.303783	1.303783	1.574445	2.069902	1.574445	.1004337	.9420758	1.507905	.6744897	.8510585	1.756827	1.312981	-.4183713	-1.744448	-1.744448	-1.744448	-1.042247	-.8648943	-1.057414	-1.660698	-1.057414	-1.660698	-1.660698	-1.660698	-.807541	-.807541	-.0809473	-.6001788	-.807541	-.2450062
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_A03	201012	1	NH016	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0437817	0	1	19.204274	2.3480424	.55496056	.7486512	1.4808904	1	16	16	523570	5083	4535	3642	1192	103	1.975e+09	1	8567605	263998	165	343	235	148	221	1128050	15440	10237.944	9649.8612	1.58e+08	225.3787	9.21e+07	0				18_SNAP25B	1	1	1	4.833333	1	1	3								1.756827	.2329639	1.937932	.5938214	1.042247	1.744448	2.211127	2.211127	2.211127	2.211127	2.141198	1.211232	-.5059336	-.2450062	-.1624294	-.807541	-.807541	1.400745	1.660698	.807541	1.211232	1.400745	.9252446
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_A08	201012	1	NH049	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0193935	0	1	11.482604	.8167104	.33297634	.2382072	1.0911824	1	49	49															55	450356	3945	8443.8051	7550.593	3.33e+07	471.9821	-6266688	10	3759.526	834650.9	1149514	18_SNAP25B	1	1	1	8.083333	1	1	3	-1.104836	-1.104836	-.9420758	-1.303783	-.8010945	.4124631	-.8010945	-1.507905	-.0991079	-1.003148	-.0991079	-.6533766	-1.042247	-.0677986	-.1359107	0	-.1359107													
