filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	adra2a_nwt	adra2a_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_C01	201015	1	NG563	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	1	1	3	10.530928	.6125328	.66595267	.2382072	1.0911824	1	2	2	354780	6694	4949	15181	5220	53	5.287e+09	1	3804081	144653	143	228	174	128	166	511346	13871	13483.065	11887.351	1.87e+08	170.2897	9.85e+07	60	3437.829	829925.6	1115375	19_ADRA2A	1	1	1	1.983333	1	1	4	-1.807354	-.9674216	-.852495	-.8824176	-.2559625	-.7430576	-.7478586	-.47747	-.3766657	-.0114985	-1.22604	-.8122178	-.9132499	1.085325	1.196551	.7664708	1.100698	.0266694	.0133335	.1742078	-.5459412	.3681439	.5152434	.5771623	-.0667151	-.0133335	.5305297	-.4552406	.0266694	.4113021
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_B04	201015	1	NG584	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9		1	3	14.833016	.510444	.71352072	.3062664	1.6367736	1	23	23	451703	7656	6168	18505	6323	59	8.211e+09	1	4832211	171001	124	278	217	134	18	722174	1583	11851.955	10879.783	1.88e+07	-434.7665	-5.69e+07	0	4154.884	1034027	1424257	19_ADRA2A	1	1	1	3.8	1	1	4	.4446598	.3894143	.4446598	-.1670294	.3353332	-.9745425	.2298841	-.7409635	.1500389	.652992	-.7259166	.1046335	.1749599	-1.413845	-1.297543	-1.470193	-.5679139	.339753	.8153122	.7430576	.6413788	1.338139	.9745425	1.064209	.7083573	.7786766	-.2837581	.5459412	1.275513	.7607465
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_G07	201015	1	NG608	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	1	1	3	12.359315	.7146216	.85622486	.2041776	1.558832	1	47	47	332851	6052	6066	20996	6200	55	6.413e+09	1	3032726	128569	121	238	173	102	70	1197996	5008	8318.0024	7316.4586	4.17e+07	-340.0158	1.13e+07	439	4161.395	956971.4	1363082	19_ADRA2A	1	1	1	6.65	1	1	4	.4727891	-.1269375	.0506606	-.3524647	.2298841	-.6089566	-.6198546	-.2557225	.0345017	-.3520902	.3156165	-.4434955	1.731664	-.0696849	-.2223081	-.6744897	.164727	.1337288	-.2561017	-.3116334	.5152434	.6744897	1.5674	.9745425	-.5771623	-.2837581	-.425856	-.2561017	-.0400101	-.9325278
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_C09	201015	1	NG618	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	.9502924	1	3	8.9176446	.4423848	.65009666	.2041776	.779416	1	8	57	170374	5011	5270	17626	6759	34	2.913e+09	1	1957727	82491	93	283	121	85	32	923354	2336	8425.4311	6381.2587	1.97e+07	719.7714	1191243	541	3821.402	804564.2	1063890	19_ADRA2A	1	1	2	7.3	1	1	4	-.5595922	-1.366707	-1.247754	-1.36114	-1.008673	2.554361	-.5302197	-1.030549	-.681725	-.3520902	-1.520281	-.9861203	1.024592	-1.044409	-1.064644	-1.343082	.04687	-1.163366	-1.482159	-1.275513	-.1742078	-1.11242	.7786766	1.275513	-1.482159	-1.482159	-1.5674	.6250856	-1.721797	-1.482159
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_C02	201015	1	NG570	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	1	1	3	14.510359	.680592	.82451283	.2722368	1.94854	1	9	9	380185	6555	4995	11149	4273	58	4.187e+09	2	4621444	149159	115	362	189	116	154	614748	12474	11993.652	11038.401	1.50e+08	-454.5976	7.19e+07	1	4150.409	925867.9	1347709	19_ADRA2A	1	1	1	2.516667	1	1	4	.3622413	-.2822162	0	-.3798165	-.1653267	.6744897	.714776	-.3277254	.4903967	.2795582	.0575232	0	-.4692529	.9310033	.9861203	.532558	.8720565	.2699041	.2013492	.0667151	-.425856	-.2286397	-.7083573	-.0934678	.6089566	.1742078	-.6089566	1.933363	.4850236	-.2423479
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_E07	201015	1	NG606	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	1	1	3	7.9496748	.4083552	.93550494	.170148	.5455912	1	45	45															48	796855	2944	6620.1743	4743.6038	1.95e+07	582.2164	2.18e+07	8	3445.605	721182.9	994684.4	19_ADRA2A	1	1	1	6.416667	1	1	4	-1.690622	-2.166107	-1.690622	-2.568836	-1.096804	-1.933363	-1.508944	-1.22604	-.9195687	-.6963039	.9021589	-1.196551	.4953255	-.6744897	-.8785789	-1.403804	.3589585													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_B06	201015	1	NG597	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	0	0	1	13.54239	.510444	.6976647	.2041776	1.4808904	1	36	36	343943	5638	4623	21042	6699	61	6.984e+09	2	3541254	137735	110	267	201	143	5	743498	226	14056.942	11973.15	3176869	656.7942	-8.64e+07	4	4037.515	994056.4	1369572	19_ADRA2A	1	1	1	4.666667	1	1	4	.0506606	.1269375	.1014517	.0896424	-.3086658	.8153122	.6198546	-.7409635	-.0114985	-.3520902	-.8514932	-.1985783	.3186394	-1.846533	-1.992682	-2.193076	-.9068503	.5459412	-.1202876	-.7083573	-.8920979	.8920979	1.665843	1.217526	-.2286397	-.0934678	-.9533248	.2561017	.8153122	1.338139
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ADRA2A_201015_A03	201015	2	NG622	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	0	0	1	15.246743	.9187992	.52324853	.3062664	1.94854	1	12	61	617368	9498	7242	15960	4878	65	9.435e+09	1	5842156	196817	149	286	227	125	63	730588	4848	3149.7349	2895.3436	1.53e+07	-1006.052	4.11e+07	28	4164.065	988553.4	1432481	19_ADRA2A	1	1	2	7.883333	1	1	4	.5302197	.0760316	.5012977	.3253741	.4446598	-.2837581	2.166107	.3398826	.4903967	.652992	-1.996573	.2461637	.2701602	-.2701602	-.2701602	-1.543781	.5956607	.8530763	1.665843	1.5674	1.163366	1.665843	.6413788	.339753	1.275513	1.217526	.7786766	.6744897	1.665843	.2013492
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_C03	201015	1	NG578	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	0	0	1	13.434837	.7146216	.74523275	.1020888	.2338248	1	17	17	277265	8402	4991	13659	4731	33	3.524e+09	1	2949853	115322	131	212	162	100	93	638527	7248	13062.504	11543.39	9.47e+07	100.001	1.06e+07	0	3953.486	913067.6	1278818	19_ADRA2A	1	1	1	3.033333	1	1	4	-.2298841	-.3622413	-.2559625	-.5810237	-.6824579	1.5674	-.416878	-.2557225	-1.686274	-1.276341	-.4518512	-.2461637	-.3431555	.2461637	.1985783	.011824	.1174013	-1.275513	-.4850236	1.018352	-.47008	-.5771623	.0133335	.2561017	-.6744897	-.7430576	.0934678	-.8340455	-.4113021	-1.018352
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_H09	201015	1	NG621	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	.9634193	1	3	15.585882	.680592	.82451283	.2041776	1.169124	1	11	60	244995	6282	4589	18499	7941	39	4.131e+09	1	4867645	120403	137	283	138	114	28	1159736	1488	9878.3414	8164.6368	1.47e+07	356.5831	-2.65e+07	231	3976.091	962638.9	1344210	19_ADRA2A	1	1	2	7.55	1	1	4	-.1014517	-.0760316	-.0506606	-.5510015	-.5595922	-.7083573	-.714776	-.3277254	-.2676213	-.3520902	.0575232	.3431555	1.413845	-1.173137	-1.413845	-1.626828	-.3340819	-.8530763	-.9325278	-.0934678	-.9745425	-.2561017	.9325278	1.665843	.7430576	-.5771623	.3681439	.6250856	-1.11242	-.4552406
