filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N001_nwt	cdkn1a_dich	qRNA	protein	ldl	tg	tc	gluc	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200709_E02	200709	1	NA367	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.9144855	1	2	6.1102526	1.1229768	1.0911824	.4423848	.19027219	1	19	68																								4095.546	1205560	1559931	1_CDKN1A	1	1	1	4.133333	1	1	7	.8801318	1.48947	1.382994	1.13214	1.382994	.4668251	.7383242	1.263188	.9601961	1.470951	-1.263188	-1.157199																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200709_E03	200709	1	NA374	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.0354302	0	1	10.463299	.9528288	.8573576	.340296	.34883235	1	26	75																							21	3938.728	1108332	1445925	1_CDKN1A	1	1	1	4.516667	1	1	7	.1717471	.6744897	.4941332	.4516583	.9982012		1.754382	.7626835	.4507442	.5432517	-.1642108	.3149377																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200709_G02	200709	1	NA369	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.0314195	0	1	12.186381	1.020888	1.0911824	.4423848	.38054438	1	21	70																							241	3793.19	1022513	1313795	1_CDKN1A	1	1	1	4.25	1	1	7	-.5375191	-.0189907	-.3286447	.4099833	.773217	.8031726	.2822162	.9601961	.9601961	1.470951	0	.6656764																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200709_A03	200709	1	NA371	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	1	1	2	10.100546	.85074	.389708	.170148	.26955227	1	23	72	293194	6374	5779	5946	2718	46	1.656e+09	2	4176542	144295	132	243	214	104									169	3821.411	972986.8	1287207	1_CDKN1A	1	1	1	4.366667	1	1	7	-.3286447	-.3690087	-.4099833	-.7229722	-.9084579	-1.366204	.409	.3619474	-1.604084	-1.233495	-.799651	.1697986						.5894558	.6314019	.8122178	.9132499	-.1749599	-.3928308	.1749599	.7188681	.7188681	.2461637	-.4692529	.5894558	.4692529
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200709_A01	200709	1	NA356	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.7726852	1	2	9.4657262	1.2250656	1.4808904	.510444	.33297634	1	8	57	378722	5260	5186	2902	684	72	1.087e+09	1	5529721	176903	165	296	177	120									23				1_CDKN1A	1	1	1	3.533333	1	1	7								1.51239	1.711675	2.136868	-.3474399	0						1.479941	1.150349	-.2461637	.5485223	-.8122178	-2.200411	-2.200411	1.150349	1.150349	1.731664	.4692529	-.3186394	.9132499
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200709_A02	200709	1	NA363	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	1	1	2	6.1102526	1.0549176	.4676496	.2041776	.45982446	1	15	64																							52	3800.204	980239.3	1267304	1_CDKN1A	1	1	1	3.933333	1	1	7	-.4941332	-.3286447	-.5375191	.4941332	.0189907		-.6374841	1.099066	-1.004335	-.8972881	.5591096	-1.157199																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200709_D01	200709	1	NA359	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	1	1	2	9.0122839	.4423848	.8573576	.3743256	.3012643	1	11	60	255198	5430	4947	4038	1501	47	9.918e+08	1	4102312	132277	158	253	159	126									61	3825.701	908103	1212319	1_CDKN1A	1	2	1	3.683333	2	1	7	-.2104284	-.8801318	-.8254945	-.6744897	-.5819415	.0587829	-.3238762	-1.050522	.4507442	.9820262	-.6406669	-.3149377						.7188681	.5485223	-.1046335	.4692529	-.9132499	-1.150349	-.3186394	.4692529	.3928308	1.479941	-.2104284	-.7188681	1.150349
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200709_B02	200709	1	NA364	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.5491117	1	2	13.183954	1.0549176	1.3250072	.4764144	.80865682	1	16	65	378088	5560	4526	2955	754	68	1.125e+09	1	5549210	192796	141	284	230	125									7	3821.834	1030977	1396234	1_CDKN1A	1	2	1	3.983333	2	1	7	-.2888094	.0950912	.2104284	-.1717471	-.6744897	-.0980721	.7916386	1.099066	1.394908	1.773856	2.136868	1.078302						1.150349	1.024592	.1749599	.1046335	-.5485223	-1.731664	-1.479941	1.297543	1.297543	.8122178	.2104284	.9132499	1.024592
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200709_H02	200709	1	NA370	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	9.3750378	.9528288	1.6367736	.2041776	.33297634	1	22	71																							80	3887.945	1106956	1396653	1_CDKN1A	1	2	1	4.3	2	1	7	-.0569997	.6275435	.2494273	-.0189907	1.13214	.650104		.7626835	1.924054	-.8972881	-.3474399	-.0563585																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200709_F02	200709	1	NA368	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	1	1	2	8.9215954	.85074	1.169124	.340296	.45982446	1	20	69	221995	5163	3780	4509	1416	43	9.215e+08	1	3270622	138783	140	199	151	151									33	3707.24	930398.9	1188962	1_CDKN1A	1	2	1	4.2	2	1	7	-.773217	-.6275435	-.9375322	-.2104284	.0950912	-1.189164	-.9674216	.3619474	1.124338	.5432517	.5591096	-.3446772						.3554904	.3186394	-.3186394	-.5485223	-1.024592	-.7188681	-.5485223	-.3186394	.5485223	.6314019	-1.479941	-.9674216	2.200411
