filename	date	plate	index	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	acvr1c_nwt	acvr1c_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_B08	201019	1	NB549																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.1338443	0	1	14.370591	.0680592	.53910454	.2382072	1.7926568	1	49	49	473794	6968	6265	16444	5067	68	7.642e+09	1	4539598	168280	140	253	186	125	207	696044	15870	28126.733	25924.284	4.46e+08	-667.2329	2.30e+07	21	4005.952	1008965	1462254	20_ACVR1C	1	1	1	4.8	1	1	5	.1247655	.5407898	.939415	1.853367	.325661	-.2235893	1.390801	-1.619856	.5262936	-.6235933	.5262936	.7488504	.4862914	.8904218	.9169766	1.150349	.1346898	.8550502	.6818606	.1174013	.3840592	1.144693	.5679139	.5405975	.2849259	.3094104	.2244208	.0703373	.248512	.129204
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_B03	201019	1	NB515																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.5167236	1	2	8.161423	.2382072	.53910454	.170148	.7014744	1	16	16	362722	7885	6160	14927	4504	46	5.373e+09	2	1674439	68415	87	238	145	86	89	462008	7438	23112.277	18813.719	1.72e+08	2204.717	-5.41e+07	15	3698.204	832153.6	1090761	20_ACVR1C	1	1	1	2.166667	1	1	5	-.9962083	-.7489278	-.939415	-.5614833	-1.3491	-.0868771	-.1709212	-.7708607	-1.368829	-1.044936	.5262936	-.8392736	-.8904218	-.6094088	-.5062573	-.4537622	-.5141561	-.5270904	-.0234286	.5956607	.260611	.2124247	.04687	-.04687	-1.408853	-1.475095	-1.475095	-.2727483	-.9799662	-1.408853
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_C01	201019	1	NB502																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.1285529	0	1	13.415334	.2041776	.38054438	.7146216	1.7926568	1	3	3	204230	6189	5908	11019	4394	33	2.192e+09	1	2333291	98130	120	203	125	111	143	448892	11137	16417.032	14355.651	1.83e+08	453.9649	8.06e+07	22	4289.247	941868.3	1305884	20_ACVR1C	1	1	1	1.2	1	1	5	1.087999	.0177784	.0890049	.0711701	1.721797	-1.070009	.2257079	-.9371445	.5262936	1.684395	-.4980894	.3977839	-1.158944	-.1061127	-.0972407	-.3565502	.8805315	-1.441184	-1.144693	-.4094043	.04687	-1.24006	-.6818606	-.0938433	-1.018561	-.9068503	-.7734564	-.7422367	-1.408853	-.554204
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ACVR1C_201019_D03	201019	2	NB580																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9760684	1	2	7.1526049	.2382072	.3012643	.4083552	1.169124	1	31	80	357675	7154	6919	20676	5944	50	7.509e+09	1	3123645	134484	135	184	168	129	55	291450	4804	16999.859	14388.243	8.17e+07	1000.644	-2.15e+07	27	3726.483	763710.9	1014827	20_ACVR1C	1	1	2	6.483333	1	1	5	-.8594887	-1.394653	-1.443299	-.6468477	-1.087999	-.8010945	.3756961	-.7708607	-.3623302	-.3186394	-1.134514	-1.199681	-2.10592	-1.158944	-1.060907	-1.261461	-.1891184	-.2124247	-.0703373	.2124247	.8054488	1.058737	1.63141	.9068503	-.5405975	-.2124247	.0117135	-1.24006	-.2004592	.3464934
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_H04	201019	1	NB525																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	1	1	2	13.606385	.2722368	.38054438	.170148	.7014744	1	26	26															5	510277	400	23003.19	21334.348	9201276	-700.027	-2.87e+08	17	4590.643	1181380	1614930	20_ACVR1C	1	1	1	2.983333	1	1	5	2.30304	1.853367	1.853367	.9121265	1.394653	.1451209		-.6036857	-1.368829	-1.044936	-.4980894	.451935	-.5674293	-1.966025	-1.966025	-2.300347	-2.690109													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_E03	201019	1	NB517																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9299384	1	2	12.173501	.2041776	.3012643	.6465624	1.7147152	1	18	18															163	444906	11920	21820.669	18307.24	2.60e+08	1474.851	4.82e+07	53	4181.834	976082.1	1355111	20_ACVR1C	1	1	1	2.333333	1	1	5	.6913244	.2883881	.4209948	-.2515118	.0890049	-.4061731	1.021236	-.9371445	.3888753	1.327902	-1.134514	.0908251	-1.231035	.2406077	.0972407	.0447762	.4537622													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ACVR1C_201019_A02	201019	2	NB570																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.5363867	1	2	10.092687	.4423848	.33297634	.5444736	1.4029488	1	21	70															143	461520	10316	22810.494	21538.487	2.35e+08	-1119.136	-6.63e+07	0	3785.695	868745.1	1171018	20_ACVR1C	1	1	2	5.883333	1	1	5	-.5614833	-.4405008	-.5000764	-.3444652	-.6913244	-1.036433	-.7794507	.1239993	-.0329879	.6036857	-.8160462	-.3623302	-.9169766	-.1061127	-.1684908	-.0806576	-.5764875													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_C06	201019	1	NB536																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	1	1	2	16.758732	.7146216	.41225642	.2041776	.7014744	1	37	37	481941	8168	8299	9555	3016	59	4.454e+09	1	5543612	185467	125	282	232	128	124	728230	10222	21682.537	19414.262	2.22e+08	108.9089	-2.10e+07	2	4394.146	1153701	1590960	20_ACVR1C	1	1	1	3.766667	1	1	5	1.443299	1.552397	1.683913	1.087999	.939415	-.7747937	1.850193	1.199681	-1.368829	-.7271971	-.2499428	1.166479	.7425627	-.3047411	-.1864235	-.1709212	-.1709212	.4350152	.7734564	.9427782	1.842373	-.3094104	-1.018561	-.9799662	.9427782	.7117243	-.5003588	.5956607	1.842373	.2244208
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_F09	201019	1	NB560																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9562913	1	2	11.027193	.3743256	.38054438	.2382072	.7014744	1	11	60	332937	5945	4435	13405	3877	56	4.603e+09	1	4456663	147465	170	227	216	120	32	944966	2992	17719.962	13113.928	5.30e+07	3134.103	-1.47e+07	57	3708.361	867429.2	1206712	20_ACVR1C	1	1	2	5.55	1	1	5	-.939415	-.4800305	-.363392	-.9121265	-.9674216	.8010945	-.0089524	-.1406355	-1.368829	-.6235933	-.4980894	-.0742776	1.687281	-1.618134	-1.447034	-1.611169	-.1346898	.2244208	-.1885222	-.5679139	-.8720565	-.1174013	-.2849259	-.4221751	.1410246	-.0938433	1.292276	-.4221751	1.348275	-.0117135
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ACVR1C_201019_H02	201019	2	NB576																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	1	1	2	9.1880463	.7146216	.19027219	.5444736	1.6367736	1	27	76															208	527122	15305	21111.932	18659.719	3.23e+08	375.175	1.01e+08	18	3775.23	886270.8	1213755	20_ACVR1C	1	1	2	7.1	1	1	5	-.6468477	-.363392	-.2883881	-.5824202	-.8091311	-.7490183	.3949807	1.199681	.2841234	.6036857	-2.133366	-.63364	-.4862914	.9169766	.8391085	.5554726	1.083534													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ACVR1C_201019_B05	201019	2	NB588																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	1	1	2	7.7180053	.2722368	.42811243	.4083552	1.3250072	1	39	88	164416	3498	3020	17150	5738	47	2.748e+09	1	2960682	104309	103	340	148	112	0	369444	0		20323.296				0	3587.877	767449.3	1082731	20_ACVR1C	1	1	2	7.533333	1	1	5	-1.394653	-1.3491	-.9817132	-1.025845	-1.12071	.0868771	-1.345167	-.6036857	-.1323128	-.3186394	-.1406355	-1.01688	-1.618134	-2.455101	-2.455101			-.4094043	-1.348275	-1.548528	-1.727309	-1.100698	.8382877	.8382877	-.5679139	-.8054488	-1.408853	1.475095	-.8054488	-.4479274
