filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	chd9_nwt	chd9_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_G01	201026	1	NC006	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	0	0	1	12.585328						6	6	273039	7584	5943	12699	4349	36	3.295e+09	1	3263517	111099	97	256	215	115	161	524892	12314	14223.356	12754.788	1.75e+08	576.173	8.26e+07	5	3668.657	808138.1	1103995	21_CHD9	1	1	1	2.916667	1	1	4	-.4887764	-1.534121	-.8871465	-1.21334	-.2211187	.2599896	-.6948019					-.1844524	-.4419345	1.369856	1.369856	.9042674	1.107003	-1.085325	-.3928308	1.024592	.8122178	.2461637	.6314019	.5485223	-.0348213	-.4692529	-2.18935	.1046335	1.731664	.3661064
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_D01	201026	1	NC004	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.0204547	0	1	7.8181312	.7486512	.28540829	.4423848	1.7926568	1	4	4	473745	8939	7356	10166	3794	53	5.263e+09	3	5302863	174760	141	319	180	126	60	779892	4221	16881.855	15415.471	7.13e+07	400.0988	-4.67e+07	24	4127.167	996508.8	1329945	21_CHD9	1	1	1	2.75	1	1	4	.984235	.560703	.560703	.4192958	.635657	1.19838	.5392076	.2211187	-.5244005	.1573107	-1.09162	-1.546635	1.107003	-.581393	-.6554235	-.3106094	-.6554235	.2104284	1.731664	1.731664	2.200411	1.150349	.1749599	.3928308	2.200411	1.297543	1.00627	1.297543	.4692529	1.13317
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_G02	201026	1	NC010	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	0	0	1	4.3981857	.5444736	.47568048	.340296	1.4029488	1	10	10	268426	5263	4133	1039	297	51	2.844e+08	1	3021406	127295	120	216	173	109	87	610644	5376	8564.8069	8950.7485	4.60e+07	-1029.72	-1.02e+07	74				21_CHD9	1	1	1	4.475	1	1	4								-.4192958	-1.281552	-1.21334	.7143674	-2.250926	.0611754	.0611754	-.3754618	-1.000491	-.0611754	.1046335	-.4692529	-.3928308	-.8122178	-1.150349	-1.297543	-1.297543	-.3186394	.1046335	-.1076344	-.4692529	.0696849	-.2165341
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_D02	201026	1	NC007	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.0892614	0	1	13.518041	.6125328	.77694478	.3743256	2.2603064	1	7	7															134	621962	9312	20212.338	19842.113	1.88e+08	-985.3676	2.80e+07	66	3733.59	858561.7	1130927	21_CHD9	1	1	1	4.216667	1	1	4	-.2858409	-.560703	-.4192958	-.7143674	-.4887764	.6948019	.4662653	-.1891184	.1256613	-.7143674	1.534121	.0611754	.247039	.7332358	.6554235	1.107003	.5104216													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_A05	201026	1	NC025	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.577325	1	2	12.378059	.4764144	.25369626	.3062664	1.7926568	1	25	25	276874	6439	5723	17501	4862	43	4.827e+09	1	2515705	102676	127	195	146	103	56	437408	3573	23668.4	20216.069	8.46e+07	2072.299	-7.93e+07	146	3740.01	828624.6	1114209	21_CHD9	1	1	1	5.933333	1	1	4	-.2211187	-1.21334	-.7977768	-.560703	-.8871465	.8694237	.0643168	-.5977601	-.5244005	-1.356312	-1.534121	-.247039	-1.369856	-.7332358	-.8157657	-.247039	-1.000491	-.6314019	-.3186394	.5485223	.7188681	1.024592	1.479941	1.024592	-1.150349	-.8122178	.0716793	-1.024592	-.9132499	-.7916386
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_A03	201026	1	NC012	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.0916105	0	1	15.072561	.85074	.34883235	.510444	2.2603064	1	12	12	335139	4929	4564	9850	3400	68	3.184e+09	1	4019629	148301	115	276	204	121	61	612498	4831	12248.331	11829.349	5.92e+07	-412.9302	-2.46e+07	42	3966.251	986101.1	1311148	21_CHD9	1	1	1	4.783333	1	1	4	.1573107	.4887764	.2858409	.2858409	.4192958	.3271033	1.342336	.560703	.1256613	.5977601	-.4887764	.3106094	.1225808	-.5104216	-.5104216	-.7332358	-.3106094	1.382994	.4692529	-.6314019	-.4692529	.1749599	.0348213	.0348213	.4692529	.9132499	-.5244005	.7188681	1.22064	.8938006
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_A06	201026	1	NC033	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.5658886	1	2	11.859885	.3062664	.25369626	.4083552	1.4808904	1	33	33	179667	6654	5964	14209	5349	27	2.325e+09	1	2193968	96428	106	193	179	106	114	448009	8366	15092.3	13851.482	1.26e+08	276.7481	2.32e+07	109	3654.782	835951.8	1118530	21_CHD9	1	1	1	6.616667	1	1	4	-.635657	-1.09162	-.635657	-1.356312	-.560703	-.8694237	-1.075723	-1.09162	-1.09162	-.1891184	-1.534121	-.4419345	-1.227826	.3754618	.3106094	.1225808	.3754618	-1.479941	-.9132499	.7188681	.9132499	-.3928308	1.024592	1.297543	-1.479941	-1.024592	-1.00627	-1.382994	.3928308	-.3661064
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_G03	201026	1	NC016	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.0204848	0	1	17.559794	1.0549176	.60252861	.5785032	3.0397224	1	16	16	362815	6149	5024	6723	2652	59	2.420e+09	1	4403837	145299	110	349	217	105	41	626232	2856	11776.414	11233.9	3.36e+07	-250.4821	-4.44e+07	44	4215.911	1074582	1435502	21_CHD9	1	2	1	5.116667	2	1	4	1.356312	.984235	.984235	.7143674	.7977768	.4662653	-.5392076	1.09162	.8871465	1.281552	.8871465	.8157657	.3106094	-.9042674	-1.000491	-1.227826	-.5104216	.8122178	.8122178	.1749599	.0348213	-.3186394	-.6314019	-.3186394	.9132499	.6314019	-.8416212	2.200411	2.200411	-.5659488
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_E02	201026	1	NC008	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.0178151	0	1	21.601548	1.191036	.68180869	.5444736	2.9617808	1	8	8															33	711550	2656	19125.04	20096.244	5.08e+07	-2343.405	-1.12e+08	38	4245.167	1100317	1540491	21_CHD9	1	2	1	4.283333	2	1	4	1.780464	1.21334	1.534121	1.780464	1.356312	1.342336	.8694237	1.356312	.7977768	.9345893	1.09162	1.546635	.7332358	-1.165288	-1.107003	-.9042674	-1.791764													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_A07	201026	1	NC038	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.578136	1	2	12.274424	.4764144	.34883235	.4083552	2.0264816	1	38	38	279583	5592	5497	8326	2365	50	2.431e+09	1	3877504	138511	119	258	177	123	66	544099	4843	13573.145	12996.658	6.57e+07	-331.7146	-2.92e+07	0	3842.427	865918.9	1121835	21_CHD9	1	2	1	7.45	2	1	4	-.0941374	-.4887764	-.560703	.0941374	-.7143674	-.3271033	-1.19838	-.5977601	-.0941374	-.1891184	-.4887764	-.3106094	-.247039	-.4419345	-.4419345	-.5104216	-.3754618	.0348213	-.1046335	-.2461637	.4692529	-.2461637	-.3186394	-.6314019	.3928308	.3186394	-.2533471	.1749599	.2461637	1.00627
