filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	plin1_nwt	plin1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_A09	201022	1	ND442	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	0	0	1	14.20855	.7486512	.34883235	.340296	1.169124	1	47	47	270332	5517	4351	16666	5300	49	4.509e+09	1	4361511	145549	166	235	204	115	109	583088	8416	19906.197	16750.299	1.68e+08	714.3448	-1.87e+07	0	4069.946	976964.4	1360121	22_PLIN1	1	1	1	7	1	1	5	.4770404	.3259735	.5084881	.6399237	.5084881	-.0712713	.2967378	.6075616	.5432517	.6406669	-.2477242	1.074478	.2922246	-.4465882	-.3837693	-.3224307	-.3224307	-.3545969	-.6839988	-.8034983	-1.033853	.3707237	1.086838	1.086838	.4697212	.1210967	1.338533	-.0604375	.8034983	-.2130021
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_D03	201022	1	ND409	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	14.317172	.9187992	.53910454	.3743256	1.4029488	1	14	14	432071	5761	5248	7098	1935	75	2.913e+09	1	5541974	209537	155	223	203	147	113	606382	9267	19107.61	15833.448	1.77e+08	897.3948	1.33e+07	0	4158.305	998781.8	1381744	22_PLIN1	1	1	1	3.816667	1	1	5	.7461852	.5729675	.7461852	.3554904	.5729675	-.3336597	-1.644854	1.074478	1.074478	1.050522	1.177163	1.204851	.5443409	-.3072926	-.2030698	-.2622828	.0288158	1.203157	.9836224	-.5037205	-.3067468	-.5037205	-.9836224	-1.26794	1.143064	1.26794	1.086838	-.4362566	.762464	1.143064
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_D01	201022	1	ND398	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	19.748238	.7486512	.85622486	.3743256	2.2603064	1	3	3	539082	7928	6781	8114	2781	68	4.364e+09	1	6380723	218618	154	302	243	116	218	577124	16176	29237.383	27717.81	4.73e+08	-1696.943	1.81e+07	0	4262.053	1072189	1440332	22_PLIN1	1	1	1	2.616667	1	1	5	1.313873	1.191816	1.382994	.5729675	.7461852	-.4255243	.4770404	.6075616	2.136868	1.050522	2.546865	2.136868	.2030698	1.401986	1.441564	1.528305	.0576556	1.143064	1.338533	1.086838	.8459325	.3067468	-.7226751	-.5735608	1.26794	1.338533	1.00842	1.26794	1.879026	-.1515802
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_G02	201022	1	ND407	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	0	0	1	17.684433	.9187992	.41225642	.4423848	2.6500144	1	12	12	248945	4526	5032	4297	1328	55	1.115e+09	1	6635671	174644	188	260	197	175	200	608827	14994	26589.159	22697.781	3.99e+08	1029.577	6.68e+07	3	3995.802	1002610	1410604	22_PLIN1	1	1	1	3.316667	1	1	5	.1256613	.6399237	.9899016	.6061059	.2389929	-.1285329	.5404469	1.074478	2.546865	1.711675	.2337006	1.924054	.5780677	1.171546	1.116127	1.294762	.6124654	.1515802	-.8034983	-1.338533	-.4697212	-1.504199	-1.726056	-1.879026	1.338533	.762464	1.605273	.419708	.6463197	2.51073
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_D06	201022	1	ND427	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	0	0	1	12.687852	1.1570064	.38054438	.4083552	.8573576	1	32	32	367012	8341	6725	11653	3505	44	4.362e+09	1	3391337	125910	139	200	157	129	177	578468	14485	19610	16653.507	2.84e+08	521.7799	1.00e+08	57	3943.376	929561.4	1251244	22_PLIN1	1	1	1	5.666667	1	1	5	-.0696849	-.0417893	-.1256613	-.3259735	-.1537869	-.1573107	1.136959	1.655485	-.1918929	1.394908	-.0272493	.6075616	.2325743	.7582926	.9674216	.6835603	1.171546	-.8245299	.338562	1.504199	.8034983	.2752391	.0604375	-.1515802	-.2752391	-.5735608	.2752391	-1.203157	-.7424226	.4362566
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_A04	201022	1	ND414	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	16.924083	1.1229768	.57081658	.4083552	1.558832	1	19	19	318477	8166	6600	5540	1834	39	1.729e+09	1	4150387	137131	148	223	183	115	172	688146	13289	22141.282	19137.778	2.94e+08	393.2527	4.95e+07	50	4165.327	1074507	1422732	22_PLIN1	1	1	1	4.4	1	1	5	.8616341	1.250516	1.136959	1.085325	.9027348	-1.75333	-1.136959	1.51239	1.431895	1.394908	1.359737	1.773856	1.171546	.6835603	.6476036	.7582926	.414974	-1.086838	-.0907253	1.26794	.6839988	-1.086838	-1.416509	-1.416509	.3067468	-.0302049	.6839988	-.4362566	.2284748	-.2130021
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_D09	201022	1	ND444	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	13.991308	.7146216	.44396845	.2382072	1.3250072	1	49	49	353347	7852	6145	16833	5412	45	5.829e+09	1	3744834	133896	154	231	161	122	130	535796	10339	31423.525	30156.839	3.25e+08	-2122.171	-1.90e+08	129	4005.098	896783.1	1229112	22_PLIN1	1	1	1	7.116667	1	1	5	.1820346	-.2104284	-.1820346	-.1820346	-.5084881	-.8871465	-.9454201	.4658759	.8770955	-.4964666	.5912576	.9601961	-.0865434	-.1591341	-.0576556	.8791677	-1.748025	-.7226751	.1210967	.8899477	.4362566	.8459325	1.143064	1.203157	-.0302049	-.2440025	1.00842	-.2130021	-.5383123	.1668731
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_D04	201022	1	ND417	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	.7492862	1	2	12.579231	1.020888	.60252861	.340296	1.3250072	1	22	22	576244	5821	4860	6611	1993	99	3.968e+09	1	8682496	242775	195	321	208	144	296	815094	24521	25140.977	22329.129	6.16e+08	-23.904	2.94e+08	0	4369.125	1080817	1494240	22_PLIN1	1	1	1	4.616667	1	1	5	1.914506	1.313873	1.763728	1.136959	1.545513	-.4569218	.4460577	1.263188	.8770955	.6406669	1.655485	.5591096	1.899709	1.899709	2.114381	1.899709	1.899709	2.095297	1.504199	-.4697212	-.6095368	0	-1.143064	-1.143064	2.095297	1.879026	1.797293	1.879026	1.033853	1.00842
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_A02	201022	1	ND401	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	12.687852	.6465624	.58667259	.4423848	1.94854	1	6	6	213295	5613	5763	6421	2183	38	1.392e+09	2	1899760	80517	94	272	115	82	246	497302	17921	30622.377	27115.3	5.49e+08	333.1351	1.09e+08	0	3758.755	854000.9	1184685	22_PLIN1	1	1	1	2.95	1	1	5	-.7098812	-.5729675	-.3853205	-.7098812	-1.459439	-.3036906	-.4614937	.2337006	1.773856	1.711675	1.51239	.6075616	-.4786552	1.628361	1.628361	1.748025	1.230818	-1.234901	-1.26794	-.6839988	.2440025	-1.416509	-1.203157	-.9357584	-1.605273	-1.416509	-1.552754	.6095368	-2.095297	-1.879026
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_G07	201022	1	ND436	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	0	0	1	9.1033486	1.2590952	.38054438	.340296	.6235328	1	41	41	607111	7885	7166	13061	4116	77	7.890e+09	2	6836664	236966	151	275	257	137	162	783092	13761	18360.865	16562.522	2.53e+08	-629.9412	7.10e+07	9	4349.572	1085767	1486898	22_PLIN1	1	1	1	6.483333	1	1	5	1.763728	1.382994	1.644854	1.459439	.9899016	-1.021921	1.459439	1.924054	-.7267301	.6406669	-.0272493	-.5275293	1.628361	.4465882	.7582926	.414974	.7204233	1.26794	1.726056	.9357584	1.203157	1.605273	.3067468	.2130021	1.504199	1.726056	.86773	.6463197	2.095297	.762464
