filename	date	plate	index	control_1_mutant_0	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	tp53inp1_nwt	tp53inp1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate03_TP53INP1_201028_A01	201028	3	NE408		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	10.810471	.3743256	.66595267	.5444736	2.0264816	1	24	122															200	653926	14507	16615.867	15731.395	2.41e+08	-696.9459	9.12e+07	0	3873.106	1051194	1283274	23_TP53INP1	1	1	3	11.05	1	1	11	-.7497756	.5057339	-.3750449	.2368593	1.415986	-2.04445	-.5357877	-1.025729	.0048767	-.2693702	.1554737	.1562169	.7077995	1.611932	1.395747	1.230247	1.308518													
InsH2Bfabp_CD15_09dpf_VAST02_plate03_TP53INP1_201028_E01	201028	3	NE412		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	8.0591461	.3062664	.34883235	.340296	.7014744	1	28	126	294112	7003	6003	8706	2739	42	2.575e+09	1	3561943	126847	111	293	158	116	172	512611	12828	22951.302	19438.121	2.94e+08	1549.215	1.02e+08	35	3972.46	979880.4	1254683	23_TP53INP1	1	1	3	11.28333	1	1	11	-.3979352	-.1918929	-.590158	-.3032463	.5526422	1.172718	.2160518	-1.279355	-1.054118	-1.166919	-.8251853	-.605529	-.4200915	1.281552	1.205768	1.427318	1.427318	-.8450942	-.3540506	.5854392	.5567915	-.5285937	-.4734077	-.5426386	-.1897378	-.3800834	-.8364307	.9355313	-.3866314	-.1158556
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_A06	201028	2	NE384		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	.0165816	0	1	9.9541637	.6465624	.3012643	.510444	1.94854	1	49	98	393307	5784	4705	24418	7657	68	9.401e+09	1	3792411	165104	130	295	154	132	125	519675	7996	18299.515	16412.232	1.46e+08	235.601	-1.14e+07	0	4003.476	967588.5	1292949	23_TP53INP1	1	1	2	9.05	1	1	11	-.2852877	-.3157742	-.3186394	-.1498904	-.3523494	-.8175112	-1.619856	-.3454851	-.0292644	-.4130954	-1.11137	-.0432312	-.3448162	.7380812	.4200915	.8333433	-.187635	.705366	.3800834	-.2270455	-.393196	1.683734	2.120302	1.931688	.0304249	.45984	-.1281146	.9837413	-.5426386	.7369298
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TP53INP1_201028_A09	201028	1	NE342		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	13.443258	.6125328	.28540829	.6125328	1.3250072	1	7	56	383414	6727	5428	17412	5756	57	6.596e+09	1	3268479	149806	134	230	189	115	92	438592	7352	13857.291	11547.588	1.02e+08	1160.069	235055	7	3830.936	890502.6	1154598	23_TP53INP1	1	1	2	5.083333	1	1	11	-.998996	-.8811052	-1.150349	1.087999	.8910891		.160094	-.4395933	-.3379398	-.0532547	-1.236652	.9312502	-.9368471	.187635	.2233594	.3324693	.081702	.0121684	.2772953	.4196279	.1158556	.7857075	1.11002	1.066035	-.4196279	.1158556	.0426012	-.3735517	.5426386	-.2021419
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TP53INP1_201028_E02	201028	1	NE297		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	12.482426	.8167104	.25369626	.680592	1.8705984	1	11	11	430451	6943	5702	23368	9205	62	9.540e+09	1	5373670	184593	128	320	216	124	165	638450	12992	17017.523	14901.261	2.21e+08	620.5168	8.08e+07	32	4063.045	1004374	1379755	23_TP53INP1	1	1	1	2.133333	1	1	11	.0159326	.0818291	.2742425	.3824499	.1438825	-.8662307	-.3070939	-.0338798	-.068327	.0872133	-1.540034	.605529	.6490918	1.230247	1.230247	1.136341	1.181991	.3026771	.5854392	.5567915	.3282556	1.736224	1.858438	2.443065	.9076226	.8023853	-.2270455	1.284323	1.341952	.4129931
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_E07	201028	2	NE396		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	5.8886833	.5785032	.22198422	.4083552	1.2470656	1	12	110	427424	7771	6351	14198	4587	55	6.399e+09	1	4075267	156544	115	239	204	136	98	499232	6468	15979.665	14668.473	1.03e+08	-160.5287	-3.42e+07	50	3847.303	896842.9	1232836	23_TP53INP1	1	1	3	9.916667	1	1	11	-.9478215	-.8651499	-.7082121	-.536679	.0106215	-.3306497	-1.088633	-.5433736	-.4378726	-.9024924	-1.767049	-1.409726	-.5244005	.2835644	-.011659	.3572158	-.5649717	-.1036139	.5567915	1.11002	.7692455	.7529894	.393196	.393196	.1897378	.264672	-.7210581	-.1281146	1.034354	1.055357
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TP53INP1_201028_A02	201028	1	NE293		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	0	0	1	13.539341	.4764144	.44396845	.2722368	.6235328	1	7	7	358633	5353	5632	17184	5034	67	5.788e+09	1	4177025	164938	124	283	191	121	88	443682	7567	14101.793	12805.902	1.07e+08	16.39565	-9431690	77	4045.506	910704.9	1257390	23_TP53INP1	1	1	1	1.916667	1	1	11	-.0371831	-.8034077	-.5650586	-.2259033	-.1224503	.4037948	.5742636	-.7082911	-1.162244	-1.424022	-.2294324	.9582613	-.9189159	.0875522	.271448	.4328603	-.1521486	.6072435	.140393	-.4329535	.2772953	.5854392	1.044798	.705366	.214577	.4463564	-.3475804	.7529894	.6219411	.2520908
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TP53INP1_201028_H05	201028	1	NE327		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	.5733333	1	2	11.809844	.6465624	.41225642	.6125328	1.3250072	1	41	41	733290	8835	9502	14780	4415	83	1.088e+10	1	7317143	250937	149	357	208	135	82	693782	6251	18693.947	16720.795	1.17e+08	289.6248	-4.44e+07	6	4166.563	1068481	1464721	23_TP53INP1	1	1	1	4.083333	1	1	11	.5158886	.6882357	.8370893	1.745769	.6878846	.8829325	-1.301807	-.3454851	-.3379398	-.0532547	-.402578	.4087017	1.011812	-.0524884	-.0466519	.5513477	-.7228575	1.341952	2.017059	1.683734	2.443065	2.443065	.5146521	.2899629	1.683734	1.683734	.705366	2.017059	1.076836	.9936602
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_A03	201028	2	NE364		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	0	0	1	5.0755872	.510444	.34883235	.4083552	.7014744	1	29	78	496098	7087	5657	18898	6622	70	9.298e+09	1	6961007	173669	187	268	185	154	76	555834	6034	13677.404	11855.624	8.25e+07	640.3555	-2.27e+07	0	4164.984	998647.1	1347829	23_TP53INP1	1	1	2	6.916667	1	1	11	.4917708	-.0054492	.1117559	-.3824499	-.1923633	-1.107259	-1.030806	-.6414421	-1.054118	-.9024924	-.8251853	-1.734899	.0233196	-.169865	-.1521486	.1168527	-.3448162	.8804035	.9449974	.6592913	.2899629	1.635512	1.372516	1.683734	1.509904	.5999438	1.793985	.4530879	.45984	1.825264
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_E01	201028	2	NE354		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	10.651103	.7146216	.3964004	.5785032	1.4029488	1	19	68	459867	7185	5028	12339	3481	64	5.671e+09	1	4589622	183270	140	229	202	134	59	548678	4317	14464.553	13542.495	6.24e+07	-433.4569	-6.22e+07	522	4024.608	960066.8	1296762	23_TP53INP1	1	1	2	6.083333	1	1	11	-.1438825	-.3970856	-.2963679	.0106667	-.1331588	-.4037948	.005497	-.2046599	-.2765819	-.1652771	-.5266227	.1213065	-.011659	-.4846749	-.5513477	-.1285997	-1.092944	.4396451	.7529894	.7210581	-.2270455	.5146521	.140393	-.0304249	.4196279	.7692455	.3475804	-.393196	.9076226	.8984756
