filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	sirt1_nwt	sirt1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SIRT1_201029_D01	201029	2	ND847	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	23.778588	1.4292432	.31712032	.4764144	2.4941312	1	18	67	392098	5601	5244	6535	2332	70	2.676e+09	1	5341414	194961	129	316	218	122	289	824928	22696	19691.195	17478.788	4.47e+08	341.597	1.70e+08	78	4532.24	1175563	1601951	24_SIRT1	1	1	2	8.85	1	1	5	1.589532	.9331427	1.277311	.2552792	.3933922	.9674216	1.192455	1.025357	1.355292	1.802743	.0327722	2.336206	1.340755	1.880794	1.880794	1.713249	1.989313	.4773772	-.0541263	-.7030663	-.3305199	-.6134658	-1.145992	-.7500287	.4274319	.5918413	-.3785313	1.079027	.8111733	.0631585
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SIRT1_201029_G02	201029	2	ND857	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	11.606999	.3743256	.17441618	.2382072	.9352992	1	28	77	432749	6762	5646	7965	2598	64	3.492e+09	1	3709286	152620	122	300	149	122	174	508778	15037	18581.497	16694.85	2.79e+08	157.6479	2.30e+07	281	3754.465	905336.6	1179511	24_SIRT1	1	1	2	9.7	1	1	5	-1.416202	-.9331427	-1.023715	-1.589532	-.8231059	1.449182	1.084382	-1.224459	-.2550282	-.2803347	-1.077973	-.6744897	-.9027348	.2018935	.4958504	.612813	.4583978	.1538883	.2552097	.1813217	.0721959	-.1265702	-.4274319	-.4077554	-.3496269	-.1813217	-.5704901	.7741385	-.8111733	.0631585
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SIRT1_201029_A04	201029	2	ND866	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	0	0	1	17.922446	.0680592	.33297634	.0680592	.4676496	1	37	86	318978	7595	4766	6171	1771	42	1.981e+09	1	3322144	145388	115	239	174	150	250	591946	18998	22477.99	19905.336	4.27e+08	262.8925	8.68e+07	540				24_SIRT1	1	1	2	10.73333	1	1	5								-2.2266	-1.025357	-1.690622	.1149349	.7159439	-.0585214	1.036433	1.036433	1.644854	.9541653	-1.145992	-.5285433	.9867994	-.823767	-.9867994	-1.341198	-1.386915	-.6134658	-.2926572	-.8493556	-.5389403	-.1996854	1.516091
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_B05	201029	1	ND810	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	13.129456	.8847696	.61838462	.2382072	1.0911824	1	30	30	362428	6472	6765	9701	3042	56	3.523e+09	1	3163499	120356	111	262	185	114	234	716638	18634	15466.229	13857.387	2.88e+08	393.1268	1.06e+08	13	4090.459	1041385	1401901	24_SIRT1	1	1	1	4.2	1	1	5	-.0655185	-.0467825	.0842775	.5612504	.0093532	-.2754823	-.1895981	.0244176	-.0407033	-.2803347	1.415702	-.2634448	.6536562	.8778963	.9808501	.6536562	1.158484	-.2181168	-.1447705	-.0180343	1.181485	-.1084118	.1084118	.090289	-.7030663	-.7263473	-1.063027	.1265702	.0270532	-.4274319
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SIRT1_201029_A03	201029	2	ND859	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.9788056	1	2	15.511094	1.3271544	.31712032	.340296	1.4029488	1	30	79	386087	7425	5147	12190	3356	52	4.511e+09	1	4701056	160833	133	255	207	116	186	661400	15881	15641.603	13869.69	2.48e+08	553.9725	6.58e+07	400	4181.344	1081251	1439854	24_SIRT1	1	1	2	9.866667	1	1	5	.1218913	.2941324	.3532773	.2941324	.4547992	.6205683	1.231743	.7159439	.2803347	.6643075	.0327722	.2382486	.3142472	.4033827	.6536562	.3318534	.7835004	-.4175735	-.090289	.8493556	-.4373321	.5493959	.7741385	.3882355	.090289	-.0180343	-.0993463	-.090289	.457263	-.264536
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SIRT1_201029_D03	201029	2	ND862	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.6736444	1	2	7.4732522	.0340296	.19027219	.0680592	.1558832	1	33	82	203040	4414	3800	15733	5055	46	3.118e+09	1	2924535	87720	130	198	157	104										3410.487	846793.2	998407.9	24_SIRT1	1	1	2	10.25	1	1	5	-2.67546	-1.830574	-2.67546	-.5612504	-2.283719	-2.066729	.0377026	-2.721761	-1.892371	-1.690622	-.8557124	-1.540754						-.8111733	-1.488228	-1.677088	-1.607642	-.4077554	1.677088	1.677088	-.8493556	-1.341198	-.3115327	-1.386915	-.6915681	-.8888183
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_G01	201029	1	ND784	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.077495	0	1	4.3057695	.1361184	.44396845	.170148	.2338248	1	4	4	312030	5033	4841	2340	633	62	7.215e+08	1	4275583	152843	147	255	167	116	136	394482	10174	15759.907	13828.135	1.60e+08	721.3486	-2.12e+07	5	3594.11	881769.7	1050596	24_SIRT1	1	1	1	2.5	1	1	5	-1.941161	-1.196906	-1.830574	.3732596	.583285	-.2353289	-1.362842	-1.845705	-1.567991	-.9459858	.7109355	-2.000424	-1.880794	-.367383	-.349563	-.4033827	-.2619846	0	-.5704901	-1.277463	-.7030663	-1.956896	-2.097253	-2.297632	-.1265702	-.1630188	.3688625	-.090289	-.4773772	-.264536
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_B06	201029	1	ND817	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.6208017	1	2	10.807433	2.4841608	.03171203	.340296	.6235328	1	37	37	319654	6268	6400	13043	4381	51	3.941e+09	1	4062794	134137	132	242	173	110	198	556669	15895	14910.504	13084.539	2.37e+08	750.0551	7.49e+07	55	4006.13	939415.9	1231654	24_SIRT1	1	1	1	4.6	1	1	5	-.333435	-.6511877	-.7222362	.0467825	-.0655185	2.662688	-1.051056	2.721761	-.7054673	.6643075	-2.719607	-.8962301	-.3318534	.612813	.6744897	.2447285	.8778963	-.4672965	-.5079181	-.2366225	.9867994	.2552097	.9867994	1.111886	-.2366225	-.4472753	-.172163	-.457263	-.2552097	-.6134658
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_H07	201029	1	ND831	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	11.155737	.7146216	.15856016	.2041776	.6235328	1	2	51	321811	5548	3630	8384	2451	58	2.695e+09	1	4193541	173243	130	304	167	140	103	570286	7870	15071.31	15632.149	1.19e+08	-2097.601	-1.10e+08	390	4257.915	1035642	1319612	24_SIRT1	1	1	2	6.233333	1	1	5	.3137231	-.1030662	-.3137231	-.2941324	-.0093532	.2353289	.3460258	-.3229234	-.7054673	-.6341637	-1.154327	-.7805539	-.1594259	-.9410746	-.9808501	-.9281431	-1.427856	-.1084118	-.4672965	-.7741385	-1.677088	-.5918413	-.2552097	-.5811326	-.1813217	.1630188	-.3115327	.8493556	-.4773772	.8755128
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SIRT1_201029_G04	201029	2	ND871	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.1321521	0	1	20.104146	1.4292432	1.030641	.340296	2.338248	1	42	91	259639	5299	4529	6756	2482	49	1.599e+09	2	3851046	130767	124	263	188	117	259	747140	20563	25674.546	22772.651	5.28e+08	73.44958	1.13e+08	0	4464.737	1189934	1597375	24_SIRT1	1	1	2	11.28333	1	1	5	1.15946	1.089078	1.236109	1.469154	1.15946	.2153976	-.4480247	1.025357	1.190713	.6643075	2.719607	1.241867	.8297738	1.158484	1.427856	1.989313	1.262784	-.6134658	-1.047294	-.9297163	-1.047294	-1.298124	-1.047294	-.5079181	-.2926572	-.5493959	-.5285433	.1447705	.0631585	-.1813217
