filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	msra1_nwt	msra2_nwt	msra_nwt	msra_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_C05	201102	1	ND237	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.0274262	.0575423	.0424842	0	1	7.797911	.7826808	.3012643	.4764144	1.4808904	1	34	34	324765	6628	6188	9883	2120	49	3.358e+09	1	3589364	123020	142	256	138	109	92	825464	7433	13480.559	14035.868	1.00e+08	-1448.302	-1526496	68	4204.39	1118530	1456407	25_MSRA	1	1	1	5.033333	1	1	2	.0809473	.0417893	.0809473	-.0809473	0	0	-.6001788	-.4692529	-.9132499	-.7647097	-.4307273	-1.150349	.185367	.2230078	.2609674	.2609674	.1108129	-.5141561	-.6193067	-.3186394	-.0447762	-.1346898	.2257079	-.6193067	-.4144133	-.6193067	.1800124	.3186394	-.9915265	-.5141561
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_A01	201102	1	ND204	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	5.8746374	1.1229768	.07928008	.5444736	1.0911824	1	1	1	644038	10558	9458	6390	1250	61	4.045e+09	2	5702995	178177	180	244	192	146	6	1004790	511	9209.4501	8309.7941	4706029	330.9026	-1.05e+07	356	4454.696	1289704	1650625	25_MSRA	1	1	1	2.3	1	1	2	.9252446	.9027348	1.057414	1.211232	.9252446	2.141198	1.400745	.0348213	-1.22064	-.2822162	-2.200411	-1.731664	1.115337	-2.177923	-1.264969	-1.704781	.0368705	.2257079	1.150349	2.100166	1.345167	.2257079	-1.150349	-2.100166	.8544474	.4144133	2.100166	-.0447762	.3186394	.8544474
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_G01	201102	1	ND210	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.0734255	0	.0367128	0	1	12.251808	.680592	.4915365	.510444	2.2603064	1	7	7	507292	8182	7207	9817	2805	62	4.944e+09	1	4654467	180793	144	264	219	114	178	645959	13791	23087.22	19734.306	3.18e+08	2137.247	1.31e+08	128	3601.326	938473.8	1202869	25_MSRA	1	1	1	2.766667	1	1	2	-1.400745	-.9027348	-.807541	-.807541	-1.211232	.2450062	-.9252446	-.6744897	-.2461637	-.4692529	.6314019	-.2461637	-.5845898	1.264969	1.264969	1.704781	1.449999	.3186394	.6193067	.6193067	.7318081	.4144133	.1346898	.0447762	.2257079	.7318081	.3186394	.5141561	1.150349	-.2257079
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_C02	201102	1	ND213	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.8317326	1	.9158663	1	3	18.628978	1.2931248	.3964004	.5785032	4.1309048	1	10	10	691061	8036	6673	13036	3571	86	8.933e+09	1	6018263	234705	154	265	219	152	135	883639	10000	15247.543	14343.281	1.52e+08	-6.137666	4.61e+07	1	4289.283	1168550	1510210	25_MSRA	1	1	1	3.016667	1	1	2	.5059336	.4770404	.3292913	.4159872	-.2450062	1.211232	-.2450062	.2461637	.8122178	-.1749599	.1749599	.4692529	.4991879	.4991879	.4991879	.4991879	.3380917	1.611169	1.345167	.4144133	.2257079	1.611169	1.150349	.7318081	.9915265	1.345167	.7916386	.6193067	1.150349	.9915265
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_C07	201102	1	ND251	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.7834315	1	.8917158	1	3	20.653477	1.531332	.3964004	.6465624	3.117664	1	48	48															117	622701	8320	23988.974	20537.528	2.00e+08	2190.297	-392586.4	269	4097.062	1041325	1381325	25_MSRA	1	1	1	6.716667	1	1	2	-.1624294	-.3853205	-.4159872	.1624294	.4159872	-.2450062	.9252446	.7647097	.3554904	.1749599	.1749599	.8122178	-.7702081	.3380917	.3380917	.7702081	.185367													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_A06	201102	1	ND243	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.9744506	1	.9872253	1	3	6.5832119	.3062664	.33297634	.4764144	.9352992	1	40	40															126	342174	8754	10352.65	9098.702	9.06e+07	640.5225	6.35e+07	59				25_MSRA	1	1	1	5.666667	1	1	2								-1.731664	-1.479941	-.7647097	-.1046335	-1.297543	-2.177923	.4172841	.4172841	.1108129	.4991879													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_C01	201102	1	ND206	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	4.1538136	.3062664	.0951361	.3743256	1.2470656	1	3	3															86	389032	6304	9278.8345	8585.1506	5.85e+07	109.3385	3.91e+07	336	3321.159	746918	934795.3	25_MSRA	1	1	1	2.45	1	1	2	-2.141198	-2.128045	-2.141198	-1.211232	-.807541	.3292913	-1.211232	-1.731664	-1.024592	-1.150349	-1.731664	-2.200411	-1.704781	.1108129	.185367	-.1108129	.2609674													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_E05	201102	1	ND239	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.952073	1	.9760365	1	3	11.239559	1.1229768	.42811243	.6465624	2.5720728	1	36	36	356988	6865	6190	9542	3267	52	3.542e+09	1	4548904	146557	155	243	200	105	169	853832	12974	16721.101	14418.523	2.17e+08	1387.918	1.09e+08	64				25_MSRA	1	1	1	5.194444	1	1	2								.0348213	.1749599	.1749599	.4692529	-.6314019	.4172841	1.115337	1.115337	.987231	1.115337	-.4144133	-.1346898	-.1346898	.0447762	.0447762	.0447762	.6193067	.1346898	-.0447762	.9915265	-.1346898	.6193067	-.7318081
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_C08	201102	1	ND255	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.0903267	0	.0451633	0	1	17.110604	1.0549176	.63424064	.6125328	2.2603064	1	3	52	219154	5218	4709	4733	1870	42	9.879e+08	1	2791240	98111	134	212	131	111	7	821986	352	1505.5852	894.6276	529966	462.0884	9.74e+07	246	4163.517	1081700	1386679	25_MSRA	1	1	2	7.266667	1	1	2	0	-.2104284	-.3292913	-.3292913	-.4159872	-1.400745	-.1624294	-.1046335	-.2461637	-.0696849	1.479941	.2461637	.1108129	-1.564726	-2.177923	-2.177923	.7702081	-.8544474	-1.345167	-1.611169	-.9915265	-1.611169	-2.100166	-.8544474	-.9915265	-.9915265	-.3186394	-.9915265	-1.241867	-.4144133
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_A04	201102	1	ND227	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	14.579981	.680592	.33297634	.2382072	.8573576	1	24	24	127326	7490	6069	8713	3158	17	9.766e+08	1	992496	56821	86	154	125	74	136	727616	11231	18827.746	16660.861	2.11e+08	1125.252	7.01e+07	130	4013.945	1016397	1389026	25_MSRA	1	1	1	4.433333	1	1	2	-.3292913	-.4770404	-.2450062	1.057414	-.3292913	.6001788	.2450062	-.6744897	-1.731664	-1.731664	-.1046335	-.1046335	-.185367	.5845898	.6744897	.8735691	.5845898	-2.100166	-2.100166	.1346898	-.1346898	-2.100166	-.2257079	.4144133	-1.611169	-1.611169	-1.611169	-1.611169	-1.611169	-1.611169
