filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	iapp_nwt	iapp_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_A01	201105	1	NK001	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.9716057	1	2	4.7945119	.0340296	.20612821	.510444	1.0911824	1	1	1	233335	4861	3499	4537	1532	48	1.100e+09	1	2536692	124222	105	227	167	120	141	477240	10069	26270.199	21161.247	2.65e+08	3340.268	-1.90e+07	56	3319.08	912634	1055067	27_IAPP	1	1	1	5.983333	1	1	1	-2.497705	-.8195021	-2.497705	-.5316958	-1.181259	1.21679	-2.064598	-2.145475	-.47008	-.0533578	-.6089566	-1.655485	-1.185158	-.1841031	-.2854742	-.1697986	-.1128968	-.3292913	-.9567178	-1.348744	-2.405983	-1.973953	-1.746955	-1.585278	-.779842	-.3940442	-.9567178	-.3507093	-.0606815	.1419788
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_B01	201105	1	NK002	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	1	1	2	17.114681	1.1570064	.26955227	.510444	2.4161896	1	2	2	418864	6545	6457	9316	2915	64	3.380e+09	2	6528444	193209	144	296	229	152	138	837400	10418	29240.065	24034.312	3.05e+08	2778.017	-7.80e+07	28	4292.136	1300606	1566316	27_IAPP	1	1	1	6.05	1	1	1	.5065081	1.396713	.7347365	.8552639	1.708735	1.088633	-.1965805	.1606864	.6089566	-.0533578	-.0133335	.799651	1.078302	-.2562565	-.227256	.0563585	-.7377372	.5524426	.4830894	-.2658918	.726158	-.4381324	-.4381324	-.5761465	1.170163	.835874	.6001788	.779842	1.348744	1.746955
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_D01	201105	1	NK003	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.9849561	1	2	14.629941	.85074	.20612821	.1361184	.7014744	1	3	3	192152	7117	5792	9560	3006	27	1.883e+09	1	2037343	86181	94	191	152	106	235	562536	16706	23099.149	21866.424	3.86e+08	-697.7187	7.80e+07	45	3653.435	956373.3	1197530	27_IAPP	1	1	1	6.15	1	1	1	-1.246721	-.6165979	-.7764218	-.0953326	-.3021995	.1489679	-.6643075	-.47008	-.9533248	-1.783727	-.6089566	.0955058	-.6656764	.8537231	.7377372	.7012515	.6656764	-1.746955	-1.456837	.3940442	.1829481	-1.348744	-.3507093	-.4830894	-.9567178	-1.093456	-1.130978	-.8946621	-.6493239	-.5761465
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_E01	201105	1	NK004	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.9716167	1	2	15.251126	.680592	.20612821	.3743256	1.7147152	1	4	4	333655	7099	6189	14687	5073	47	4.734e+09	1	6632	1759	22	32	21	17	265	723743	18793	30219.578	27760.268	5.68e+08	-823.1238	5.68e+07	134	3604.414	893568.1	1224252	27_IAPP	1	1	1	6.216667	1	1	1	-1.587056	-.9106117	-.6165979	-1.702789	-1.485165	-.0494931	-.2298841	-.8920979	.0800843	-.8920979	-.6089566	.1504181	.3149377	1.185158	.9825221	1.307593	.3446772	-.4159872	-.224227	.2658918	.529045	.1012464	.3940442	.726158	-1.973953	-1.973953	-1.973953	-2.405983	-1.746955	-1.746955
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_F01	201105	1	NK005	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	1	1	2	22.187692	1.020888	.23784024	.5785032	3.4294304	1	5	5															108	735958	8693	17158.746	17922.649	1.49e+08	-1789.684	-2.27e+07	0				27_IAPP	1	1	1	6.308333	1	1	1								-.0266694	1.783727	.6413788	-.339753	2.136868	.4670705	-.5308747	-.4670705	-.7377372	-.227256													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_G01	201105	1	NK006	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.9800653	1	2	20.324137	.9528288	.25369626	.4764144	2.8058976	1	6	6															99	754740	7368	17096.816	17021.537	1.26e+08	-743.7956	-1.48e+07	14	4242.703	1085109	1498098	27_IAPP	1	1	1	6.4	1	1	1	.3351658	.0470166	.3021995	.6844819	.4711971	.2841234	.6643075	-.1471942	1.041007	-.325661	-.1742078	1.394908	.5969185	-.7377372	-.7377372	-.7752326	-.0563585													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_H01	201105	1	NK007	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.9590731	1	2	9.3498686	.5785032	.34883235	.2041776	.4676496	1	7	7	347329	7551	5650	17549	6300	46	5.895e+09	2	2905791	111898	118	272	167	98	145	587310	11310	20325.008	18801.323	2.30e+08	296.345	2.77e+07	78	3768.104	855914.9	1174517	27_IAPP	1	1	1	6.45	1	1	1	-.9106117	-1.396713	-1.00999	-.3564294	-.6549499	.8276041	-.8841349	-1.11242	-1.523396	-1.137524	.6744897	-.837745	-.5635893	-.1128968	-.0563585	-.227256	.227256	-.5059336	-.0606815	.726158	.0202161	.779842	1.254453	1.456837	-.3940442	-.4381324	-.4830894	.4830894	-.0606815	-.9567178
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_B02	201105	1	NK008	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.8981323	1	2	12.455794	.7486512	.17441618	.5444736	2.0264816	1	8	8															29	438497	1533	17186.181	18786.138	2.63e+07	-2823.813	-1.75e+08	0	4165.875	1053243	1414178	27_IAPP	1	1	1	6.533333	1	1	1	.0784124	-.1098857	-.1573107	-.0317348	-.3351658	.3888753	.0978166	-.6913244	.2699041	.2423479	-.9325278	-.2477242	-1.758563	-1.758563	-2.535274	-2.535274	-1.376912													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_D02	201105	1	NK010	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	1	1	2	14.319349	1.1229768	.19027219	.5785032	2.8058976	1	10	10	250440	6591	5285	7412	2135	38	1.912e+09	1	2704246	111544	132	186	174	107	115	767729	8558	18980.357	19875.521	1.62e+08	-2368.914	-7.68e+07	0	4171.151	1059972	1456527	27_IAPP	1	1	1	6.666667	1	1	1	.1098857	.0156671	.2050923	.2566249	-.2372021	-1.030806	-.7054673	.0667151	1.041007	.6413788	-.8340455	.0408803	.6309245	-.4670705	-.5308747	-.6656764	-.7012515	-.9567178	-.8946621	-.1419788	-.4381324	-1.170163	-1.254453	-1.170163	-.6245627	-.4830894	.1215874	-1.093456	.0809473	-.4604945
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_E02	201105	1	NK011	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	1	1	2	9.7639919	.6465624	.3012643	.4083552	1.6367736	1	11	11	475956	10577	8136	14850	4300	45	7.169e+09	1	4398746	172223	139	339	180	97	90	832350	7664	22417.431	19968.65	1.72e+08	953.6679	-7.06e+07		4387.496	1202719	1566735	27_IAPP	1	1	1	6.733333	1	1	1	1.00999	.9106117	.7764218	-1.580799	-1.587056	-.1156944	1.25966	-.9745425	-.0133335	-.7968608	.2561017	-.7810338	1.029232	-.7752326	-.6656764	-.5308747	-.5969185	-.5761465	.835874	2.405983	1.746955	1.348744	.529045	.3080234	.3507093	.3940442	.4381324	1.456837	.2450062	-1.057414
