filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	cnga1a_nwt	cnga1b_nwt	cnga1_nwt	cnga1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_G01	201116	1	NC069	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	28.494447	3.1647528	.53910454	.0680592	3.117664	1	5	5	535496	5409	4412	7301	2481	99	3.858e+09	3	6396508	219996	159	306	214	133	107	1020857	7724	17135.157	16791.664	1.32e+08	-1534.262	-4.49e+07	24	4611.847	1348397	1781903	29_CNGA1	1	1	1	3	1	1	4	2.30304	1.614666	2.30304	.9820262	1.853367	.5614833	1.614666	2.326348	2.326348	-2.053749	.8064212	2.333769	2.326348	-.4124631	-.3853205	-.612813	-.279319	2.231606	2.231606	-.3271033	-.8694237	.6948019	-.1940281	-.1940281	2.231606	2.231606	.9674216	.9674216	1.521218	.8694237
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_A06	201116	1	NC097	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	.0108636			0	1	16.767915	1.361184	.6976647	.4083552	1.4808904	1	33	33	262420	5047	5336	1478	361	52	3.759e+08	1	4568335	169921	146	246	175	139	90	673428	6265	20494.389	19257.967	1.28e+08	-1034.417	-8.82e+07	411	4192.085	1036001	1364921	29_CNGA1	1	1	1	5.616667	1	1	4	.6913244	.2149745	.0533578	.6075616	-.0533578	-.1068681	.5000764	-.3853205	.2018935	-.1763742	1.880794	.689997	.279319	-.5533847	-.6744897	-.7388468	-.8778963	.161379	-.2599896	-.9674216	.0643168	-1.768825	-2.231606	-2.231606	.2599896	.6151411	.4662653	-.1289011	.2599896	1.19838
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_D05	201116	1	NC092	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	15.275447	1.4292432	.4915365	.4764144	2.338248	1	28	28	422718	7549	7137	16904	5195	56	7.083e+09	1	4080736	134345	149	216	158	127	107	667626	8080	22656.437	20364.24	1.83e+08	-154.9625	-5.12e+07	52	3904.537	928305.4	1271087	29_CNGA1	1	1	1	5.283333	1	1	4	-.1068681	-.5000764	-.3824499	-.2477242	-.3824499	1.614666	-1.306186	-.1763742	.9153651	.279319	.5533847	.2230078	.227545	-.4124631	-.279319	-.279319	-.3318534	.3612016	.8694237	1.075723	1.768825	2.231606	2.231606	2.231606	.0643168	0	.6948019	-.6948019	-.0965586	.5392076
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_D06	201116	1	NC100	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	.0123112			0	1	13.036746	1.9396872	.31712032	.4764144	1.3250072	1	36	36	363861	7580	6856	9868	3617	48	3.303e+09	2	4823652	153338	144	229	200	113	56	752088	4266	21629.607	19306.499	9.23e+07	44.53368	-1.25e+08	126	4129.568	1067195	1438926	29_CNGA1	1	1	1	5.85	1	1	4	.3824499	.5614833	.6250856	-.0272493	-.325661	.5000764	.2699041	.9541653	-.1509692	.279319	-.5244005	-.2993069	.612813	-1.126391	-.9541653	-.9541653	-1.036433	0	.3957253	1.19838	1.521218	.5392076	.3957253	.8694237	.3957253	.2599896	.3957253	-.5024022	1.19838	.1289011
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_D04	201116	1	NC084	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	12.290512	1.191036	.3012643	.4764144	1.4808904	1	20	20															192	491898	12786	24275.735	22489.905	3.10e+08	-1000.123	4.21e+07	95	4123.205	997525.6	1374192	29_CNGA1	1	1	1	4.766667	1	1	4	.325661	.0533578	.2149745	.4207837	.1606864	-.325661	.0533578	-1.036433	.2018935	.279319	-.7063026	-.3511308	-.8064212	.6744897	.4399132	.227545	.227545													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_D03	201116	1	NC077	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	5.894222	1.0549176	.47568048	.170148	.3117664	1	13	13	150302	5183	4460	10373	4180	29	1.575e+09	1	1047471	50461	73	167	119	86	42	278595	3056	13946.286	13359.191	4.26e+07	-743.5863	-7.98e+07	99	3316.252	723710	916477.1	29_CNGA1	1	1	1	4.05	1	1	4	-2.30304	-2.30304	-2.30304	-.1918929	-2.30304	-1.614666	-1.087999	-1.880794	-1.554774	-1.226528	.4399132	-2.333769	-2.326348	-1.226528	-1.226528	-1.340755	-.612813	-1.075723	-1.342336	-.6151411	-.6948019	-.2599896	.6151411	1.768825	-1.342336	-1.342336	-1.342336	-1.342336	-.8694237	-1.075723
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_A02	201116	1	NC070	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	21.884947	1.9737168	.36468837	.6125328	2.8838392	1	6	6	420112	5318	5041	10870	3495	79	4.347e+09	1	6320362	185745	116	316	243	152	89	876212	6311	15944.775	17386.695	1.01e+08	-3414.512	-8.61e+07	171				29_CNGA1	1	1	1	3.158333	1	1	4								1.080319	1.750686	1.340755	-.0752699	1.88951	1.340755	-.612813	-.612813	-.8778963	-.8064212	1.521218	.7791397	-.3957253	-.1289011	1.075723	1.075723	.6948019	1.768825	1.075723	-.2599896	1.342336	2.231606	2.231606
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_G05	201116	1	NC095	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	15.275447	1.5993912	.36468837	.510444	1.4029488	1	31	31	285710	7143	6663	11379	3490	40	3.281e+09	1	3311648	118196	108	265	199	89	8	549445	544	23120.265	24081.603	1.26e+07	-4000.978	-2.81e+08	166	3735.819	896588.8	1232806	29_CNGA1	1	1	1	5.5	1	1	4	-.5614833	-.5614833	-.4405008	-1.177163	-.47008	-.5614833	-1.19001	.2533471	0	.5533847	-.0752699	.2230078	-.612813	-1.880794	-1.880794	-1.880794	-2.326348	-.3957253	-.1289011	.6151411	1.342336	.4662653	1.19838	.6151411	-.0643168	-.1940281	-.3957253	.3271033	1.075723	-.8694237
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_G04	201116	1	NC087	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	14.209399	1.2250656	.3012643	.3062664	1.2470656	1	23	23															119	565295	8646	19609.682	18736.462	1.70e+08	-1314.501	-3.87e+07	18	3887.855	957494.8	1319597	29_CNGA1	1	1	1	4.983333	1	1	4	-.1606864	-.3824499	-.2699041	-.8972881	.4405008	-.1606864	.6250856	-.8064212	-.227545	-1.036433	-.7063026	0	-.4399132	-.0752699	-.227545	-.3853205	-.227545													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_A05	201116	1	NC089	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	20.17927						25	25	438458	7188	5389	11568	3408	61	5.154e+09	1	4928908	173390	153	270	174	129	208	782283	16359	24527.274	22258.804	4.01e+08	-480.649	1.37e+08	34	4497.937	1154598	1582317	29_CNGA1	1	1	1	5.1	1	1	4	1.853367	1.087999	1.306186	.8972881	.8340455	.6250856	.9962083					1.138523	.8064212	.8416212	1.126391	.4958504	.9541653	.7791397	1.075723	.7791397	.1289011	1.768825	1.342336	.5392076	.4662653	.6948019	.7791397	.3957253	.161379	.6151411
