filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N05_nwt	N07_nwt	N08_nwt	tbc1d4_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_A05	200724	1	NB030	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	1	1	1	1	4	6.5051837	.2722368	.28540829	.170148	1.0911824	1	30	30																								3421.903	772847.6	1034745	2_TBC1D4	1	1	1	5.216667	1	1	4	-1.611169	-1.731664	-1.510357	-1.49795	-2.100166	-1.150349	-.1210967	-.4113021	-.6250856	.6029956	-.47008	-.9454201																		
InsH2Bfabp_CD15_10dpf_VAST02_plate02_TBC1D4_200803_E03	200803	2	NB128	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	0	0	.0319103	0	1	13.308113	.4423848	.50739251	.1020888	3.117664	1	30	128															5	350002	160	44148.7	37227.161	7063792	1351.094	-5.48e+08		3848.36	992979.8	1295985	2_TBC1D4	1	1	3	11.13333	1	1	4	-.4144133	-.2564297	-.3501975	.6744897	.1648683	-.1046335	.5383123	.7083573	.7786766	-.0875522	1.406504	.8616341	-1.77585	-2.000424	-2.428737	-2.428737	-1.77585													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TBC1D4_200803_E08	200803	1	NB101	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	.9614585	1	1	1	4	12.888311	.3743256	.3012643	.0340296	3.8191384	1	3	101															222	943824	19601	53541.182	43069.764	1.05e+09	5653.11	4.37e+08		4049.355	1071770	1405356	2_TBC1D4	1	1	3	8.9	1	1	4	.1346898	.2873955	.0746714	-.0764961	-.6193067	.4803868	.3067468	.2976668	1.275513	-.7304482	-.2286397	.6744897	.773217	.8254945	.9982012	1.382994	1.290233													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_E06	200724	1	NB042	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.5317671	.6002979	1	1	4	7.4961668	.2382072	.25369626	.0340296	.5455912	1	42	42															145	351930	10873	37316.255	30790.412	4.06e+08	126.7757	-8.72e+07		3504.186	779830.9	1036510	2_TBC1D4	1	1	1	5.9	1	1	4	-1.422911	-1.422911	-1.422911	-.9755887	-1.884304	-1.611169	1.00842	-.8530763	-1.406504	-.7304482	-.9121265	-.6744897	-1.616156	.0950912	-.0569997	-.2888094	.0189907													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TBC1D4_200803_A09	200803	1	NB105	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	.9603114	.9424003	1	1	4	9.3575663	.2722368	.22198422	.0340296	1.0132408	1	7	105															24	399258	1744	29962.804	25039.568	5.23e+07	-2216.156	-3.85e+08		3610.332	824437.6	1030902	2_TBC1D4	1	1	3	9.15	1	1	4	-.8982587	-1.041553	-1.611169	-.6744897	-1.731664	-2.100166	.2130021	-.4113021	-.7255982	-.7304482	-1.523396	-.3259735	-1.48947	-1.549706	-1.616156	-1.48947	-1.13214													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TBC1D4_200803_A07	200803	1	NB090	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	0	0	.0545521	0	1	18.772886	.510444	.65009666	.2382072	3.3514888	1	41	90	200788	4669	3416	19189	4005	43	3.543e+09	1	4204848	128202	159	259	177	104	191	848730	17453	40422.282	34790.539	7.05e+08	-252.376	1.74e+08		4375.754	1305002	1636613	2_TBC1D4	1	1	2	8.183333	1	1	4	.8544474	1.345167	1.21023	.8814972	2.100166	-.6558747	-.762464	1.245996	.872421	1.082411	1.783727	1.593219	.2888094	.4516583	.5819415	.6275435	.5375191	1.833915	1.833915	.167894	-.167894	1.833915	1.833915	1.281552	1.833915	1.833915	1.833915	.3406948	.7279133	1.281552
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_C01	200724	1	NB003	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.6712918	.9923812	.8993376	1	4	9.5882423	.3743256	.38054438	.1361184	1.0911824	1	3	3																								3576.419	774223.3	1014722	2_TBC1D4	1	1	1	3.566667	1	1	4	-1.041553	-1.611169	-1.884304	-1.59929	-.9438661	-.7713894	-.8034983	.2976668	-.6250856	.2503385	.6089566	-.2389929																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_C07	200724	1	NB047	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	1	.765758	.8453537	1	4	10.909553	.3743256	.3964004	.1361184	1.6367736	1	47	47																								3745.058	870150.8	1182248	2_TBC1D4	1	1	1	6.266667	1	1	4	-.6193067	-.8122178	-.6933416	-1.026029	-1.150349	.7713894	-.3707237	.2976668	-.2286397	.2503385	.8340455	.1537869																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TBC1D4_200803_A04	200803	1	NB070	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	.0169402	.0916022	.1003112	0	1	6.3498949	.4083552	.33297634	.1020888	1.7147152	1	21	70															195	1017735	19056	32914.275	26211.627	6.27e+08	-285.8616	1.79e+08		4137.982	1237980	1501747	2_TBC1D4	1	1	2	6.333333	1	1	4	.3501975	1.041553	.5141561	.563388	.6933416	-.4803868	1.416509	.5305297	-.1202876	-.0875522	.1337288	-1.060562	1.13214	.5375191	.8254945	.3690087	.6744897													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_G01	200724	1	NB006	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	1	1	1	1	4	10.799444	.2722368	.23784024	.0340296	1.4808904	1	6	6																								3579.964	764234.3	1018386	2_TBC1D4	1	1	1	3.75	1	1	4	-.9915265	-2.100166	-1.731664	-.3266899	-.3186394	.3501975	-.8899477	-.4113021	-.325661	-.7304482	-1.217526	.1256613																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_C02	200724	1	NB010	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	0	.0375155	.0630486	0	1	10.579225	.3062664	.3012643	.0340296	1.0132408	1	10	10															223	664087	17019	42161.597	33954.593	7.18e+08	2215.272	1.94e+08		4019.376	927303.4	1258930	2_TBC1D4	1	1	1	3.983333	1	1	4	.014921	-.5485223	-.4803868	-1.195972	-.3501975	.014921	-1.143064	-.0667151	-.7255982	-.7304482	-.2286397	.0976349	-.5375191	.8801318	.4941332	.7229722	.773217													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_E07	200724	1	NB049	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.7909376	1	1	1	4	9.91857	.2382072	.34883235	.2041776	1.8705984	1	49	49															260	733989	18475	35382.764	29360.435	6.54e+08	-560.8236	1.75e+08		3939.585	976097.1	1287596	2_TBC1D4	1	1	1	6.383333	1	1	4	-.1648683	-.3821084	-.4144133	-.7533835	.0447762	.6933416	.4697212	-.8530763	.1068681	.8499573	.2976668	-.0976349	-.1333212	1.13214	.7229722	.4941332	.5819415													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_TBC1D4_200803_A02	200803	2	NB120	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	.6669346	1	1	1	4	9.8839104	.3743256	.25369626	0	2.0264816	1	22	120																								3390.265	746633.9	967289.4	2_TBC1D4	1	1	3	10.53333	1	1	4	-2.100166	-2.514955	-2.514955	-1.873672	-1.510357	-1.345167	-2.51073	.2976668	.2286397	-1.679661	-.9121265	-.1256613																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TBC1D4_200803_E07	200803	1	NB093	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	0	0	.0522555	0	1	16.811361	.3743256	.3964004	.170148	5.3000288	1	44	93															3	564724	192	41189.026	36319.468	7908293	-817.7369	-5.39e+08		4445.83	1297376	1683463	2_TBC1D4	1	1	2	8.4	1	1	4	1.150349	1.274797	1.345167	1.260977	.8544474	.5485223	.3707237	.2976668	2.145475	.6029956	.8340455	1.382994	-.773217	-2.428737	-2.000424	-2.000424	-1.616156													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_A06	200724	1	NB038	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	0	0	.020068	0	1	6.9456207	.4423848	.26955227	.0340296	.779416	1	38	38																								3408.962	789117.1	1047516	2_TBC1D4	1	1	1	5.666667	1	1	4	-1.884304	-1.345167	-1.345167		-1.041553	-.0447762	-1.086838	.7083573	-1.041007	-.7304482	-.6913244	-.8025719																		
InsH2Bfabp_CD15_10dpf_VAST02_plate02_TBC1D4_200803_E01	200803	2	NB116	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	.01978	0	.0355359	0	1	10.137555	.2041776	.55496056	.0340296	1.8705984	1	18	116															207	897246	17097	20271.426	17582.341	3.47e+08	-5410.3	-1.84e+07		4445.04	1201388	1560798	2_TBC1D4	1	1	3	9.95	1	1	4	1.094332	.9438661	.7318081	.1689275	.1046335	.8122178	-.1515802	-1.19001	.1068681	-.7304482	1.5674	-.0557317	.4516583	.773217	.5375191	-.4516583	.2104284													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TBC1D4_200803_A08	200803	1	NB097	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	0	0	0	0	1		.2041776	.25369626	.0340296	3.7411968	1	48	97															84	770408	6912	23930.345	19684.855	1.65e+08	-3583.231	-2.20e+08		3829.471	1063935	1310325	2_TBC1D4	1	1	2	8.65	1	1	4	-.4803868	.1648683	-.2873955	-.0152849	-.4803868	.4471567	0	-1.19001	1.19001	-.7304482	-.9121265		-.0189907	-.6744897	-.6744897	-1.062786	-.4099833													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_G04	200724	1	NB028	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.9576155	1	.9825344	1	4	12.671301	.2722368	.31712032	.2722368	1.7926568	1	28	28															104	803980	8400	40811.321	30362.865	3.43e+08	3994.349	-1.46e+08		3936.524	1055935	1412593	2_TBC1D4	1	1	1	5.1	1	1	4	-.1951978	.1046335	.1346898	.4588506	.583549	-.1951978	-.1822052	-.4113021	.0266694	1.288206	-.0533578	.6061059	.1717471	-.3286447	-.3690087	-.4941332	-.2104284													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_A01	200724	1	NB001	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	1	1	1	1	4	11.019662	.4083552	.52324853	0	.6235328	1	1	1																								4077.454	964298.7	1309368	2_TBC1D4	1	1	1	3.466667	1	1	4	.1951978	-.4471567	-.3186394	.2628283	.4144133	.1046335	-1.879026	.5305297	-1.217526	-1.679661	1.482159	.1820346																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TBC1D4_200803_E06	200803	1	NB088	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	.8576374	.9569148	1	1	4	22.172862	.340296	.33297634	.0340296	1.94854	1	39	88	21559	2695	2111	11445	2211	8	2.585e+08	1	676479	39503	60	217	131	41										4086.951	949494.6	1290945	2_TBC1D4	1	1	2	7.5	1	1	4	.2564297	-.5141561	-.3821084	-.231311	-1.274797	-.2257079	.8034983	.0934678	.1742078	-.7304482	.1337288	1.914506						-.7279133	-.9674216	-1.281552	-1.281552	-.7279133	.3406948	.167894	-.5244005	-.3406948	-.5244005	-.3406948	-.167894	-.8416212
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TBC1D4_200803_E09	200803	1	NB109	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	.0214243	0	.0521059	0	1	8.5729564	.2041776	.23784024	0	2.4161896	1	11	109															117	665562	9760	47070.787	38270.744	4.59e+08	3363.942	-1.06e+08					2_TBC1D4	1	1	3	9.422223	1	1	4								-1.19001	.4113021	-1.679661	-1.217526	-.5729675	-.4941332	-.1141853	-.1717471	-.0569997	-.0569997													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TBC1D4_200803_A05	200803	1	NB077	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	.0125469	.0907866	.1149023	0	1	6.3498949	.170148	.26955227	.0340296	1.169124	1	28	77																								4236.934	1164258	1578818	2_TBC1D4	1	1	2	6.8	1	1	4	.6558747	.7318081	.8544474	.231311	.3501975	.1346898	.6463197	-1.5674	-.5459412	-.7304482	-.6913244	-1.060562																		
