filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	fto_nwt	fto_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FTO_201118_C01	201118	2	NC356	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	1	1	2	3.1063974	.2041776	.20612821	.3743256	.3117664	1	23	72	322022	8474	7973	17839	5992	38	5.682e+09	1	3484445	109534	139	215	153	108	182	425304	12508	20940.99	17708.01	2.62e+08	-1693.584	-8.45e+07	30	3609.861	789745.2	1083135	30_FTO	1	1	2	7.583333	1	1	5	-1.082768	-1.868849	-1.214676	-1.078475	-.7458098	-.3814107	.6962035	-.8439581	-1.593219	-.8207921	-.9288995	-2.197679	-1.248962	-.1933111	-.3355287	-.4952298	-.3549491	-.9674216	-.1925285	.8942052	1.408136	.2789242	.982695	1.046231	-.2396442	-.8662307	.191052	-.6275435	-.7990828	-.6744897
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_A01	201118	1	NC285	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	1	1	2	8.0803689	.2041776	.17441618	.4764144	1.3250072	1	1	1	231247	5929	4523	4810	1541	39	1.118e+09	1	2143310	91313	116	178	138	100	87	655268	7410	50976.499	43251.126	3.78e+08	1865.657	-3.77e+08		3881.224	963401.5	1318146	30_FTO	1	1	1	2.133333	1	1	5	-.1196481	-.1464557	.0341104	-.0429349	.1024905	-.7445865	.5303195	-.8439581	.098458	-.0163839	-1.311934	-.3862646	.0366013	-1.333153	-1.102894	.0366013	-1.84051	-.852495	-1.308099	-.8389183	-1.408136	-1.731664	-1.823803	-1.823803	-1.461277	-1.582058	-.8389183	-1.876359	-1.358698	-1.114298
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FTO_201118_E01	201118	2	NC362	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.8752515	1	2	4.9282101	.5444736	.3964004	.4764144	.5455912	1	29	78	406663	5214	5144	16493	4748	78	6.359e+09	1	4885955	159628	150	275	165	124	107	586466	6632	12445.398	10570.194	8.25e+07	-2790.598	-1.50e+08	43	4084.156	1043523	1396488	30_FTO	1	1	2	7.933333	1	1	5	.5559701	.4528109	.3844023	.6319841	.8513809	1.214288	1.142071	.6189524	-1.049131	-.0163839	.4397327	-1.005439	-.3162341	-.9772061	-1.333153	-1.748994	-.9481252	1.268707	.4553535	-1.268707	-.8122178	.5265806	.5485223	.2201458	.6160238	.4203327	.7229722	.7353585	-.3791918	.2592342
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FTO_201118_H01	201118	2	NC371	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	1	1	2	4.8210447	.4083552	.23784024	.4423848	.4676496	1	38	87	263107	7517	7071	14082	4514	35	3.894e+09	1	2436379	96039	118	204	142	98	254	567154	17235	11901.047	10379.117	2.05e+08	-3136.892	-2.42e+07	28	3859.388	935498.1	1287267	30_FTO	1	1	2	8.433333	1	1	5	-.1886844	-.3413014	-.1196481	-.5106602	.8513809	.1918929	.0085844	.0737913	-1.107741	-.2737019	-.6796407	-1.034935	-.4952298	.7152533	.2970565	-.8653234	-.0549173	-1.247754	-.8889205	.3186394	.8122178	-.5048896	.0474919	.1237476	-1.312374	-1.227334	-.7353585	-.9228975	-1.079639	-1.207414
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FTO_201118_D01	201118	2	NC359	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.8648823	1	2		.2041776	.25369626	.4083552	.1558832	1	26	75	369520	8593	7749	16887	6858	43	6.443e+09	1	3530971	131354	137	301	139	108	217	496383	17073	16777.183	13409.348	2.86e+08	-1401.689	8719342	41	3913.551	868251.6	1175489	30_FTO	1	1	2	7.766667	1	1	5	.051178	-.8839701	-.5759842	-.6530894	-.8887273	.5858579	-.1987405	-.8439581	-2.481805	-.5413951	-.5225216		-.8132785	.2213531	.2590192	-.2779876	.1284281	-.5157048	.134345	1.013951	1.227334	.5932254	.6626172	1.358698	-.2007308	-.1813911	.1046335	1.114298	-1.268707	-.6744897
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_E01	201118	1	NC293	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	1	1	2	15.290329	.340296	.26955227	.5444736	.2338248	1	9	9	271153	6953	6512	13551	4633	39	3.228e+09	1	2892094	115815	120	230	139	113	219	476684	18099	18604.013	15606.958	3.37e+08	-1852.752	2.39e+07	251	3625.068	909508.7	1219632	30_FTO	1	1	1	2.916667	1	1	5	-.9674216	-.5106602	-.477996	-1.175672	-.2763062	-.1000686	.0257559	-.1397103	-1.997678	.4578519	-.3511308	1.163183	-.919825	.2779876	.4952298	-.1100008	.1654204	-.852495	-.7804696	-.0474919	.3386831	-.7106959	-.1237476	.162119	-.6864582	-.7106959	-.5707313	-.3894143	-1.268707	-.3690087
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_G01	201118	1	NC299	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.8969823	1	2	22.500288	.8847696	.33297634	.6125328	2.2603064	1	15	15	706895	8517	6267	10630	3044	83	7.478e+09	1	5897774	238274	133	331	220	133	37	245736	4128	19455.041	14495.395	8.03e+07	150.446	-2.15e+08		4008.842	1513052	1229681	30_FTO	1	1	1	3.383333	1	1	5	.4028279	2.316189	-.4028279	1.700478	-2.318758	-1.011883	-1.778374	1.940758	1.22064	.8795835	.0902298	2.308362	-2.682873	-2.091354	-1.950682	-1.84051	-1.480702	1.461277	1.728105	.9228975	.1046335	.9523705	-.6626172	-1.013951	1.268707	1.461277	-.0379883	1.518899	1.268707	.6744897
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FTO_201118_G01	201118	2	NC368	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.7293656	1	2	3.1063974	.2382072	.22198422	.3062664	.3117664	1	35	84	203023	7001	7323	21042	6294	29	4.565e+09	1	1655595	85557	93	178	140	100										3620.79	809693.3	1103816	30_FTO	1	1	2	8.283334	1	1	5	-.9950172	-1.413413	-1.023392	-1.513562	-.223522	-1.177163	1.325723	-.5700741	-1.593219	-1.170425	-.7868451	-2.197679						-1.876359	-1.728105	-.0284883	.9523705	-.2396442	1.408136	1.150349	-1.934674	-1.731664	-1.934674	-1.876359	-1.187962	-1.114298
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_H04	201118	1	NC324	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.9644889	1	2	14.796496	.5444736	.25369626	.6465624	1.558832	1	40	40	499095	7449	6854	10733	3075	67	5.449e+09	1	4719399	153793	159	249	163	132	261	808518	20446	30516.029	21318.839	6.24e+08	4138.713	2.20e+08		4129.884	1143234	1502734	30_FTO	1	1	1	5.233333	1	1	5	.7458098	.9905245	.9674216	.3779342	-.085363	-.2477242	-.2693359	.6189524	.3686102	1.138523	-.5225216	1.020076	.8653234	.8653234	.919825	.7152533	.9772061	.773217	.8334692	.2201458	.5932254	.2201458	-.6160238	-.982695	.5265806	.2987229	1.062786	.2789242	-.4307273	.6275435
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_C07	201118	1	NC333	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.0634986	0	1	9.1668012	.2382072	.3964004	.510444	1.0132408	1	49	49	312538	7441	6340	13856	4846	42	4.397e+09	1	3754776	126850	147	202	171	120									35	3728.565	845417.5	1169791	30_FTO	1	1	1	5.9	1	1	5	-.5165903	-1.048256	-.6167268	-1.018966	.2586331	-1.141593	-.0429349	-.5700741	-.2907509	.2062427	.4397327	-.0350649						-.5932254	-.3110992	.2007308	.162119	-.3186394	-.0474919	.3186394	-.0665126	-.3588638	.6045853	-1.013951	-.0760316	.0094949
