filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	gnas_nwt	gnas_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_A06	201120	1	NC646	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	.8551647	1	2	9.2718395	.5444736	.36468837	.4423848	1.0132408	1	38	38	379282	8821	6511	19517	6765	43	6.998e+09	1	3207829	135381	112	236	200	110	248	556716	16095	29715.311	23413.853	4.78e+08	530.7263	1.90e+07	180	3513.824	785184.3	1071561	31_GNAS	1	1	1	5.65	1	1	3	-.2477242	-.7445865	-.6075616	-1.16395	.0272493	-1.408136	-.5244005	-.0896424	-.27188	.4637077	-.3661064	-.422408	-.137154	.7783484	.1833219	.5244005	.2298841	-.167894	.5244005	2.286548	1.060562	1.833915	1.593219	1.593219	.2822162	.3406948	.027855	.2246877	.7279133	-.2246877
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GNAS_201120_D02	201120	2	NC681	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	0	0	1	5.3572772	.340296	.19027219	.2722368	.779416	1	24	73	284504	7689	5341	12002	2991	37	3.449e+09	1	2527592	114122	108	295	151	88	283	573940	22326	23139.808	18604.084	5.17e+08	-406.6218	1.43e+08	271	3614.145	905800.2	1271027	31_GNAS	1	1	2	9.35	1	1	3	-.1366539	-.0272493	.2477242	.4614937	-.1366539	1.046231	-1.060562	-1.241867	-.7916386	-1.345167	-1.930286	-1.92248	0	1.184125	1.184125	.6888636	.8745511	-.4614937	.2822162	1.060562	-.1116372	.1116372	.1116372	-.5244005	0	.0557317	-.1397103	1.060562	-.4614937	-1.281552
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_D06	201120	1	NC648	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	13.205607	.7486512	.45982446	.3062664	.9352992	1	40	40	321443	7475	5294	11517	3345	43	3.688e+09	1	1765188	84916	88	205	143	129	246	524843	16832	43971.573	36210.051	7.40e+08	-213.0969	5.34e+07	42	3677.653	916611.6	1236529	31_GNAS	1	1	1	5.8	1	1	3	.1366539	.0272493	.1366539	0	-.3619474	-.2007308	-.4614937	.4887764	-.4389272	-.8871465	.2028072	.3976217	-.422408	.6321747	.3730773	1.281552	.5774487	-.167894	.4614937	.9674216	-.2822162	.2822162	-.1116372	-.2822162	-.8819982	-.9674216	-1.833915	-.5244005	-.6229257	.7647097
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GNAS_201120_E02	201120	2	NC682	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	5.7925903	.2382072	.36468837	.3062664	.9352992	1	25	74	152370	4353	3994	17361	5073	35	2.648e+09	1	1596131	68844	103	187	109	91	181	412758	15053	11416.065	8872.4926	1.72e+08	-722.7019	-2.89e+07	48				31_GNAS	1	1	2	9.433334	1	1	3								-1.611169	-.4389272	-.8871465	-.3661064	-1.690622	-1.392945	-.3730773	-.137154	-1.392945	-.137154	-.6920772	-1.420179	-1.593219	-1.281552	-.5894558	1.16395	.9674216	-1.16395	-1.593219	-.4614937	-.8819982	-1.833915	-.9674216
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GNAS_201120_A01	201120	2	NC674	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	10.036893	.4083552	.31712032	.3062664	.7014744	1	17	66	434840	6794	5744	11735	3797	64	5.274e+09	1	4011667	170148	123	218	186	154	175	498596	13644	13708.054	10736.669	1.87e+08	-615.9561	-4.69e+07		3655.132	780339.4	1101244	31_GNAS	1	1	2	8.583333	1	1	3	-.0272493	-.8972881	-.481115	-1.281552	-.0818291	-.7106959	-1.16395	-.8871465	-.920823	-.8871465	-.8871465	-.3246387	-.5244005	-.4727891	-.4727891	-1.184125	-.3246387	.7279133	.7279133	.3406948	.5894558	1.060562	-.0557317	-.0557317	.6571085	.8025719	.3406948	-.0557317	.4307273	1.593219
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_A03	201120	1	NC624	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	25.722139	2.041776	.60252861	.7146216	3.1956056	1	16	16	510820	6010	5367	11507	4198	85	5.976e+09	1	8086084	215063	203	344	201	141	139	1015300	11816	19377.471	15713.138	2.29e+08	-780.1048	-9.34e+07	0				31_GNAS	1	1	1	3.9	1	1	3								1.699178	1.930286	2.100166	.8544474	1.92248	1.690622	-1.184125	-1.017131	-.5774487	-1.184125	1.501086	1.281552	-.1116372	-.0557317	1.281552	-.167894	.167894	1.593219	1.420179	1.833915	2.286548	.8416212	.8819982
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GNAS_201120_F01	201120	2	NC677	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	10.907519	.510444	.45982446	.2722368	1.0911824	1	20	69															184	474832	15014	16719.864	13606.36	2.51e+08	-968.085	-3.39e+07	108	3272.756	731785	1040188	31_GNAS	1	1	2	9	1	1	3	-1.843765	-1.431895	-.8972881	-1.593219	-.481115	-1.582058	-.7279133	-.3186394	-.0223825	-1.345167	.2028072	-.0912767	-.8095796	-.2533471	-.1833219	-.422408	-.1833219													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_D03	201120	1	NC627	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	0	0	1	16.424144	.9868584	.3964004	.510444	2.6500144	1	19	19	474669	6246	5679	8569	2397	76	3.991e+09	1	5970407	227060	154	283	221	151	365	820954	28159	31449.287	23848.432	8.86e+08	1755.276	4.19e+08	0	4492.114	1272209	1714731	31_GNAS	1	1	1	4.233333	1	1	3	1.431895	1.843765	1.604084	1.593219	1.431895	.3186394	1.833915	1.150349	1.534121	.8871465	-.2028072	.8745511	1.017131	2.361894	1.92248	1.524945	1.92248	1.281552	.9674216	0	.4614937	.3406948	-.8819982	-1.060562	1.16395	1.593219	1.060562	.9674216	1.060562	1.347629
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GNAS_201120_D01	201120	2	NC675	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	.9035334	1	2	16.131276	.6465624	.61838462	.340296	1.7147152	1	18	67	566504	7979	5715	10985	3086	71	6.220e+09	1	5283310	202404	144	273	233	146	229	744156	18957	17622.855	14762.892	3.34e+08	-1420.814	2.86e+07		3837.413	1070454	1361930	31_GNAS	1	1	2	8.75	1	1	3	.3619474	.7445865	.4207837	.7279133	-1.177163	.2007308	1.060562	.1573107	.8544474	-.4389272	.9555776	.8095796	.5774487	.422408	.6321747	-.0912767	.3246387	1.110772	1.593219	1.593219	.5244005	1.420179	-.3406948	-.4003634	.8819982	1.16395	.8819982	.8819982	1.593219	1.012893
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GNAS_201120_A02	201120	2	NC678	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	7.4250143	.4764144	.33297634	.340296	.9352992	1	21	70	199733	6242	4169	17013	4977	32	3.462e+09	1	1812123	90822	105	181	133	102	203	459062	14782	14140.284	11815.965	2.09e+08	-1448.91	-4.41e+07	17	3433.083	720016.5	988299.3	31_GNAS	1	1	2	9.1	1	1	3	-.7445865	-1.604084	-1.431895	-1.833915	-1.074478	-2.277988	-1.833915	-.5398714	-.4389272	-.4389272	-.7028602	-.8095796	-.9434426	-.0684159	-.2298841	-.9434426	-.2769504	-.9674216	-.7279133	-.0557317	-.9674216	.167894	.9674216	.8025719	-.8025719	-.7279133	-.3113224	-1.281552	-.923867	-.6571085
