filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	ncam1a_nwt	ncam1a_dich	ncam1b_1_nwt	ncam1b_1_dich	ncam1b_2_nwt	ncam1b_2_dich	ncam1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_A03	201123	1	ND272	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	1	1	.5209608	1	1	1	1	4		1.2931248	.44396845	.340296	3.6632552	1	14	14	141487	4879	4277	8751	3640	29	1.323e+09	1	2487366	88547	108	208	161	103	225	513880	15618	16664.738	14442.469	2.60e+08	-990.9254	-3713619	134	3609.486	919587.4	1253203	32_NCAM1	1	1	1	3.533333	1	1	4	-.1451209	-.3441025	-.0482231	-.3441025	-.2434042	.6744897	.7721932	.8284646	-.2342192	-.7647097	-1.593219		-.1451209	.8010945	.5578848	.8010945	.1451209	-1.150349	-1.534121	-1.054472	-1.258162	-1.054472	-.0522452	.6102946	-.264147	-.3740954	-.741594	-.4887764	-.1573107	-.3186394
InsH2Bfabp_CD15_10dpf_VAST02_plate02_NCAM1_201123_E02	201123	2	ND329	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	1	1	.5828941	1	1	1	1	4	6.1664681	1.6674504	1.014785	.510444	3.8191384	1	22	71	268250	5832	6303	8230	2531	46	2.260e+09	1	2877969	120733	122	217	168	105	78	591106	6928	10310.121	8580.9147	7.14e+07	-109.5939	-1.27e+07	158	3700.183	1043837	1235841	32_NCAM1	1	1	2	9.733334	1	1	4	.0482231	.3441025	-.1451209	1.574445	1.574445	-2.069902	.6433454	1.324958	-.0929718	-.0929718	.2822162	-.5375191	.2434042	-1.303783	-.9420758	-1.303783	-.0482231	-.264147	-.3740954	-.1573107	.6102946	-.3740954	-.264147	-.264147	-.0522452	-.0522452	-.0522452	0	0	-.1046335
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_A02	201123	1	ND266	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	.9910058	1	.3492284	1	.9929087	1	1	4	7.5162825	1.2250656	.71352072	.340296	3.5853136	1	8	8	145387	5192	5934	7482	2575	28	1.093e+09	2	2261704	81162	118	225	118	98	158	431606	12331	9759.1796	8847.8261	1.20e+08	-990.0308	2.80e+07		3432.93	775300	1030050	32_NCAM1	1	1	1	2.916667	1	1	4	-.8010945	-1.104836	-1.104836	-.4484255	-.6744897	.4484255	-.6433454	.4822482	-.4307273	-.7647097	-.5894558	-.4099833	-1.303783	-.0482231	.0482231	-.5578848	.5578848	-1.534121	-1.258162	-.741594	.264147	-1.534121	-.6102946	-.1573107	-.3740954	-.741594	-.264147	.264147	-1.054472	-.741594
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_A06	201123	1	ND291	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	1	1	.4295964	1	1	1	1	4	19.639836	.9868584	.82451283	.6465624	4.5985544	1	33	33	507207	8315	6165	5320	1656	61	2.769e+09	1	4839664	184518	152	220	179	150	127	588560	10921	13581.748	11045.523	1.48e+08	119.5326	-1.14e+07	23	3828.911	985338.4	1371516	32_NCAM1	1	1	1	5.966667	1	1	4	.4484255	-.0482231	.8010945	-.0482231	.1451209	-.0482231	-.1004337	-.1867561	.4822482	.7039218	-.3803256	1.207414	.1451209	-.3441025	-.3441025	-.0482231	.0482231	1.054472	1.534121	1.258162	.3740954	-.0522452	-1.258162	-1.054472	.8871465	1.258162	.741594	.1573107	.6102946	2.036834
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_A05	201123	1	ND285	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	0	0	0	0	.0252478	0	0	1	20.448073	2.5862496	1.7917298	.680592	5.2220872	1	27	27	352766	6784	6270	11802	3868	52	3.999e+09	1	5012237	159440	159	245	184	134	187	886706	14743	20305.376	17151.384	2.99e+08	-694.3798	-4.77e+07	0	4302.778	1146643	1601801	32_NCAM1	1	1	1	5.45	1	1	4	2.069902	1.104836	2.069902	.6744897	.8010945	.9420758	.5244005	2.085356	.9674216	1.044409	2.085356	2.000424	1.303783	.3441025	.4484255	1.104836	-.6744897	.1046335	.3740954	.3740954	.4887764	1.054472	.8871465	.8871465	1.054472	.6102946	1.054472	.8871465	.8871465	.741594
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_B09	201123	1	ND316	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	1	1	.4576067	1	1	1	1	4	12.567763	1.2250656	.91964893	.680592	4.9103208	1	9	58	434354	7897	6665	7514	2488	55	3.387e+09	1	3937213	172592	140	217	170	149	224	602022	17941	12882.099	10753.898	2.31e+08	-220.1114	8.03e+07	210	3914.828	1118934	1345736	32_NCAM1	1	2	2	8.166667	2	1	4	.6744897	.9420758	.1451209	-.8010945	.3441025	.1451209	.1004337	.4822482	.8284646	1.044409	0	.0569997	.3441025	.6744897	.9420758	.4484255	1.303783	.4307273	.8871465	.8871465	1.534121	.6102946	-.4887764	-.4887764	.4887764	.8871465	.6102946	0	.1573107	1.534121
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_B02	201123	1	ND267	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	1	1	1	1	1	1	1	4	4.8895125	.9187992	.87208088	.4083552	3.3514888	1	9	9	214302	6123	6558	12883	4341	35	2.852e+09	1	2053169	82524	117	169	129	115	24	387228	1724	10688.195	8301.0094	1.84e+07	614.0167	-5.71e+07		3487.316	748876.9	999574.3	32_NCAM1	1	2	1	2.983333	2	1	4	-.5578848	-1.574445	-1.574445	-1.104836	-.3441025	-1.104836	-1.281552	-.3803256	-.7647097	-.2822162	-.1867561	-.6744897	-2.069902	-2.069902	-2.069902	-2.069902	-.9420758	-.8122178	-.4887764	.0522452	1.258162	.1573107	1.258162	1.258162	-.6102946	-.6102946	-.3740954	-.8871465	-.6102946	.2104284
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_B06	201123	1	ND292	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	1	1	.5412649	1	1	1	1	4	17.518214	.8847696	1.1892012	.8847696	4.8323792	1	34	34	392851	6773	5179	7296	2140	58	2.813e+09	1	5356452	170191	161	238	201	131	294	796928	21114	19908.703	17058.145	4.20e+08	-975.9512	7.61e+07		3720.149	1092481	1358745	32_NCAM1	1	2	1	6.216667	2	1	4	.1451209	.8010945	.5578848	.9420758	-.8010945	.0482231	-.3054808	-.5894558	.7039218	1.786156	.7039218	.8254945	1.104836	1.574445	1.574445	1.574445	1.104836	.741594	.6102946	.264147	-.3740954	.0522452	-.741594	-.741594	1.258162	.741594	1.258162	.6102946	1.258162	.4887764
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_B03	201123	1	ND273	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	.0477004	0	.0326138	0	.0062522	0	0	1	4.7884829	1.191036	.38054438	.5444736	3.0397224	1	15	15	405930	8284	6314	9440	2783	49	3.752e+09	2	4201817	156932	130	256	205	114	238	611578	17934	14444.402	11527.232	2.59e+08	387.529	8.45e+07	56	3942.569	1005137	1365983	32_NCAM1	1	2	1	4.016667	2	1	4	.8010945	.0482231	.6744897	.1451209	-.1451209	-.6744897	-.5244005	.1397103	-1.324958	.0929718	-2.085356	-.8254945	.4484255	.9420758	.8010945	.6744897	1.574445	-.1046335	.741594	1.054472	.741594	.8871465	.264147	.0522452	.6102946	.4887764	.3740954	1.054472	1.534121	.0522452
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_B07	201123	1	ND300	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	.995818	1	.5598207	1	.9826488	1	1	4	18.225421	1.2250656	1.1257771	.85074	5.455912	1	42	42															183	672570	14139	14617.103	13021.407	2.07e+08	-1284.293	-1.37e+07	9	4007.583	1052525	1488184	32_NCAM1	1	2	1	6.983333	2	1	4	1.303783	.4484255	1.104836	.2434042	.5578848	.5578848	1.281552	.4822482	1.128144	1.324958	.4307273	.9982012	.6744897	.2434042	.3441025	.0482231	-.1451209													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_G08	201123	1	ND313	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	0	0	0	0	0	0	0	1	4.6874533	1.0549176	1.1257771	.6125328	3.6632552	1	6	55	329553	5782	4870	8957	3134	57	2.954e+09	2	3792052	138602	139	213	175	115	109	476488	8208	12551.241	10929.97	1.03e+08	-768.3264	-5.32e+07	38	3574.622	921127.6	1200386	32_NCAM1	1	2	2	7.966667	2	1	4	-.2434042	-.2434042	-.3441025	-.2434042	-.4484255	1.574445	-.2018935	-.0929718	-.2342192	.4307273	.4307273	-.9982012	-.4484255	-.4484255	-.4484255	-.6744897	-.8010945	.6102946	.264147	-.3740954	-.741594	.264147	.0522452	.264147	.264147	.0522452	.4887764	-.3740954	.3186394	.2104284
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_F03	201123	1	ND276	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	.0227774	0	.0184214	0	0	0	0	1		.680592	.68180869	.3743256	3.4294304	1	18	18	456700	6256	5053	10734	3690	73	4.718e+09	1	4616133	183130	156	275	175	141	48	684986	3904	11628.188	8395.8418	4.54e+07	1436.942	-3.30e+07		4007.307	1371889	1353691	32_NCAM1	1	2	1	4.283333	2	1	4	1.104836	2.069902	.3441025	-1.574445	2.069902	-1.574445	1.554774	-1.128144	-.5894558	-.4307273	-.9674216		.9420758	-1.574445	-1.574445	-1.574445	-.3441025	2.036834	1.054472	.1573107	-.6102946	1.534121	.4887764	.741594	.741594	1.054472	.8871465	1.258162	.3186394	.8871465
