filename	date	plate	index	control_1_mutant_0	line	diet	Exp	filename9	overfeeding	cholesterol	glucose	VAST	Imaged	age	poldip2_nwt	poldip2_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_D07	201125	2	ND635		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	9.3200429	.4423848	.45982446	.3062664	.9352992	1	14	112	197896	4398	4096	19304	7415	45	3.634e+09	1	2548759	92407	93	226	136	120	131	363763	10885	7946.4028	7060.4927	8.65e+07	-263.6469	-1.86e+07	29	3908.132	838135.1	1156856	33_POLDIP2	1	1	3	7.95	1	1	6	-.2927713	-1.278085	-.9434426	-1.572418	-1.154037	-.5205949	-.3406948	-.5046665	-.0952227	-.1573107	-.3993231	-.9446696	-1.833915	.1218342	.137154	.2549257	-.5367166	-.9042674	-1.070148	-1.000491	-.8740081	-.247039	1.698407	2.047078	-1.034691	-1.272341	-1.423913	-.581393	-1.227826	.1948269
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_A07	201125	1	ND565		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	14.664633	.7826808	.4915365	.2722368	.7014744	1	42	42															79	624768	6520	5229.1406	4815.416	3.41e+07	-269.0359	-1.34e+07	18	3973.551	1103622	1423554	33_POLDIP2	1	1	1	3.633333	1	1	6	-.0151923	.7432719	.3894143	1.474883	1.31688	-.3208232	.5070479	.574666	-.4370584	-.5998427	-.0865434	.6369799	.137154	-.5419125	-.5419125	-.7635726	-.3347617													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_A06	201125	2	ND625		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	0	0	1	13.58669	.6465624	.61838462	.340296	.8573576	1	4	102	524224	8737	7507	12132	4384	60	6.528e+09	1	4092739	146947	145	231	189	110	34	748718	3152	5272.9584	5012.0979	1.66e+07	-462.7941	-3.59e+07	96	4150.788	1009399	1465873	33_POLDIP2	1	1	3	7.3	1	1	6	.5244005	.1302844	.7082534	.286637	.3246387	.0830965	.3406948	.2089558	-.1913188	.264147	.7018726	.3899795	.7478586	-1.549706	-1.478052	-1.389653	-1.013177	.2786834	1.272341	1.482485	1.617868	1.000491	.1020724	.3974212	.0816069	-.0203805	.4307273	-.4873416	.3974212	-.5455638
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_D08	201125	1	ND574		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	13.372492	.9187992	.47568048	.4423848	.779416	1	2	51															77	593936	7116	5680.8277	5221.9444	4.04e+07	-308.4027	-1.75e+07	126	4085.992	998692	1402843	33_POLDIP2	1	1	2	4.183333	1	1	6	.3406948	-.0076422	.2611986	.0995121	.3812331	-.3383501	.4558681	1.043857	-.2982436	1.318011	-.2089558	.3345945	-.0608042	-.5684978	-.4390766	-.5191466	-.5017354													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_G08	201125	1	ND576		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	0	0	1	11.980956	.0680592	.3964004	.2382072	.3117664	1	4	53															90	562094	7408	5009.7893	5001.4197	3.71e+07	-713.0649	-1.51e+07	10	3738.318	1006797	1138314	33_POLDIP2	1	1	2	4.316667	1	1	6	-1.096804	.0688338	-1.096804	-.6649264	.7478586	0	-2.361894	-2.039709	-1.386752	-.9001216	-.8791677	-.1213065	-.3568393	-.4307273	-.4058559	-.6649264	-.4001794													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_A01	201125	2	ND586		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	0	0	1	13.025289	.7486512	.60252861	.4083552	1.2470656	1	14	63	748216	9471	6587	17328	5701	79	1.296e+10	1	5986115	208277	172	257	192	144	18	700976	1376	4626.7267	4220.4562	6366376	-152.7861	-2.58e+07	21	4024.182	1094664	1420668	33_POLDIP2	1	1	2	5.05	1	1	6	.1833219	.6649264	.3730773	.0076422	1.392945	-1.883722	-.6888636	.4657712	.3345945	.9674216	.5848915	.2622828	.5070479	-1.92248	-1.92248	-1.91984	-.6272615	1.165288	2.250926	2.250926	1.000491	2.646619	1.070148	1.145427	1.107003	1.18562	1.513781	.3213206	.4988484	1.272341
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_D01	201125	2	ND589		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	0	0	1	6.0639171	.170148	.41225642	.2041776	.4676496	1	17	66																								3342.131	697466.4	859249.6	33_POLDIP2	1	1	2	5.2	1	1	6	-2.744484	-2.742488	-2.744484	1.521842	-1.029957	-1.431392	-1.630337	-1.321884	-.8665166	-1.117247	-.7468197	-1.974932																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_D05	201125	1	ND558		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	13.571283	.7146216	.28540829	.3743256	.1558832	1	35	35																								4017.543	957300.4	1368615	33_POLDIP2	1	1	1	2.816667	1	1	6	.152506	-.2078247	.152506	-.0229285	-.2143129	.2516333	-.3730773	.3899795	-2.114381	.6314019	-1.775217	.352934																		
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_D03	201125	2	ND605		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	.0157844	0	1	11.453367	.1020888	.42811243	.4423848	.4676496	1	33	82	205787	4573	3655	15783	4978	45	3.047e+09	1	2778116	108689	116	355	112	76	102	643964	8595	4522.6613	4029.965	3.89e+07	-26.75335	1.16e+07	76	3848.835	1085109	1336928	33_POLDIP2	1	1	2	6.116667	1	1	6	-.5774487	.6272615	-.0151923	1.754947	2.361894	.1499619	-1.264472	-1.661806	-.8665166	1.318011	-.6369799	-.3621481	.2143129	-.2769504	-.2611986	-.5544538	.286637	-.9042674	-1.034691	-.8740081	-1.18562	-.4645183	.7332358	.6808997	-.9353781	-1.000491	-.8157657	1.743188	-1.698407	-1.617868
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_D04	201125	1	ND549		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	18.938637	.9868584	.98307299	.4764144	1.7926568	1	26	26	408757	5309	4323	18318	5932	77	7.156e+09	1	5040301	162411	175	306	191	107	56	807058	4609	6351.8874	5517.9285	2.93e+07	5.131863	-3.62e+07	0	4337.38	1120459	1548163	33_POLDIP2	1	1	1	2.45	1	1	6	1.184125	.8264717	.9674216	-.1766846	.2143129	-1.716379	.3730773	1.321884	.9720323	1.772034	2.114381	1.628361	.9674216	-.8745511	-.9199942	-.91583	-1.039052	1.017442	.4195739	-.4873416	-.7068257	1.227826	1.423913	1.31953	.7332358	.3974212	1.656795	1.145427	.4531975	-.7068257
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_D05	201125	2	ND620		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	6.2884775	.4423848	.38054438	.2041776	.389708	1	48	97	148998	5321	3739	9538	4229	28	1.342e+09	1	1574320	73729	102	177	118	98	72	356472	6416	4192.8014	3853.7467	2.69e+07	-143.7556	4155968	122	3783.664	865814.2	1154613	33_POLDIP2	1	1	2	7.033333	1	1	6	-.8308461	-.9633621	-.9919701	-.5191466	-.2376904	1.266601	-.5070479	-.5046665	-1.074143	-1.117247	-1.058878	-1.865803	-2.029334	-.6697294	-.5774487	-.9879631	.084163	-1.513781	-1.482485	-.4645183	-1.107003	-1.227826	-.353682	.3320687	-1.482485	-1.482485	-1.272341	-1.903997	-1.617868	-1.017442
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_A01	201125	1	ND524		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	13.273096	.6125328	.44396845	.1020888	.9352992	1	1	1	374424	8321	6190	7548	2345	45	2.987e+09	1	3235510	134590	118	282	131	124	50	496134	4122	4115.8265	3920.4182	1.70e+07	-301.2643	-7492483	29	3927.901	914652.7	1280598	33_POLDIP2	1	1	1	.8333333	1	1	6	-.2298841	-.5191466	-.2611986	-1.211746	-.2927713	-.6182299	.0912767	.1213065	-.0952227	-1.971987	-.5443409	.3163668	-.8095796	-1.096804	-1.096804	-1.350582	-.1611805	-.9042674	.2260813	1.31953	.7601675	-.5104216	-.8445288	-.8740081	-.4419345	-.353682	-.7466339	.8740081	-1.369856	.4531975
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_A05	201125	2	ND617		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	.9522173	1	2	9.3200429	.5444736	.47568048	.2382072	.389708	1	45	94	252391	4428	4460	16754	5960	57	3.911e+09	1	3871840	131882	141	413	105	95	138	407580	10483	9124.4698	8239.7527	9.57e+07	-510.0316	-3.98e+07	15	3760.069	875803.3	1145163	33_POLDIP2	1	1	2	6.866667	1	1	6	-.9674216	-.8051525	-1.042954	-.5723673	-.6508373	1.099562	-.422408	-.1039092	-1.074143	-.9001216	-.2089558	-.9446696	-1.4342	.2220918	.0608042	.4001794	-1.180491	-.0509698	-.7068257	-.9674216	-.4419345	-.0816069	.9353781	1.369856	-.1225808	-.4645183	.2681058	2.646619	-1.791764	-1.145427
