filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	znf598_nwt	znf598_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_E01	201127	2	NE570	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	1	1	2	12.037135	.2382072	.95136096	.4083552	2.2603064	1	21	70	311697	6494	5072	9452	2890	48	2.912e+09	1	3231604	121224	136	241	138	111	178	455782	13124	11130.779	9491.7116	1.46e+08	-390.6217	-1.09e+07	37	3886.927	844580.1	1218854	34_ZNF598	1	1	2	5.616667	1	1	4	.4164465	-.2397471	.2506518	.0934678	.0130557	.6487755	.7083573	-1.405072	1.880794	1.036433	.1014517	1.304923	-.3077905	.322264	.1381652	.5498568	-.3368052	.6001788	.7707414	.5368115	0	.3292913	-.1080217	-.1624294	.3867724	.3867724	1.10579	.357884	-.6001788	.401337
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_A03	201127	2	NE582	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.9438943	1	2	11.42419	.7146216	.85622486	.1361184	1.6367736	1	33	82	183885	6567	7314	6543	2075	28	1.200e+09	2	3326908	116283	129	346	117	98	156	392244	12146	9317.2589	7835.8332	1.13e+08	-147.3897	-2481339	85	3961.139	952350.8	1254578	34_ZNF598	1	1	2	6.533333	1	1	4	.6909717	.751035	.4741167	.7786766	-.4450965	-.1104053	2.554361	.5680515	1.598193	-1.253565	-.57446	1.051717	-.9528633	-.1800124	-.0827304	.0551186	-.0275488	-1.156903	-.6001788	.6327733	1.660698	-.7707414	-.5682099	-.6327733	.4455616	.2173225	.6660544	2.141198	-1.183631	-.3867724
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_E05	201127	1	NE533	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.9548149	1	2	10.355484	.6125328	.85622486	.2722368	.9352992	1	33	33															178	447060	12630	10387.61	8827.092	1.31e+08	-308.2726	-9190466	266	3642.901	790014.3	1083614	34_ZNF598	1	1	1	2.85	1	1	4	-.3324052	-.751035	-.3881343	-1.406504	-.626099	-.3368052	-.0400101	.240426	.3988551	-.3988551	-.57446	.5012977	-.4868373	.322264	.0275488	.3661064	-.3077905													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_A05	201127	2	NE592	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.9415969	1	2		.4423848	.90379291	.2382072	.4676496	1	43	92	182924	4690	3583	11458	4345	39	2.097e+09	1	1508507	73601	81	251	114	95	189	590788	14649	5225.0208	4946.2335	7.65e+07	-650.4818	3.30e+07					34_ZNF598	1	1	2	7.891666	1	1	4								-.426148	-.8596174	-.7388468	-.191052		.7544993	.5659488	.5821887	-.6487755	.8694237	-.272879	-.6327733	-.7707414	-.9674216	-.1898044	.5368115	.9252446	-1.156903	-1.011394	-1.517929	.5368115	-1.365669	-.5841197
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_A03	201127	1	NE514	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.0409948	0	1	11.172977	.680592	.91964893	.2722368	.8573576	1	14	14	113453	2909	2607	7057	2382	39	8.212e+08	1	2024663	86181	99	239	130	98	242	670040	21679	8478.2497	6804.4725	1.84e+08	294.645	9.39e+07	24	3938.528	940447.7	1309638	34_ZNF598	1	1	1	1.65	1	1	4	.5334097	.6498495	.7941926	-.7083573	.4450965	-.1940281	.7430576	.4817269	.1891184	-.3988551	-.0887345	.8894945	1.551094	1.320065	1.650205	1.19838	1.551094	-.272879	-1.476592	-1.562036	-1.476592	-1.211232	-.4755309	-.357884	-.6001788	-.5682099	-.7349572	.3150968	-.8454682	-.3867724
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_E09	201127	1	NE562	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.0162896	0	1	9.9467371	.8167104	.82451283	.340296	1.0132408	1	13	62	443239	7642	5969	15157	4448	58	6.368e+09	1	4862534	149560	151	342	179	92	133	583824	10891	9434.6581	7661.7313	1.03e+08	186.2598	-8551124	20	3947.336	923834.3	1237636	34_ZNF598	1	1	2	4.8	1	1	4	.626099	.4355574	.3324052	-.1742078	-.0915151		.2837581	.755415	.5977601	.227545	-1.029957	.3086658	.6487755	-.4560533	-.3368052	-.1381652	-.2505037	1.332196	2.141198	1.156903	.7707414	2.550635	1.156903	1.057414	1.928738	1.156903	1.716768	1.778823	1.011394	-.6829734
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_A09	201127	1	NE559	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.9584637	1	2	7.6986314	.2722368	.7928008	.340296	.8573576	1	10	59	72481	2589	1906	3349	1459	28	2.335e+08	1	1099056	51934	86	138	111	91	61	450140	4502	11899.633	10443.877	5.36e+07	-804.4444	-1.27e+08	152	3571.708	786455.4	1008277	34_ZNF598	1	1	2	4.6	1	1	4	-.5637612	-.8229678	-.9467818	-1.665843	-1.67594	-.1660319	-.8153122	-1.174987	.1891184	.227545	-1.470545	-.4727891	-.3957253	-1.256896	-1.388992	-.8694237	-2.543048	-1.156903	-1.660698	-1.778823	-1.778823	-1.778823	-1.562036	-1.400745	-1.476592	-1.562036	-1.156903	-1.928738	-1.562036	-.7527288
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_E02	201127	1	NE510	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.0184855	0	1	11.786096	.5785032	.91964893	.2382072	.8573576	1	10	10	320505	5935	5379	5592	1913	54	1.780e+09	1	4439336	152236	146	326	169	100									106	4159.628	1135563	1404189	34_ZNF598	1	1	1	1.4	1	1	4	1.793352	1.788569	1.417797		2.561682	-.7916386	.8920979	.0501536	.1891184	-.7388468	-.0887345	1.194396						.9461226	.8454682	.1351755	.357884	-.357884	-.7707414	-.807541	1.476592	1.269393	1.562036	1.562036	.4755309	-.2450062
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_A06	201127	1	NE537	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.8744199	1	2	9.8445505	.6125328	.98307299	.2722368	1.169124	1	37	37																								4230.926	1076017	1475593	34_ZNF598	1	1	1	3.1	1	1	4	2.153875	1.670923	2.153875	2.145475	1.493078	.4256956	1.338139	.240426	1.015222	-.3988551	.3487557	.2559625																		
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_E02	201127	2	NE578	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.040751	0	1	10.811245	.7826808	1.2684813	.4083552	1.0911824	1	29	78	328778	6203	4364	7016	2108	53	2.367e+09	1	2844026	123031	125	197	164	109	170	545684	12358	7585.6882	6674.1569	9.37e+07	-436.0526	7085219	39	3799.328	869163.8	1253352	34_ZNF598	1	1	2	6.183333	1	1	4	.0391761	-.0263886	.4450965	.2013492	.2506518	.3368052	-.5459412	.6588377	.8238936	1.036433	1.955661	.6824579	.3077905	.0827304	0	-.2505037	.0827304	.8648943	1.156903	.3009654	-.5682099	.0539321	-.5059336	-.6001788	.0269563	.4455616	.4307273	-.6001788	.3292913	.2868939
