filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	pdia3_nwt	pdia3_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_A08	201202	1	NI843	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	1	1	2	16.593156	2.4161016	.3012643	.680592	6.0015032	1	48	48	451230	6098	4979	8334	3078	74	3.789e+09	1	6791465	191173	142	302	199	136	268	674304	20608	19413.963	15270.758	4.00e+08	632.0143	9.12e+07	0	4291.967	1052824	1554249	36_PDIA3	1	1	1	5.05	1	1	4	1.033853	.5735608	1.086838	.1822052	1.26794	-.4366879	.5279112	-.419708	1.203157	1.504199	-2.51073	1.128144	.7713894	1.21023	1.150349	1.086838	1.203157	1.128144	1.27107	.0232116	.1631881	.5084881	-.7339767	-.4053977	1.515564	1.085325	.6172997	1.00517	.7039218	1.128144
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_E08	201202	1	NI847	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	0	0	1	15.063177	2.5181904	1.4428975	.170148	5.2220872	1	3	52	588084	6838	4722	12254	3511	86	7.281e+09	2	6938329	208790	189	344	182	130	64	632878	5316	11420.464	9576.6036	6.07e+07	-329.5082	-9.36e+07	6	4200.509	1046618	1449573	36_PDIA3	1	1	2	5.283333	1	1	4	.6839988	.5383123	.5735608	-.1210967	.9357584	.2298841	-.2946089	-.1822052	.3869474	-1.458952	1.552754	.7856053	.3501975	-1.510357	-1.510357	-1.726056	-1.086838	1.593219	1.681877	.6172997	-.1631881	1.681877	.2581433	-.1163093	1.681877	1.382994	1.914506	1.382994	.3064536	.9310033
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_G04	201202	1	NI821	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	1	1	2	14.85918	2.4501312	1.1099211	.4423848	6.3132696	1	26	26	397010	6108	4804	8649	2955	65	3.226e+09	1	5599068	220621	146	256	203	145	316	764433	23024	22986.29	18174.049	5.29e+08	618.9306	1.42e+08	1	4237.947	1072817	1559826	36_PDIA3	1	1	1	3.416667	1	1	4	.8459325	.8459325	1.203157	.3067468	0	1.224459	1.260977	-.338562	1.458952	-.1822052	.419708	.7441428	1.094332	1.611169	1.510357	2.095297	1.605273	.8616341	.7961826	.0696849	.0232116	.1163093	-.5620615	-.4563363	1.085325	1.681877	1.00517	.3308726	.8616341	1.515564
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_F07	201202	1	NI842	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	1	1	2	12.513212	2.7563976	1.030641	.5785032	6.7809192	1	47	47	236370	5497	4640	15334	6326	43	3.635e+09	1	3417227	115636	114	226	200	100	218	592754	17065	18184.042	14469.932	3.10e+08	391.0705	2.32e+07	1	3834.457	941225.3	1336375	36_PDIA3	1	1	1	5	1	1	4	-.4362566	-.0604375	.0907253	-.0302049	.4362566	1.567991	-.045869	.2909568	1.726056	.6463197	.0907253	.0929718	.1046335	.5485223	.5485223	.762464	.2752391	-.3554904	-.6744897	-.3554904	-.2581433	.4563363	.8616341	1.382994	-.0696849	-.5084881	-.4563363	-.5620615	.7961826	-.6456308
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_E05	201202	1	NI827	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	1	1	2	12.921206	2.55222	.77694478	.680592	5.066204	1	32	32	356864	4635	4455	17508	6493	77	6.006e+09	1	6549550	203009	145	361	217	113	183	667529	14241	22934.954	16599.94	3.27e+08	2511.535	-1.83e+07	15	3914.321	1208626	1376435	36_PDIA3	1	1	1	3.75	1	1	4	-.1822052	1.605273	.3707237	1.726056	2.095297	.5095174	-1.195972	-.1058988	.1975802	1.504199	-.9836224	.2342192	.583549	.0298452	.1046335	.8459325	-.4362566	1.324958	.4563363	-.9310033	-.4563363	1.173137	1.173137	1.681877	1.382994	1.27107	.8616341	1.681877	1.173137	-.0232116
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_A03	201202	1	NI807	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.9755224	1	2	8.3312682	2.1778944	.41225642	.510444	5.1441456	1	12	12	150936	4717	4438	11880	4145	32	1.877e+09	1	1555043	66090	89	189	155	79	149	366464	10968	14776.97	11177.816	1.62e+08	1049.586	-3.57e+07	1	3732.454	995327.4	1065370	36_PDIA3	1	1	1	2.416667	1	1	4	-.6839988	.2752391	-1.033853	2.51073	2.51073	.0325594	-1.873672	-1.086838	.2752391	.1822052	-1.879026	-.8284646	-1.422911	-.6013318	-.6558747	-.2440025	-.5735608	-1.27107	-1.382994	-.8616341	-.5084881	-.9310033	.1163093	.2104284	-1.173137	-1.27107	-1.27107	-1.27107	-.4563363	-1.382994
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_E06	201202	1	NI834	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	1	1	2	8.4332669	2.3480424	.77694478	.6125328	8.4956344	1	39	39	335499	8183	5264	21245	6396	41	7.173e+09	1	3045363	138440	115	230	178	106	176	397546	13862	12381.27	10286.152	1.72e+08	-244.9569	-1929959	121	3939.236	864333.8	1128489	36_PDIA3	1	1	1	4.15	1	1	4	-.0907253	-.5383123	-.5037205	.0604375	-.1210967	.4727891	-.6744897	-.6463197	2.51073	.9836224	-.9836224	-.7647097	-.8982587	-.1346898	.014921	-.0907253	-.0604375	-.6172997	.1631881	1.27107	.3554904	1.515564	1.914506	1.515564	-.3064536	.0232116	-.4053977	-.3064536	.1397103	-.4563363
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_C04	201202	1	NI817	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	0	0	1	10.881234	2.0758056	1.2209132	.340296	3.89708	1	22	22	363165	8647	7132	17591	6239	42	5.952e+09	1	2988539	118480	111	228	172	124	183	475694	14955	15632.841	12884.108	2.34e+08	-201.7219	-1.03e+07	12	4034.355	953576.9	1372996	36_PDIA3	1	1	1	3.216667	1	1	4	.0907253	.0302049	.3067468	-.5383123	.5383123	-1.845705	.5995885	-1.376475	-1.605273	-.7828164	.86773	-.1867561	-.3821084	.0298452	.2257079	.2130021	-.2130021	-.4563363	.5084881	1.914506	1.515564	1.085325	1.27107	1.27107	-.4563363	-.4563363	-.6172997	-.4053977	-.1631881	.7339767
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_A06	201202	1	NI831	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	1	1	2	12.921206	2.4841608	.7928008	.6465624	5.2220872	1	36	36	178878	5421	3801	7887	2771	33	1.442e+09	1	2514498	89275	92	200	169	136	188	585474	13946	13246.334	10744.049	1.85e+08	54.62971	-1252366	38	3681.078	882696.8	1211033	36_PDIA3	1	1	1	3.966667	1	1	4	-.762464	-.3707237	-.2440025	.5037205	-.0302049	.0978166	-.7533835	-.2752391	.3869474	1.234901	-.8245299	.2342192	.0746714	.2257079	.0447762	-.0302049	-.0302049	-1.128144	-1.27107	-.4563363	-1.085325	-1.173137	-.7961826	-.6744897	-.6744897	-.8616341	-1.085325	-1.00517	-.2104284	1.128144
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_E07	201202	1	NI841	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.9343553	1	2	17.919139	2.211924	1.2526253	.510444	6.235328	1	46	46															184	649065	16048	13314.425	10953.59	2.14e+08	-136.0519	2.20e+07	24	4292.799	1057385	1531370	36_PDIA3	1	1	1	4.95	1	1	4	1.086838	.6095368	.9836224	-.338562	.4697212	-1.224459	-.200022	-.9594156	1.338533	.1822052	.9594156	1.403413	.4471567	.1046335	.3821084	.1210967	.2440025													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_A01	201202	1	NI796	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.0595996	0	1	12.207216	2.041776	.84036885	.4083552	4.5206128	1	1	1	328216	4827	4281	8575	2854	68	2.820e+09	1	4073090	165468	128	246	184	120	288	688986	23407	12880.166	10635.588	3.01e+08	-177.5956	1.18e+08	80	4142.947	962549.1	1436175	36_PDIA3	1	1	1	1.7	1	1	4	.4032736	.0604375	.5383123	-.6095368	.0604375	-.7054673	.1379956	-1.605273	-.6463197	-.3869474	-.6650413	-.0154736	.8122178	1.422911	1.611169	.6463197	1.416509	.9310033	.0232116	-.7961826	-.7339767	-.3554904	-.6172997	-.6172997	.4053977	.6172997	-.0696849	.1163093	.4053977	.4053977
